Assemblage_Name	4402667-754485-1723195	5078491-0-4	7767108-0-1723195	2-3177439-8192507	4402667-9515905-1723195	1645366-0-9974376	4402667-0-7363931	4402667-447787-1723195	4402667-0-8389028	2921963-5136641-5831910	3-6995876-436714	4593573-3521908-9658632	2921963-5136641-1723195	4402667-0-1723195	4593573-0-9658632	605710-1-4	3-0-8079860	3-6607643-436714	4593573-0-6716616	4402667-0-6965710	4402667-0-1289707	9415687-0-1723195	2-3177439-4	4402667-5252319-1723195	4402667-0-2905842	4402667-5136641-2086974	4-2550723-4	6873209-1-4	4593573-0-3176039	4593573-9818640-4387693	4593573-0-4387693	3856565-1-4	4402667-0-676487	3-5915692-436714	4378770-5136641-1723195	4402667-0-1315622	8947572-0-0	6352948-0-4	4402667-4143106-1723195	7101311-0-1723195	8825026-1-4	2205614-0-1723195	4-5502144-4	3-0-9042798	4593573-0-5579731	9851202-0-1723195	9393227-0-1723195	3985731-0-1723195	5383496-2736960-436714	7836337-0-3724405	9393227-5927418-1723195	1608696-0-0	4113638-0-1723195	4593573-0-4	8909137-0-1723195	3-0-6673454	4402667-0-8657128	2061021-1-4	4402667-5356689-1723195	3976161-5136641-1723195	4402667-0-4060528	4402667-3311682-1723195	4-1530291-9737786	4-1530291-6787911	3-0-8209805	4593573-0-9974376	4402667-8909220-1723195	2247383-0-1723195	2194302-0-1723195	3-6148876-436714	3-0-9361913	4-1125039-4	4621433-0-1723195	6873209-945843-4	4593573-0-8420893	9393227-2180046-1723195	4593573-1551558-4	3-2736960-436714	9393227-5368543-1723195	9415687-7674392-1723195	8628803-5136641-2086974	4-1-4	9393227-0-4460307	7836337-0-0	4593573-367682-3176039	3-0-436714	4402667-475759-1182021	4402667-5136641-1723195	2879468-0-2	52552-0-9658632	3-9960788-436714	9490409-0-1723195	4-1530291-4	5078491-0-2699085	4402667-0-2253396	4-1-3443280	3-0-2	4402667-1845420-1723195	4-1-6885562	9393227-0-7469416	282203-0-2	4402667-0-2205754	4402667-0-4923783	4593573-0-569284	3037937-0-9658632	3979331-0-0	6587330-0-436714	4402667-8474446-1723195
assemblage-264-747	0	0	0	0	0	0	0	0	0	0	0	0	0	282	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-797-749	0	0	0	0	0	0	0	8	0	0	0	0	0	361	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-716-247	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	12	0	316	0	0	0	15	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-97-538	9	0	0	0	0	0	0	0	8	20	0	0	48	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	9
assemblage-140-383	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	31	0	3	0	0	0	0	0	0	12	0	0	0	31	0	0	0	0	0	0	0	0	0	0	13
assemblage-684-671	0	0	0	0	0	0	0	4	0	0	0	0	0	327	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-262-911	0	0	0	0	0	0	0	0	0	0	0	0	0	67	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	13	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-437-101	0	0	0	0	0	0	0	0	0	0	0	2	0	133	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	1	47	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-802-123	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
assemblage-592-295	0	0	0	0	0	0	0	0	0	0	0	0	0	281	77	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	16
assemblage-420-685	0	0	0	0	0	0	0	0	0	0	0	0	0	199	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-950-291	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	18	0	0	0	0	0	0	0	0	0	0	206	0	0	0	19	0	0	9	0	0	0	14
assemblage-867-301	0	0	0	0	0	0	0	0	0	0	0	16	0	124	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	12	48	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-243-260	0	0	0	0	0	0	0	0	0	0	0	0	0	271	4	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-667-580	0	0	0	0	0	0	0	0	0	0	0	0	0	241	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5	0	0	0	0	0	0	0	0	34	0	0	0	0	0	16	0	0	0	0	0	0	0	16	43
assemblage-797-476	0	0	0	0	0	0	0	0	0	26	0	0	43	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	11
assemblage-503-522	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	14	0	0	0	48	0	0	0	0	0	0	0	0	0	0	25
assemblage-429-117	0	0	0	0	0	0	0	0	0	0	0	0	0	141	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	33	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-794-418	0	0	0	0	13	0	0	0	0	0	0	0	0	363	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	9	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-511-700	0	0	0	0	0	0	0	0	0	0	0	0	0	92	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-396-413	0	0	0	0	0	0	0	0	0	0	0	9	0	147	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	5	56	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-674-596	0	0	0	0	0	0	0	0	0	0	0	0	0	58	6	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	11	0	0	0	0	35	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	13	0	92	0	46	0	0	0	0	0	0	60	0	0	0	4	0	0	0	0	0	0	0	0	0	9	21
assemblage-931-801	0	0	0	0	0	0	0	0	0	0	0	0	0	337	54	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	30	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-586-303	0	0	0	0	0	0	0	0	0	0	0	0	0	213	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-688-589	0	0	0	0	0	0	0	0	0	0	0	0	0	55	16	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	23	0	0	0	0	36	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	19	0	67	0	67	0	0	0	0	0	0	70	0	0	0	4	0	0	0	0	0	0	0	0	0	19	16
assemblage-754-613	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-254-885	0	0	0	0	0	0	0	0	0	0	0	0	0	70	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	54	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	37	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	27	0	0	0	0	0	0	21	0	9	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-271-278	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	199	0	0	0	0	0	0	31	0	0	0	81	0	0	0	7	0	0	0	0	0	0	7
assemblage-748-637	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-122-945	0	0	0	8	0	0	0	0	0	0	0	0	0	169	0	20	0	0	0	0	0	33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	10	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	28	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	4	0	0	0	15
assemblage-424-664	0	0	0	0	0	0	0	0	0	0	0	0	0	338	77	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	23	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-923-806	0	0	0	0	0	0	0	0	0	0	2	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
