Assemblage_Name	1428712-1-4	1256663-2179619-4	3-4-1045374	2-380218-0	3-4-8740220	6275435-0-3	1256663-1-8269240	6525693-4103266-3	6525693-9448401-3	5218189-1-4	9064318-0-3	0-4-0	1256663-1976509-4	1256663-9052811-4	1256663-1-9563811	8947749-0-3	4665141-0-3	1256663-1-4144043	1256663-1-9041386	1256663-1-4	4-0-3	3-1-4	6765393-0-3	7490770-4385186-4	1256663-8851743-4	1256663-1-4470410	1256663-1-4928766	7177055-0-3	1256663-1-560977	1256663-1-3373450	3-1-4680163	8432787-0-3	1256663-4385186-4	1579660-0-3	6765393-0-3152721	5800834-1-4	2-0-0	6525693-0-3	2720720-4-8740220	1256663-1-1194051	1256663-9066985-4	1256663-3967644-4	8784815-1-0	139648-0-3	1256663-4385186-4999055	685371-0-3	1256663-1-46044	2-1-0	2-681910-0	1256663-7379256-4	4-0-8641579	1256663-1-6514204	3942109-1-4	9807494-1-4	2-1-4146108	1256663-5028506-4	1256663-65857-4	1256663-4385186-1165191
assemblage-207-392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	219	61	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	7
assemblage-729-265	27	0	0	0	12	0	0	8	0	0	0	0	0	0	0	0	0	0	0	90	120	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	15	11	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	13
assemblage-203-402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	176	24	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	66	0	0	0	5	0	0	0	144	0	0	0	0	0	0	0	0	0	0
assemblage-993-720	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	34	154	107	0	22	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	5
assemblage-714-272	69	0	0	0	19	0	0	0	0	0	0	6	0	0	0	0	0	0	0	77	115	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	17	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	6
assemblage-400-899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	200	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	38	0	0	0	11	0	0	0	0	0	4
assemblage-520-365	7	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	86	71	165	0	0	0	0	0	0	0	0	8	0	0	0	0	0	72	58	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	7
assemblage-244-910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	136	38	56	8	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	20	0	0	0	0	6	0	0	126	0	0	0	0	0	0	0	0	0	2
assemblage-433-120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	170	47	116	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	5
assemblage-664-667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	22	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-264-747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	105	0	13	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	20
assemblage-797-749	0	0	0	0	0	0	0	0	0	0	13	0	11	0	0	0	0	0	0	337	39	0	14	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-716-247	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	59	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	24	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	6
assemblage-97-538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	27	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-140-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	193	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	1
assemblage-684-671	0	0	0	0	0	0	0	0	0	7	19	0	15	0	0	0	0	0	0	348	40	0	21	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-262-911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	125	60	127	0	0	0	0	0	0	0	0	11	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	9
assemblage-437-101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	116	56	67	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	19	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	11
assemblage-802-123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	128	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-592-295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	23	0	106	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-420-685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	146	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-950-291	28	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-867-301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	106	60	66	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	14	0	0	0	0	11	0	0	104	0	0	0	0	0	0	0	0	0	3
assemblage-243-260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	325	93	0	9	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
