Assemblage 	OriginTime	Duration
assemblage-662-471	10200	900
assemblage-607-312	7500	900
assemblage-494-373	6600	900
assemblage-494-372	7500	900
assemblage-444-552	9300	900
assemblage-684-458	10200	900
assemblage-653-581	5700	900
assemblage-593-417	10200	900
assemblage-561-413	7500	900
assemblage-557-369	11100	900
assemblage-522-513	10200	900
assemblage-615-413	6600	900
assemblage-498-583	6600	900
assemblage-588-576	6600	900
assemblage-353-362	3000	900
assemblage-534-591	8400	900
assemblage-333-495	4800	900
assemblage-550-679	5700	900
assemblage-511-353	7500	900
assemblage-540-375	3000	900
assemblage-542-538	3900	900
assemblage-510-526	9300	900
assemblage-461-558	4800	900
assemblage-230-538	9300	900
assemblage-702-733	6600	900
assemblage-489-624	8400	900
assemblage-604-694	6600	900
assemblage-575-668	3900	900
assemblage-513-609	4800	900
assemblage-509-331	7500	900
assemblage-573-436	9300	900
assemblage-535-556	3000	900
assemblage-687-637	7500	900
assemblage-393-549	3000	900
assemblage-433-681	3000	900
assemblage-561-368	3900	900
assemblage-518-554	10200	900
assemblage-467-392	7500	900
assemblage-485-380	6600	900
assemblage-487-465	4800	900
assemblage-485-386	3900	900
assemblage-509-612	3000	900
assemblage-531-470	11100	900
assemblage-562-460	11100	900
assemblage-358-519	5700	900
assemblage-538-547	5700	900
assemblage-544-495	10200	900
assemblage-324-504	7500	900
assemblage-532-375	11100	900
assemblage-634-469	5700	900
assemblage-525-380	7500	900
assemblage-424-443	4800	900
assemblage-620-558	11100	900
assemblage-596-533	9300	900
assemblage-386-549	8400	900
assemblage-341-494	5700	900
assemblage-427-494	4800	900
assemblage-646-432	5700	900
assemblage-572-671	6600	900
assemblage-621-505	5700	900
assemblage-330-531	3900	900
assemblage-390-298	8400	900
assemblage-387-565	5700	900
assemblage-609-260	10200	900
assemblage-500-400	11100	900
assemblage-496-588	7500	900
assemblage-484-666	9300	900
assemblage-462-573	11100	900
assemblage-746-449	4800	900
assemblage-631-375	11100	900
assemblage-424-529	9300	900
assemblage-646-444	3900	900
assemblage-315-462	4800	900
assemblage-442-547	3900	900
assemblage-462-580	11100	900
assemblage-520-613	5700	900
assemblage-447-549	3000	900
assemblage-619-552	8400	900
assemblage-468-520	7500	900
assemblage-481-478	9300	900
assemblage-530-446	6600	900
assemblage-326-573	7500	900
assemblage-423-730	8400	900
assemblage-543-670	9300	900
assemblage-556-482	6600	900
assemblage-504-504	9300	900
assemblage-584-478	11100	900
assemblage-578-596	7500	900
assemblage-548-431	5700	900
assemblage-584-407	11100	900
assemblage-539-470	10200	900
assemblage-392-436	10200	900
assemblage-539-478	11100	900
assemblage-735-485	6600	900
assemblage-414-450	11100	900
assemblage-511-498	9300	900
assemblage-708-415	3900	900
assemblage-494-424	8400	900
assemblage-402-661	10200	900
assemblage-490-273	4800	900
assemblage-484-480	11100	900
assemblage-643-624	4800	900
assemblage-517-425	10200	900
assemblage-571-521	7500	900
assemblage-575-628	5700	900
assemblage-504-605	11100	900
assemblage-505-604	4800	900
assemblage-593-363	3900	900
assemblage-494-568	3000	900
assemblage-485-592	8400	900
assemblage-401-274	8400	900
assemblage-554-462	7500	900
assemblage-586-332	3000	900
assemblage-459-519	3000	900
assemblage-407-621	6600	900
assemblage-494-697	6600	900
assemblage-614-342	11100	900
assemblage-627-533	8400	900
assemblage-559-406	11100	900
assemblage-459-453	9300	900
assemblage-360-364	9300	900
assemblage-381-517	4800	900
assemblage-469-395	10200	900
assemblage-528-503	5700	900
assemblage-636-465	4800	900
assemblage-541-555	6600	900
assemblage-541-557	10200	900
assemblage-540-418	3900	900
assemblage-631-625	7500	900
assemblage-483-389	9300	900
assemblage-376-551	5700	900
assemblage-364-569	4800	900
assemblage-438-372	11100	900
assemblage-474-577	5700	900
assemblage-313-642	3000	900
assemblage-445-389	10200	900
assemblage-610-367	9300	900
assemblage-635-521	8400	900
assemblage-454-506	9300	900
assemblage-617-450	7500	900
assemblage-508-652	4800	900
assemblage-510-424	5700	900
assemblage-700-366	11100	900
assemblage-391-442	3900	900
assemblage-537-564	5700	900
assemblage-472-392	3000	900
assemblage-446-389	4800	900
assemblage-687-461	4800	900
assemblage-613-581	8400	900
assemblage-503-562	10200	900
assemblage-396-594	3900	900
assemblage-345-414	3000	900
assemblage-365-367	6600	900
assemblage-553-459	11100	900
assemblage-471-212	4800	900
assemblage-634-495	10200	900
assemblage-589-392	9300	900
assemblage-648-407	4800	900
assemblage-626-554	3900	900
assemblage-531-387	11100	900
assemblage-383-552	11100	900
assemblage-525-530	6600	900
assemblage-543-450	5700	900
assemblage-365-560	7500	900
assemblage-696-222	9300	900
assemblage-393-475	3900	900
assemblage-703-427	5700	900
assemblage-619-342	8400	900
assemblage-681-571	10200	900
assemblage-534-324	5700	900
assemblage-665-539	4800	900
assemblage-621-693	8400	900
assemblage-349-494	8400	900
assemblage-580-655	11100	900
assemblage-582-447	7500	900
assemblage-390-620	3900	900
assemblage-543-638	8400	900
assemblage-645-556	3900	900
assemblage-515-587	7500	900
assemblage-523-494	3000	900
assemblage-392-572	3000	900
assemblage-575-573	9300	900
assemblage-524-415	7500	900
assemblage-489-537	7500	900
assemblage-392-579	9300	900
assemblage-551-726	10200	900
assemblage-478-397	9300	900
assemblage-462-633	8400	900
assemblage-524-551	8400	900
assemblage-269-372	3900	900
assemblage-452-335	5700	900
assemblage-433-587	11100	900
assemblage-510-497	8400	900
assemblage-327-510	3000	900
assemblage-550-443	6600	900
assemblage-544-701	10200	900
assemblage-412-544	7500	900
assemblage-678-696	9300	900
assemblage-430-391	10200	900
assemblage-499-597	7500	900
assemblage-499-594	11100	900
assemblage-605-626	5700	900
assemblage-368-461	4800	900
assemblage-332-527	7500	900
assemblage-368-468	11100	900
assemblage-426-380	3000	900
assemblage-288-459	6600	900
assemblage-649-515	5700	900
assemblage-517-514	11100	900
assemblage-440-473	6600	900
assemblage-348-555	8400	900
assemblage-555-586	9300	900
assemblage-599-337	8400	900
assemblage-605-444	4800	900
assemblage-535-409	11100	900
assemblage-520-586	11100	900
assemblage-405-561	3000	900
assemblage-641-489	10200	900
assemblage-438-651	3000	900
assemblage-564-613	3900	900
assemblage-606-385	4800	900
assemblage-528-554	9300	900
assemblage-467-608	7500	900
assemblage-407-486	3900	900
assemblage-540-521	6600	900
assemblage-467-475	5700	900
assemblage-491-505	9300	900
assemblage-620-556	10200	900
assemblage-479-543	3900	900
assemblage-444-611	8400	900
assemblage-562-454	10200	900
assemblage-389-481	8400	900
assemblage-531-500	9300	900
assemblage-532-742	8400	900
assemblage-348-558	8400	900
assemblage-495-537	10200	900
assemblage-395-626	4800	900
assemblage-456-495	6600	900
assemblage-415-358	4800	900
assemblage-581-468	7500	900
assemblage-634-403	5700	900
assemblage-634-715	9300	900
assemblage-431-606	4800	900
assemblage-555-518	3900	900
assemblage-467-505	5700	900
assemblage-516-456	6600	900
assemblage-424-635	6600	900
assemblage-480-528	6600	900
assemblage-584-362	5700	900
assemblage-431-586	3000	900
assemblage-526-324	3000	900
assemblage-582-448	10200	900
assemblage-609-554	7500	900
assemblage-437-568	3000	900
assemblage-584-311	4800	900
assemblage-507-514	11100	900
assemblage-417-720	3900	900
assemblage-556-572	9300	900
assemblage-375-541	3900	900
assemblage-506-749	6600	900
assemblage-415-630	3900	900
assemblage-641-457	9300	900
assemblage-478-729	10200	900
assemblage-516-671	5700	900
assemblage-397-422	3000	900
assemblage-529-325	9300	900
assemblage-439-556	10200	900
assemblage-458-479	3000	900
assemblage-435-464	9300	900
assemblage-442-377	9300	900
assemblage-447-520	8400	900
assemblage-311-422	11100	900
assemblage-402-473	10200	900
assemblage-556-407	10200	900
assemblage-464-478	5700	900
assemblage-494-453	5700	900
assemblage-536-566	6600	900
assemblage-561-438	3000	900
assemblage-491-640	3900	900
assemblage-615-470	7500	900
assemblage-563-581	8400	900
assemblage-382-587	11100	900
assemblage-522-542	9300	900
