Assemblage_Name	1-1615357-2	1-2-2195845	5375682-3-1	1-8681830-2	1-3419821-2	1-2355576-4791274	0-0-2331115	1-228925-1	1-7415391-1736334	1-1541717-1	1-7321878-2195845	0-8743518-2	1-7500796-1	1-1931318-2	2-6251191-0	1-5925142-1	719217-1-3	1-2-6362090	0-0-1459936	5340590-2-2	1-4136685-1	5246093-2-1736334	1-1517698-1	5506224-2-1736334	1-2-4317782	1-792831-2	1143033-0-0	1-2-5853622	1-2-4791274	7016068-3-1	1-4357345-2195845	1-2-3946745	1-2-1736334	0-0-2	1-3-1	1-5152289-1736334	1-4548491-1736334	1-475344-2	1-6591642-1736334	1-2-2320894	1-2-6486536	1-2-2428004	2-0-0	1-4284144-2	1-4090196-1736334	0-8311383-2	1-196179-2	1626684-2-2195845	1-2-4376344	1-466423-1736334	1-2-4900993	1-2-2	1-2-1330807	1-2-2595266	8945950-0-2331115	1-8167873-1	3726503-2-2195845	1-2-5935376	1-111670-1	0-3657366-2	1-8562573-1
assemblage-779-409	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	2
assemblage-238-250	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	164	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	128	0	0	0	0	0	0	0	0	13
assemblage-375-849	0	120	0	0	0	0	0	7	0	0	0	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	11
assemblage-243-260	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	143	0	92	0	0	0	27	15	5	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	6
assemblage-664-667	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	6	0	0	0	127	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	134	0	0	0	0	0	0	0	0	12
assemblage-802-759	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	56	0	0	0	183	0	79	0	0	0	0	80	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-100-545	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	4	0	0	0	92	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	164	0	0	0	0	0	0	0	0	4
assemblage-755-622	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	50	0	0	0	34	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	12
assemblage-914-787	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	47	0	0	0	57	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	18
assemblage-770-637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	8	119	0	0	0	0	0	0	0	0	0	0	150	0	5	0	0	0	69	9	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	11
