Assemblage_Name	3388647-0-3	2302878-4-1	1-2-2	1-4-2700691	1-4-1	1-4-2	1-1403380-1	9256124-0-3	1-2-3537876	2-1-4	3-0-3554715	3-0-3595302	3-0-3	4-3-2	3-5822272-3	1953712-4-1	1-4-9916324	8495541-0-3	0-3-0	9412560-0-3	1-2451513-1
assemblage-835-941	0	0	8	0	43	17	0	0	0	0	0	0	347	53	0	0	0	0	24	0	8
assemblage-113-959	0	11	0	0	275	71	0	0	0	53	0	0	0	14	0	0	0	0	72	0	4
assemblage-825-957	0	0	13	0	56	9	0	0	0	0	0	0	316	70	0	0	0	0	25	0	11
assemblage-715-242	0	0	4	0	243	0	0	0	22	56	0	0	165	0	0	0	0	0	0	0	10
assemblage-534-685	0	0	103	0	75	20	0	0	26	30	0	0	218	16	0	0	0	0	9	0	3
assemblage-730-265	0	0	99	0	80	16	0	0	23	14	0	0	245	9	0	0	0	0	11	0	3
assemblage-463-898	0	0	6	0	419	0	0	0	0	16	0	0	56	0	0	0	0	0	0	0	3
assemblage-156-401	0	0	0	0	417	0	0	0	0	21	0	0	58	0	0	0	0	0	0	0	4
assemblage-469-877	0	0	13	0	302	14	31	0	0	26	0	0	106	0	0	0	0	0	7	0	1
assemblage-224-414	0	0	0	0	390	0	31	0	0	0	0	0	79	0	0	0	0	0	0	0	0
assemblage-207-392	0	0	0	0	426	0	5	0	0	0	0	0	66	0	0	0	0	0	0	0	3
assemblage-227-401	0	0	0	0	187	0	19	0	0	0	0	0	294	0	0	0	0	0	0	0	0
assemblage-867-301	0	0	0	0	281	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	7
assemblage-386-420	0	0	0	0	223	0	9	0	0	0	0	0	267	0	0	0	0	0	0	0	1
assemblage-907-307	0	0	0	0	341	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	4
assemblage-432-775	0	0	0	0	311	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	6
assemblage-1005-716	0	0	0	0	216	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	1
assemblage-451-195	0	0	0	0	136	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0	2
assemblage-805-423	25	0	0	0	176	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0
assemblage-800-398	18	0	0	0	185	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0
assemblage-278-731	0	0	0	0	234	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	1
assemblage-593-283	0	0	0	0	49	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	1
assemblage-250-249	0	0	0	0	57	0	0	0	0	0	0	0	441	0	0	0	0	0	0	0	2
assemblage-172-503	0	0	0	0	270	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	5
assemblage-103-549	0	0	0	0	292	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	4
assemblage-803-471	0	0	0	0	355	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0
assemblage-795-450	0	0	0	0	171	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	8
assemblage-754-613	0	0	0	0	198	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	1
assemblage-447-675	0	0	0	0	323	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0
assemblage-436-686	0	0	0	0	197	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	1
