Assemblage_Name	1-8161451-8958817	92594-2-4	9988699-8161451-3986982	1-2-303763	1-8161451-5006047	1-8161451-4	7888470-8161451-3986982	1-2619855-4	1-8161451-6685906	1-0-0	9988699-8161451-9904206	1-1331672-4	1-2-3645240	65582-8161451-3986982	5084285-2-3	5205298-8161451-3986982	1-6950373-4	9953547-8161451-4	4008563-8161451-3986982	2282608-8553268-0	1-2-9385146	9040341-2-4	1-8311646-4	0-2-7892749	1-9695704-4	1-2707547-4	1-7594941-4	0-843970-8590451	4-8504282-2	3152750-9956941-4055834	0-843970-0	1-8208464-4	4-0-2	1-3523928-8431337	1-6927175-4	1622076-2-4	0-8553268-0	0-0-0	1-8161451-615654	7299957-2-4	0-2-3	1-8161451-6129911	1-4850869-3986982	1-2-7755427	1-8161451-7052434	5350038-4123540-4	1-8161451-3986982	1-2-4828598	1-4849890-8431337	5831066-2-4	5610744-2-3	2210465-2-4	3152750-9956941-0	1-8161451-8431337	3887192-8161451-8431337	1-4649212-8431337	1-924256-9631724	1-2160015-3986982	1-1304492-4	1-7434590-4	1-8442908-4	0-0-7377954	0-3173550-3	3378475-8161451-4	1-4669554-4	1-4975222-3986982	1-8161451-268141	1-3274547-4	215581-8553268-0	1-2-4	7603958-0-0	1-7483055-4	0-1553448-0	1-4123540-4	1-5837030-4	3428385-8161451-3986982	1-3766589-4	0-843970-9622390	5530062-843970-0	1-3318072-4	1-3917647-3986982	0-0-4445430	1-8161451-9063579	1-8161451-8046438	1-8161451-9631724	7819150-2-4	1-2607367-3986982	0-6082571-0	664727-0-0	4-0-1859515
assemblage-277-258	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	30	0	0	0	17	0	0	0	267	0	0	0	0	0	77	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-952-290	0	0	0	0	0	67	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	7	0	0	0	47	21	0	0	79	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	25	0	0	11	0	0	0	0	0	0	0	11
assemblage-254-263	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	22	0	0	0	0	0	0	0	317	0	0	0	0	0	65	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-865-797	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	12	0	0	0	95	0	22	0	0	0	12	37	0	0	14	0	0	0	0	0	16	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-520-365	0	0	0	0	0	301	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	25	0	0	0	13	0	0	0	0	0	58	0	0	0	37	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	11
assemblage-722-263	0	0	0	0	0	71	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	51	9	0	0	127	0	0	0	0	0	31	0	0	0	28	0	12	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	23
assemblage-478-884	0	0	0	0	0	178	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	15	0	0	0	94	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-490-502	0	0	0	0	0	194	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	5	0	0	0	84	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-495-501	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	9	0	0	0	0	0	12	0	0	0	39	0	0	0	0	0	21	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-203-402	0	16	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	147	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
