Assemblage_Name	3612469-4-0	1-9917792-3	4-7121248-4130772	1-2-1862753	3383144-7121248-3624132	4354244-2-3	1586621-2-3	4-7121248-3624132	1-2-7063353	7125916-7121248-3624132	4-7121248-4634235	4929451-7121248-3624132	7587474-9447352-3	4804733-2-3	3-1-4	9527511-7121248-3624132	1-2-8246538	1-4716228-3	1-6920418-3	4386512-2-3	1-3277181-1862753	1-2184538-1862753	1-1683227-3	4-1-3624132	1-1857450-3	5947481-2-3	1-2754858-1862753	4-7121248-7926316	1-6055490-3	4-7648477-3624132	9880719-8457693-4	1-2-1172892	1-8457693-4	1-2-3	1-2-4	1-9447352-3	4-7121248-8925099	1-4-4	3904273-2-3	4-1411017-3624132	4-9142428-3624132	1-5184650-1862753	4-7121248-2305452	4-7121248-3493997	4-3976132-3624132	3209685-2-3	4820574-1-3624132	4-6904276-3624132
assemblage-121-967	0	0	0	0	0	0	0	182	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	21	39	0	0	113	0	0	0	0	0	0	12
assemblage-949-300	85	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	32	0	0	22	0	0	0	0	0	0	0	0	0	20
assemblage-256-256	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	24	0	0	0	258	0	0	4	0	0	0	0	0	0	13
assemblage-858-776	46	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	158	0	81	0	44	0	0	0	0	0	0	0	0	0	12
assemblage-534-685	37	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	129	0	83	0	50	0	0	0	0	0	0	0	0	0	7
assemblage-536-381	57	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	156	0	78	0	29	0	0	0	0	0	0	0	0	0	3
assemblage-475-889	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	9	34	108	0	185	0	37	0	0	0	0	0	0	0	0	0	9
assemblage-379-174	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	36	215	0	10	0	150	0	0	0	0	0	0	12	0	0	14
assemblage-483-866	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	8	39	135	0	173	0	49	0	0	0	0	0	0	0	0	0	7
assemblage-895-169	0	0	0	0	0	0	0	20	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	205	0	85	0	93	0	0	0	0	0	0	9	0	0	0
assemblage-397-865	0	0	0	0	0	0	0	34	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	171	0	75	0	93	0	0	0	0	0	0	12	0	0	0
assemblage-893-167	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	229	0	0	0	85	0	0	0	0	0	0	0	0	0	9
assemblage-402-413	0	0	0	0	0	0	0	59	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	58	254	0	66	0	20	0	0	0	0	0	0	0	0	0	5
assemblage-412-413	0	0	0	0	0	0	0	67	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	42	253	0	60	0	24	0	0	0	0	0	0	0	0	0	5
assemblage-420-142	0	0	0	0	0	0	0	57	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	48	251	0	67	0	19	0	0	0	0	0	0	0	0	0	10
