Assemblage_Name	1701817-2-4809260	1701817-7735444-2195155	0-4382597-3180685	0-4-5895179	0-6967358-5818276	0-4-4702805	1701817-2885540-2195155	9702387-2-0	5081493-4-4	4-6636885-9108746	1701817-2-4895434	0-2994939-4	0-2-8476102	4-3308890-0	6370851-2-2195155	1701817-2-7523512	1701817-1626068-2195155	4-5521560-0	5324859-4209197-3	1701817-2-7466057	3601999-2-2195155	0-6967358-3180685	0-2-4910890	0-2-305323	0-4-4	0-1982331-3	1701817-806390-2195155	4-2-6769588	1701817-2-4224566	0-5427191-4	1004171-4-6052561	4-6636885-0	1701817-2-2195155	1701817-2-1366101	0-3-3	8920719-4-281727	7466984-2-2195155	1701817-6075754-2195155	5324859-2-3	0-4-7319855	9702387-2-7676615	0-2-2195155	4-4874426-0	1701817-2-8162717	9711215-2-2195155	5356669-2-0	0-6967358-7588964	1701817-5615312-2195155	0-4-6865126	0-7429450-4	1701817-5216173-2195155	0-6967358-4	4-7791627-0	2-2-4	5914435-9271780-4	5513090-2-2195155	0-4-6052561	0-7805041-4	0-128911-4	0-2-3	7636494-2-2195155	0-3706503-4	8201549-2-2195155	4-2-0	9702387-1486852-0	0-2-2901942	1701817-2-6415039	0-8413308-4	299058-2-2195155	2311478-4-4	6686113-7892677-4	4817235-6967358-4	4-9515383-0	0-7996445-4	6686113-4-4	370342-2-0	8920719-4-4	0-8089110-3	0-6967358-7182496	0-2-1014975	2767125-2-0	0-4-7162708	8220102-6967358-4	6765267-2-0	9673947-4-4	5528544-2-2195155	0-4101746-4	1701817-2-6590567	9702387-2-6996550	3306253-4-4	0-4-4076184	9742913-2-2195155	0-2944741-2195155	0-4-6881030	0-6967358-5473999
assemblage-121-962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	33	0	0	13	0	31	0	0	0	0	0	176	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	33	54	0	0	0	21
assemblage-949-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	104	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	4	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-276-265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	5	0	0	11	0	93	7	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-546-680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	144	0	0	0	0	0	0	0	0	0	32	0	0	9	0	0	0	0	48	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	57	0	13
assemblage-521-677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	30	0	0	12	0	0	0	0	53	0	9	0	13	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	47	0	7
assemblage-536-360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	35	0	0	9	0	0	0	0	49	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	46	0	16
assemblage-156-401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	143	0	0	0	0	0	27	0	0	68	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	4	0	14
assemblage-375-188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	67	0	0	0	0	0	13	0	0	85	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	21	0	22
assemblage-370-178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	4	0	39	0	0	0	0	0	0	0	145	0	0	0	0	0	15	0	0	78	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9
assemblage-667-580	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	26	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
