Assemblage_Name	1109327-1-2	2-0-9359138	2-0-8489228	1-0-1	0-3-223319	2-5132053-2	2-0-7274244	2-3-3	3-3-0	2-0-8847223	2-5936440-2	5945773-3-1	0-9500981-2	3-3-9377527	2553919-1-2	2556599-0-2	2-2493153-2	3-1-2	5852703-0-2	2-5494854-2	0-0-2	2-5132053-5121109	2-8305703-2	9660628-0-2	2-0-2	2-6196885-2	2-3051991-2	0-3-1	2-4730833-9359138	3-3-9355149	2-3880459-2	7188707-0-2	8275834-5936440-2
assemblage-356-329	0	108	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	4
assemblage-935-1004	0	0	0	0	0	0	0	0	16	0	0	0	0	120	0	0	0	127	0	0	0	0	0	0	228	0	0	0	0	0	0	0	9
assemblage-988-336	0	80	0	0	0	0	22	0	5	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	303	0	0	0	0	0	0	0	5
assemblage-344-220	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	27	0	0	0	0	0	373	0	0	0	0	0	0	0	9
assemblage-352-266	0	0	0	15	0	0	0	0	83	0	0	0	0	127	14	0	0	193	0	0	10	0	0	0	47	0	0	8	0	0	0	0	3
assemblage-261-343	0	136	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	22	311	6	0	0	0	0	0	0	3
assemblage-793-991	0	2	0	0	0	0	0	0	35	0	0	0	0	29	0	0	0	56	20	0	0	0	0	3	351	0	0	0	0	0	0	0	4
assemblage-689-249	0	46	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	36	0	389	0	0	0	0	0	0	0	9
assemblage-923-976	0	0	0	0	0	0	0	0	27	0	0	0	0	101	0	0	0	133	0	0	0	0	0	0	229	0	0	0	0	0	0	0	10
assemblage-178-167	0	0	0	22	0	0	0	0	93	0	0	0	0	119	6	0	0	177	0	0	17	0	0	0	56	0	0	5	0	0	0	0	5
assemblage-562-744	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	46	0	0	0	0	0	0	216	0	0	32	0	27	0	0	0
assemblage-263-346	0	152	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	10	303	8	0	0	0	0	0	0	6
assemblage-667-407	0	102	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	7
assemblage-471-161	0	0	0	0	0	0	0	0	27	0	0	0	0	101	0	0	0	56	0	0	0	0	0	0	180	0	0	40	0	90	0	0	6
assemblage-955-695	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	85	0	0	0	0	0	0	272	0	0	0	0	55	0	0	4
assemblage-562-770	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	144	0	0	0	0	0	0	195	0	0	14	0	27	0	0	2
assemblage-809-982	0	68	0	0	0	0	0	0	18	0	0	0	0	28	0	0	0	73	0	0	0	0	0	0	310	0	0	0	0	0	0	0	3
assemblage-594-250	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	2
assemblage-491-357	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	44	0	0	180	0	0	0	0	0
assemblage-491-516	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	64	0	0	0	0	0	0	195	0	0	17	0	38	0	0	1
assemblage-340-344	0	115	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	2
assemblage-921-684	0	0	0	0	0	0	0	0	77	0	0	0	0	12	0	0	0	123	0	0	0	0	0	0	209	0	0	0	0	70	0	0	9
assemblage-900-267	0	0	0	0	0	0	0	0	3	0	0	0	0	55	0	0	6	48	10	0	0	0	0	0	378	0	0	0	0	0	0	0	0
assemblage-709-471	0	58	0	0	0	29	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	13
assemblage-291-540	0	3	0	0	0	0	0	0	50	0	0	0	0	21	0	0	0	44	10	0	0	0	0	0	360	0	0	0	0	0	0	0	12
assemblage-532-565	0	45	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	6	58	0	371	0	0	0	0	0	0	0	4
assemblage-602-233	0	12	0	0	0	11	0	0	0	0	40	0	0	0	0	0	0	0	0	12	0	9	0	0	416	0	0	0	0	0	0	0	0
assemblage-868-416	0	0	0	0	0	0	0	0	90	0	0	0	0	7	0	0	0	139	0	0	0	0	0	0	199	0	0	0	0	60	0	0	5
assemblage-164-945	0	8	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	7	0	0	0	0	436	0	0	0	0	0	0	0	5
assemblage-609-673	0	0	0	0	0	0	0	0	25	0	0	0	0	95	0	0	0	68	0	0	0	0	0	0	173	0	0	25	0	111	0	0	3
assemblage-361-255	0	0	0	36	0	0	0	121	66	0	0	0	20	30	0	0	0	55	0	0	124	0	0	0	37	0	0	9	0	0	0	0	2
assemblage-194-177	0	0	0	11	0	0	0	0	274	0	0	0	0	25	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-906-535	0	0	0	141	0	0	0	191	87	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-915-529	0	0	0	137	0	0	0	202	91	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-518-548	0	58	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	11	40	0	363	0	0	0	0	0	0	0	4
assemblage-699-475	0	0	6	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	386	0	0	0	0	0	0	0	10
assemblage-919-1011	0	0	0	0	5	0	0	9	13	0	0	0	0	77	0	0	0	91	0	0	0	0	0	0	280	0	0	22	0	0	0	0	3
assemblage-458-160	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	124	0	0	0	0	0	0	188	0	0	19	0	40	0	0	0
assemblage-247-871	0	0	0	0	8	0	0	20	39	0	0	0	0	112	0	0	0	60	0	0	0	0	0	0	205	0	0	42	0	7	0	0	7
assemblage-760-869	7	0	0	0	34	0	0	42	102	0	0	0	0	76	0	0	0	21	0	0	32	0	0	0	81	0	0	98	0	0	0	0	7
assemblage-253-215	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	58	0	0	0	358	0	0	80	0	0	0	0	2
assemblage-258-243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	315	0	0	98	0	0	0	0	5
assemblage-229-848	0	0	0	0	8	0	0	6	18	0	0	0	0	216	5	0	0	101	0	0	0	0	0	0	105	0	0	34	0	0	0	0	7
assemblage-297-123	0	0	0	0	7	0	0	5	16	0	0	0	0	209	8	0	0	85	0	0	0	0	0	0	125	0	0	33	0	0	0	0	12
assemblage-262-855	0	0	0	0	5	0	0	18	32	0	0	0	0	103	0	0	0	61	0	0	0	0	0	0	226	0	0	35	0	0	8	0	12
assemblage-767-883	0	0	0	25	0	0	0	0	83	0	0	0	0	130	9	0	0	191	0	0	8	0	0	0	41	0	0	12	0	0	0	0	1
assemblage-790-480	0	0	0	0	0	0	0	0	103	0	0	0	0	6	0	0	0	124	0	0	0	0	0	0	210	0	0	5	0	50	0	0	2
assemblage-604-218	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	393	0	0	0	0	0	0	0	12
assemblage-356-798	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	87	0	375	0	0	0	0	0	0	0	6
assemblage-524-544	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	84	0	380	0	0	0	0	0	0	0	1
assemblage-713-902	0	109	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	9	349	12	0	0	0	0	0	0	0
assemblage-912-548	0	0	0	135	0	0	0	220	73	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-414-339	0	83	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	6
assemblage-713-907	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	16	0	0	0	0	0	376	0	0	0	0	0	0	0	8
assemblage-499-537	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	151	0	0	0	0	0	0	182	0	0	15	0	38	0	0	5
assemblage-539-762	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	103	0	0	0	0	0	0	270	0	0	8	0	25	0	0	4
assemblage-599-228	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	6
assemblage-804-979	0	75	0	0	0	0	0	0	12	0	0	0	0	25	0	0	0	89	0	0	0	0	0	0	295	0	0	0	0	0	0	0	4
assemblage-784-478	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	61	0	0	0	0	0	0	365	0	0	0	0	48	0	0	6
assemblage-353-252	0	0	0	28	0	0	0	90	94	0	0	0	25	26	0	0	0	73	0	0	133	0	0	0	19	0	0	10	0	0	0	0	2
assemblage-608-642	0	0	0	0	0	0	0	0	6	0	0	0	0	113	0	0	0	95	0	0	0	0	0	0	218	0	0	14	0	52	0	0	2
assemblage-458-145	0	0	0	0	0	0	0	0	25	0	0	0	0	96	0	0	0	52	0	0	0	0	0	0	188	0	0	28	0	106	0	0	5
assemblage-204-172	0	0	0	8	0	0	0	0	279	0	0	0	0	15	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-692-253	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	94	0	374	0	0	0	0	0	0	0	3
assemblage-151-166	5	0	0	0	44	0	0	41	85	0	0	0	0	64	0	0	0	23	0	0	33	0	0	0	100	0	0	101	0	0	0	0	4
assemblage-768-861	0	0	0	4	34	0	0	32	86	0	0	0	0	75	0	0	0	26	0	0	23	0	0	0	99	0	0	119	0	0	0	0	2
assemblage-793-461	0	0	0	0	0	0	0	0	106	0	0	0	0	12	0	0	0	127	0	0	0	0	0	0	203	0	0	2	0	49	0	0	1
assemblage-936-696	0	0	0	0	0	0	0	0	22	0	0	0	0	61	0	0	0	73	0	0	0	0	0	0	284	0	0	12	0	44	0	0	4
assemblage-298-562	0	103	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	7
assemblage-256-346	0	30	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	17	0	0	0	0	0	0	427	0	0	0	0	0	0	0	5
assemblage-525-934	0	0	0	0	1	0	0	10	14	0	0	0	0	227	6	0	0	104	0	0	0	0	0	0	110	0	0	21	0	0	0	0	7
assemblage-325-227	0	151	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	13	308	6	0	0	0	0	0	0	3
assemblage-352-801	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	10	0	0	403	0	14	0	0	0	0	0	2
assemblage-254-348	0	31	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	7	0	0	0	0	0	0	434	0	0	0	0	0	0	0	4
assemblage-391-369	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	1
assemblage-873-390	0	0	0	0	0	0	0	0	100	0	0	0	0	4	0	0	0	119	0	0	0	0	0	0	224	0	0	0	0	49	0	0	4
assemblage-664-252	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	73	0	393	0	0	0	0	0	0	0	1
assemblage-351-254	0	0	0	26	0	0	0	56	11	0	0	0	0	0	0	0	0	101	0	0	13	0	0	0	229	0	0	63	0	0	0	0	1
assemblage-638-844	0	77	0	0	0	0	0	0	23	0	0	0	0	30	0	0	0	90	0	0	0	0	0	0	279	0	0	0	0	0	0	0	1
assemblage-406-358	0	124	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	3
assemblage-478-349	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	49	0	0	190	0	0	0	0	0
assemblage-294-127	0	0	0	0	9	0	0	13	21	0	0	0	0	121	0	0	0	60	0	0	0	0	0	0	221	0	0	44	0	0	0	0	11
