Assemblage_Name	2-8682202-5845182	9096289-4-0	2-4-8707812	2-4-44565	2-4638367-5845182	8474982-7057101-3	6263198-7057101-3	2-4-8844615	2-9397540-5845182	5647129-0-2	6759333-0-2	4-3-4323348	2-531440-0	3129457-531440-0	4-3235846-3	2-4-183273	2-6402706-0	9669638-4-0	1-3-5522894	2-4-4865915	0-2-2	0-2-4	2-5425343-0	4-0-4219753	4-9596784-3	3806857-3-3	3806857-2531605-3	4-0-2	6692734-4-0	2-4-5845182	6007263-0-2	1-3-2	2-4-4759318	4-7057101-7880450	2-531440-8523139	2-4-0	1-3-2529431	4-7057101-6734170	5123231-4-0	2-3202530-0	7145755-0-2	2-551412-0	2-8486574-0	1847468-4-0	9476439-4-0	3806857-3-1838035	8960740-3-3	2-4-2969536	2-1435727-0	4-3-3	4-7057101-3	4-6383479-3	2-531440-9897555	2-4-8433573	1-3-6923708	8591906-0-2
assemblage-296-570	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	65	36	69	0	106	0	0	0	0	0	93	0	0	0	0	0	0	14	67	0	0	0	0	0	0	0	0	20	0	0	5
assemblage-292-563	0	0	0	0	0	0	0	0	0	4	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	77	21	28	0	181	0	0	0	0	0	107	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-357-256	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	69	0	0	0	0	9	0	0	0	0	0	7	0	0	0	61	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	27	93	0	0	0	9	11
assemblage-897-536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-957-688	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	42	0	0	0	0	0	0	0	0	69	0	87	0	0	0	0	0	0	0	182	26	0	0	0	0	23	0	0	0	0	0	0	0	0	13	0	0	0	0	7
assemblage-344-340	0	0	0	0	0	0	0	0	0	42	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	193	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-340-239	0	0	0	0	0	0	0	0	0	19	0	0	172	12	0	0	0	0	0	0	0	0	0	0	0	46	0	22	0	13	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-928-253	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	31	0	0	0	0	0	0	0	0	76	0	92	0	0	0	0	0	0	0	189	32	0	0	0	0	18	0	0	0	0	0	0	0	0	3	0	0	0	0	4
assemblage-449-332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	160	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	57	0	0	0	0	3
assemblage-261-238	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	33	0	14	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	259	0	0	0	0	10
assemblage-363-786	6	0	0	0	0	0	0	0	14	0	0	0	29	0	0	0	0	0	0	0	0	0	0	6	0	28	0	83	0	205	0	0	55	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-279-115	0	0	0	0	0	7	9	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	18	4	0	131	0	0	0	11	0	0	0	107	11	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	12
assemblage-543-930	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	4	10	0	93	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	7
assemblage-629-460	0	0	0	0	0	0	31	6	0	0	0	0	0	0	6	0	5	0	0	0	0	15	0	0	0	0	0	99	0	0	0	22	0	0	0	140	16	0	0	0	0	0	0	0	0	0	0	0	0	57	95	0	0	0	0	8
assemblage-815-972	0	0	0	0	0	0	0	0	0	0	8	0	18	0	0	0	5	0	0	0	0	0	0	0	0	16	0	43	0	114	0	0	0	0	0	215	9	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-597-662	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	220	11	0	0	0	0	0	0	0	16	0	0	0	0	0	72	0	0	0	0	8
assemblage-292-549	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	3	0	0	0	0	0	0	0	0	23	0	41	0	123	0	0	0	0	0	214	8	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-631-459	0	0	0	0	0	0	28	3	0	0	0	0	0	0	18	0	12	0	0	0	0	8	0	0	0	0	0	80	0	0	0	31	0	0	0	130	19	0	0	0	0	0	0	0	0	0	0	0	0	58	102	0	0	0	0	11
assemblage-353-336	0	0	0	0	0	0	0	0	0	45	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	211	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-293-129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	26	1	0	42	0	0	0	36	0	0	0	162	84	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	5
assemblage-370-312	0	0	0	0	0	0	0	0	0	35	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	222	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-929-253	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	59	0	0	0	0	0	9	0	251	0	0	0	24	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	14
assemblage-295-545	0	0	0	25	0	0	0	0	0	0	0	0	31	36	0	0	34	0	0	0	0	0	8	0	0	45	0	61	0	2	0	0	0	0	0	218	10	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	7
