Assemblage_Name	1-7429309-1619760	1-1980836-4	30363-7942022-0	7233598-0-1311665	2-4-109561	2-2579281-0	7834328-0-1311665	495084-0-1311665	8818597-1995849-2	2-7942022-0	1-4057521-4	0-0-4489414	0-5697530-1311665	2772105-0-1311665	631884-4057521-4	3370278-7942022-3772588	2-9523989-7141334	8304739-2522788-2	2-7942022-3772588	6972041-5005402-0	2-3703537-0	6933573-4-7141334	2605986-4862693-5526798	4-3992264-8141406	8304739-6088815-2	1-7555577-2	0-0-1987387	2-7408700-0	2-6544857-455398	1508238-0-4	0-0-3049748	9838569-0-1311665	1-8413080-4	9518916-7942022-0	7944408-1-5526798	4-3992264-2	0-0-673620	1-1-2	1-1-4	5827712-4-1042574	2-4-6124503	6453486-0-4	4-2980514-2	1-4057521-9296146	4-2980514-5547170	2605986-1-494341	2-965798-7141334	2-4406893-0	1-5876163-5404142	0-9183564-1311665	0-0-4	8292943-1-7835720	6217034-51001-0	254414-7942022-455398	1-6083641-4	3098811-2-2	7086260-7942022-0	2605986-2968563-5526798	9712017-4-1042574	4-2980514-9532382	931185-1-5526798	6088743-0-1311665	6809943-4-0	0-7128374-3465534	1-6310754-7835720	0-0-8489242	0-0-3465534	9129141-4057521-4	4995110-0-1311665	1-4057521-8989492	2-4365859-1042574	9890311-4057521-4	4131315-1-5526798	8304739-3908394-2	1-9203244-2	0-0-1311665	1-4057521-5404142	1-5172638-5882134	2605986-1-5526798	2-4-5474984	2-4-4956605	2-6200892-0	9650455-1-5526798	1-1-5882134	6531311-7429309-2	2-4-3471637	8304739-7429309-2	1-1995849-6535433	4-2-2	7086260-51001-0	2-4-1042574	2-7942022-455398	1-4057521-4475119	2-4-5703198	2-5261688-7141334	1-7429309-2	2-4-7141334	0-0-2616946	7086260-6110536-0	0-3093646-1311665	5099548-7942022-0	971998-0-1311665	1-6001393-2	0-970508-4	0-8651835-4	2-5005402-0	0-0-6923294	0-0-6415107	1-1-7835720	1040058-0-1311665	4-3992264-3464244	2-4-3462810	2-4-6593703	2250916-1-2	5899089-7942022-0	2-4-0	0-0-9704532	1-1995849-2	2-2861813-7141334	1-2647016-4	5729484-0-1311665	2605986-3400070-5526798	1-7429309-1455554
assemblage-356-798	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	11	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	17	0	0	17	81	0	0	0	0	0	79	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-524-544	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	22	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	18	0	0	7	89	0	0	0	0	0	81	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-713-902	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	41	0	0	75	0	0	0	0	0	0	0	128	0	0	8	111	0	18	22	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	10
assemblage-912-548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	0	0	0	0	0	8
assemblage-414-339	0	0	0	0	0	0	0	0	0	171	13	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	11	0	0	0	0	0	0	0	0	60	0	0	4	0	0	0	0	0	0	0	20	0	0	88	10	0	0	0	0	0	33	0	0	3	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-713-907	0	0	0	0	0	0	0	0	0	73	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	128	0	0	0	0	0	0	0	42	0	0	56	34	0	0	0	0	26	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-499-537	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	139	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	20	0	0	0	0	0	6	26
assemblage-539-762	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	22	0	0	39	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	25
assemblage-599-228	0	0	0	0	0	0	0	0	0	99	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	16	0	0	25	0	7	0	0	0	0	0	37	0	0	64	68	0	0	0	70	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	23
assemblage-804-979	0	0	0	0	0	0	0	0	0	77	17	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	43	4	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	46	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	29
