Assemblage_Name	431632-6941761-1	6693584-4-1	3-9977453-3	2-2357593-4	1-1-4	2933364-4-1	2976178-4-1	2-3999804-1	2-4-7622753	2-2357593-1867248	2-1384603-1	5176007-4-1	2-4852070-1	2-4-7637068	9930297-2-3865560	6485127-4-1	9930297-2-1	1318832-3-3	1174277-4-1	8211915-4-1	3-0-7175086	2-4-8849988	431632-4-1	9930297-5726981-1	2-4-1290511	4351367-4-1	2-4-7053825	5236710-3-3	2-2357593-9891387	2-6494642-1	2319089-2-2737568	1-1-9396325	431632-4-8221436	6537173-4-1	2-4-1	2-2357593-4641005	2-4-6038537	2-0-4	2-4-9624009	3-0-2	5104898-3-3	3-4420621-6746720	2-8312010-1	1-1-8704180	1-1-385077	2500405-4-1	2205227-4-1	2-4-2130542	6445165-3-3	1616801-1-4	2-7770630-4	6078667-4-1	8459814-2357593-1867248	431632-6117006-1	8412885-4-1	2319089-2-1	3-4420621-3	2-4-2292755	2-8331201-4	1890498-1-4
assemblage-160-948	0	0	0	0	0	35	0	0	0	0	0	0	0	0	78	0	0	0	0	14	0	0	0	0	0	0	35	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-357-334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	23	0	0	0	0	0	0	37	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	4	0	0	7
assemblage-679-391	0	12	0	0	0	6	0	0	0	17	0	0	0	0	0	0	0	0	0	19	0	0	25	0	0	0	4	0	0	0	0	0	20	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-610-223	0	0	0	0	0	0	0	0	0	12	0	0	0	0	37	0	0	0	0	34	0	0	5	0	0	0	0	0	0	0	0	0	4	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-688-487	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	18	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-349-339	0	0	0	0	0	17	0	0	3	0	0	0	0	0	16	0	0	0	0	42	0	0	20	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-803-461	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	47	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	29	0	0	16
assemblage-260-232	0	0	0	53	28	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	90	0	0	0	0	68	0	0	0	0	0	0	27	0	0	23	0	51	19	0	0	15	0	0	0	0	0	9	0	0	0	0	0	0	18	0	0	9
assemblage-977-352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	5
assemblage-614-667	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	135	0	0	0	0	0	87	0	0	0	0	6	0	0	8	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	27	28	0	0	10
