Assemblage_Name	4190785-3-3	4-6128896-1	7046310-6128896-1	1-2-8014973	3-3-0	3732756-3-3	1-2-1070760	4-1623457-9463376	8092783-2-2	5099164-3-3	2-2-2	3-3-9975612	5099164-3-4585574	6644800-2-4	1-3200419-4	5099164-6027271-3	9120205-358908-2	2-358908-2	5462354-3-3	3-3-5088491	2-6089979-2	5099164-3-2804441	469667-3-3	779463-2-2	2-124689-2	5992486-358908-2	4-6128896-6760771	4-8496054-1	1-7261277-8014973	1-2-4	798089-6128896-9463376	4-3-3	4-6128896-9463376	2-9000280-2
assemblage-279-115	0	0	0	0	87	0	0	0	0	98	19	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	18	88	0	42	7
assemblage-543-930	0	83	0	0	15	0	0	0	0	110	66	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	43	23	0	42	5
assemblage-629-460	0	97	0	0	77	0	0	0	0	36	39	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	3	0	0	16	60	24	118	8
assemblage-815-972	0	0	0	38	105	11	0	0	0	178	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	97	0	26	9
assemblage-597-662	0	0	0	0	132	0	0	0	0	102	3	0	5	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	31	49	0	6	5
assemblage-292-549	0	0	0	36	88	18	0	0	0	198	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	85	0	32	13
assemblage-631-459	0	80	0	0	86	0	0	0	0	33	42	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	8	0	0	12	55	34	122	11
assemblage-353-336	0	0	0	148	125	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	9
assemblage-293-129	0	20	0	0	21	0	0	0	0	120	27	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	107	21	0	21	4
assemblage-370-312	0	0	0	139	130	0	0	0	0	195	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	0	18	0	0	1
assemblage-929-253	0	0	0	24	127	0	0	0	0	56	39	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	88	73	0	0	8
assemblage-295-545	0	0	0	87	74	0	0	0	0	96	21	0	0	0	0	4	0	37	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	5
assemblage-646-853	0	0	0	103	83	0	0	0	0	101	25	0	0	0	0	6	0	31	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	9
