Assemblage_Name	73806-6906063-2	1-1-0	2-3-0	6225637-0-2	0-1467663-4	649957-0-804660	2-0-2434153	2-7797935-804660	1-1-7840896	3834365-2-2	7613751-0-2	1-792687-0	7224956-1-0	2-1235153-2	2-0-804660	0-3531756-4	4-8599001-2	2-0-7398713	73806-0-2	1-1-8001160	1-2804459-0	2-0-2	1042246-0-804660	4-2-2	2-7674167-804660	0-3-4	0-4012959-4	2-0-5877470	2-0-8131438	2-3952057-804660	2-3465788-2	8753117-2-2	1132286-3-4	2-1732063-2	8753117-989169-2	4539821-6906063-2
assemblage-358-789	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	205	0	0	0	0	0	0	0	0	0	0	0	63	0	6
assemblage-611-217	0	14	34	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	322	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-670-392	0	12	47	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	182	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-907-527	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-358-786	0	61	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	12	190	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-742-872	0	109	11	0	1	0	0	0	0	0	0	0	0	0	63	0	35	0	0	0	0	209	0	0	0	38	30	0	0	0	0	0	0	0	0	4
assemblage-627-458	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	48	0	166	36	0	0	0	0	44	0	0	0	7
assemblage-545-737	0	139	157	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	73	0	0	0	0	7	0	0	0	0	0	79	0	0	7
assemblage-606-238	0	32	104	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	175	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-195-187	0	67	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	135	0	0	0	0
assemblage-171-608	0	0	35	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	193	0	0	197	7	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-466-351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	102	0	0	0	0	0	0	0	0	8
assemblage-687-910	0	165	163	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	13	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-209-176	0	67	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	106	0	0	0	3
assemblage-281-541	8	111	62	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	35	0	0	173	0	0	0	0	0	20	0	0	0	0	0	0	0	0
assemblage-762-878	0	78	103	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	37	0	163	0	21	0	0	0	0	0	90	0	0	0	4
assemblage-181-190	0	102	0	0	8	0	0	0	0	0	0	0	0	0	48	0	50	0	0	0	0	210	0	0	0	41	29	0	0	0	0	0	0	0	0	12
assemblage-168-953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-990-345	0	76	117	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	5	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-549-750	0	150	48	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	53	58	0	0	1
assemblage-480-335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	97	0	0	0	0	0	0	0	0	11
assemblage-535-559	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	218	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-183-166	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	31	0	195	22	0	0	0	0	52	0	0	0	5
assemblage-176-599	0	9	47	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	213	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-924-289	0	139	4	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	62	0	0	78	0	0	0	0	0	15	0	0	0	0	0	0	0	2
assemblage-235-847	0	35	105	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	151	0	15	0	9	12	0	0	0	0	0	67	0	0	9
assemblage-298-582	0	26	31	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	159	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-172-188	0	46	25	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	182	0	27	0	86	15	0	0	0	0	0	55	0	0	6
assemblage-299-556	0	159	11	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	56	0	0	65	0	0	0	0	0	11	0	0	0	0	0	0	0	5
assemblage-809-471	0	127	114	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	3	0	0	104	0	0	0	0	0	0	0	0	0	0	124	0	0	2
assemblage-183-592	0	6	39	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	321	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-870-401	0	158	18	0	0	0	0	0	0	0	16	0	0	0	39	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	9	0	0	2
assemblage-299-553	0	28	34	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	145	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-267-236	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	83	0	0	0	0	0	0	0	0	0	1
assemblage-690-252	0	10	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	227	0	0	190	0	0	0	0	0	0	0	0	0	0	0	59	0	7
assemblage-889-395	0	123	39	6	0	0	0	0	0	0	0	0	0	0	29	0	0	0	61	0	0	212	0	0	0	0	0	0	0	0	0	15	7	0	0	8
assemblage-619-459	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	42	0	187	17	0	0	0	0	27	0	0	2	1
assemblage-296-136	0	84	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	101	0	21	0	10	11	0	0	0	0	0	153	0	0	17
assemblage-609-214	0	14	25	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	192	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-526-929	0	144	72	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	92	0	31	0	0	35	0	19	0	0	47	41	0	0	3
assemblage-950-251	0	11	89	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	169	0	0	0	0	0	41	0	0	0	0	40	0	0	7
assemblage-663-393	0	11	25	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	330	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-1000-339	0	116	76	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	40	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-154-592	0	14	32	0	0	0	0	5	0	0	0	0	0	0	37	0	0	0	306	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-181-932	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-343-236	5	168	24	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	140	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-152-958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-503-944	0	135	53	0	0	0	0	0	0	0	0	0	0	0	19	0	2	0	0	0	0	121	0	47	0	0	24	0	19	0	0	50	27	0	0	3
assemblage-150-176	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	34	0	170	12	0	0	0	0	61	0	0	0	9
assemblage-537-763	0	142	181	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	60	0	0	14
assemblage-911-277	0	152	117	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	34	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-500-534	0	118	46	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	78	0	0	0	0	0	0	12	0	0	50	86	0	0	0
assemblage-594-237	0	44	34	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	177	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-790-466	0	164	23	0	0	0	0	0	0	0	23	0	0	0	44	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	7	0	0	3
assemblage-235-826	0	106	0	0	0	3	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	108	0	20	0	11	18	0	0	0	0	7	122	0	0	4
assemblage-585-209	0	14	43	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	155	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-285-119	0	24	113	0	0	0	0	0	0	0	0	0	0	0	116	0	8	0	0	0	0	150	0	10	0	5	0	0	0	0	0	0	62	0	0	12
assemblage-936-250	0	153	22	0	0	0	0	0	0	0	37	0	0	0	49	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	8	13	0	0	5
assemblage-988-353	0	78	140	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	4	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-692-481	0	17	26	0	0	0	0	6	0	0	0	0	0	0	20	0	0	0	319	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-497-531	0	55	38	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	121	0	0	3
assemblage-604-675	0	150	159	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	65	0	0	0	0	10	0	0	0	0	0	59	0	0	6
assemblage-481-156	0	127	37	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	66	54	0	0	2
assemblage-465-144	0	64	41	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	320	0	0	0	0	6	0	0	0	0	11	31	0	0	2
assemblage-607-238	0	30	100	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	178	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-508-917	0	32	54	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	204	0	4	0	0	34	0	22	0	0	22	53	0	0	5
assemblage-806-986	0	154	114	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	44	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-666-410	0	64	17	0	0	0	0	0	0	0	0	0	0	9	53	0	0	0	174	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-667-848	0	224	93	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	7	0	0	120	0	0	0	0	0	9	0	0	0	0	12	0	0	1
assemblage-763-893	0	121	0	0	15	0	0	0	0	0	0	0	0	0	43	0	62	0	0	0	0	187	0	0	0	39	25	0	0	0	0	0	0	0	0	8
assemblage-991-355	3	159	24	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	111	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-711-905	0	187	161	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	10	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-405-331	0	32	43	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	169	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-267-347	0	120	84	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	35	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-702-912	0	101	80	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	36	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-520-527	0	140	163	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	61	0	0	0	0	5	0	0	0	0	0	70	0	0	7
assemblage-471-319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	393	95	0	0	0	0	0	0	0	0	5
assemblage-302-569	0	146	108	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	89	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	7
