Assemblage_Name	2-4078699-2	7602271-2-2	6709151-7660565-4	6513896-8467996-4	7292763-8467996-8378071	540038-2-8971191	2-4-1707631	7292763-8779373-4	1517970-7660565-4	9707862-8467996-4	4232838-8467996-99115	3-3-1	4232838-2-4	4565442-2-2	3733135-2-2	3612702-2-2	3-5746785-3	49099-8467996-4	2-2-4685576	8474052-2-2	3-4665155-3	2-2-1	2-2-2	2-3411129-2	4536157-8467996-4	49099-9877589-4	540038-2-2	2-2-4363093	4232838-8467996-9451680	7292763-1274421-4	2706811-2-2	2655209-8467996-4	2-2-3300627	6386901-5746785-3	4275176-8467996-4	0-2-4	2-1702440-2	2-5202852-2	4232838-8467996-218552	2527240-8467996-4	49099-8467996-130880	1517970-6214141-4	684144-0-3	2-4-4	4232838-8467996-4	2-9093244-2	3-0-3	3532746-2-2	9270764-8467996-4	4232838-8467996-7808962	6386901-5746785-6743620	2-4-6344129	4232838-8467996-3192788	4232838-7587508-9673481	1517970-8467996-4	4232838-8791794-4	2441851-2-2	3-2339912-3	3612702-7186162-2	7292763-3349085-4	9767080-8467996-4	2-2-2682712	8740424-8467996-4	7292763-8467996-4	1967878-2-2	9755788-2-2	5017891-8467996-4	2-4-8236986	2-2-706455	7292763-9455404-4	2-2-2840087	3-95581-3	6451700-2-2	4232838-1289386-3429306	2-2-2910358	4232838-7525908-4
assemblage-261-238	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	82	0	0	0	0	0	0	0	164	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	14	0	0	0	5
assemblage-363-786	0	0	0	23	0	0	0	15	29	0	0	0	0	0	0	0	0	25	0	0	0	0	88	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-279-115	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	35	0	0	46	8	0	0	0	0	0	6	101	49	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-543-930	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	24	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	15	0	0	5	0	0	0	0	0	9	14	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	18
assemblage-629-460	15	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	27	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-815-972	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	206	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-597-662	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	19	74	0	0	0	0	0	0	0	20	32	0	0	0	14	0	7	0	0	68	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-292-549	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	212	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-631-459	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	89	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-353-336	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	84	0	0	5	0	0	16	0	0	0	0	0	9
assemblage-293-129	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	45	0	16	114	0	0	0	0	0	6	12	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-370-312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	118	0	0	8	0	0	11	0	0	0	0	0	16
