Assemblage_Name	1901942-4-4	7174518-898066-1585783	5809005-8232416-1	2-1050633-1260624	3-1689781-1	7174518-4-1585783	7703504-6504860-4	7981547-8956213-4	890270-4-4	2-4309479-5456624	1720455-3382816-4	1443008-4-4	2-0-1260624	5106072-4309479-1260624	7567976-2972621-4	2-4-3052034	3-4-1	0-4-3	7703504-4-8188929	4262678-4-4	2-4-4956714	9746584-4-4	2-1969537-3886178	7981547-27490-4	2-0-3	7981547-4682671-4	5809005-4-1	2-4309479-3581729	5650251-4-4	4498086-2972621-4	2-4-5452246	7981547-316535-4	7174518-4-2633618	7981547-4-4577470	2-3118117-4	2-4309479-811356	7981547-4786165-4	7981547-1154347-4	7174518-4-7718383	1146360-4309479-9921352	7703504-6151950-4	2-4309479-1260624	2-1969537-1260624	4557470-4-4	9874171-4309479-1260624	5574325-9439685-116304	2-0-7503522	2-0-116304	1-4-4	1-4-8935626	2-4244968-116304	2-3269959-116304	7174518-4-9060503	2-7333686-4	2-8874776-3052034	2-0-4614421	2-1016146-1260624	3439669-4-4	5574325-0-116304	2997925-4-4	4-0-0	2-4-253782	7981547-2972621-4	6286698-4-4	7981547-4-4	2-4-4	1610178-4-4	3445248-4309479-1260624	4-0-3909012	1610178-4225550-4	7981547-316535-5789983	4154028-4-1585783	2-2043341-1260624	915656-4-4	7703504-4-4	2-4309479-4252958	2-1969537-2626849	9384067-4-4	7503348-4-4
assemblage-160-948	0	0	0	0	0	0	0	0	0	0	0	16	0	0	165	0	0	0	0	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	6	0	57	0	0	25	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	9	0	0	55	9	0	0	0	0	0	0	0	96	0	0	0	12
assemblage-357-334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	9	43	6	0	0	0	0	0	29	0	100	0	0	0	18
assemblage-679-391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	11	0	54	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	24	4	69	48	14	17	0	0	0	0	31	0	13	0	0	0	10
assemblage-610-223	0	0	0	0	0	0	0	0	0	0	0	10	0	0	44	0	0	0	13	183	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	25	58	0	0	0	0	0	0	6	0	72	0	0	0	10
assemblage-688-487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	10	72	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	67	0	20	3	57	0	0	0	0	0	0	0	29	0	0	0	10
assemblage-349-339	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	60	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	79	155	68	0	0	0	0	0	12	0	33	0	0	0	15
assemblage-803-461	0	0	0	0	0	24	0	0	0	0	0	0	29	0	0	25	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	25	190	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-260-232	0	0	0	0	0	28	0	0	0	0	0	0	11	0	0	0	8	27	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	86	103	0	0	0	0	0	0	3	0	0	0	0	28	0	0	0	0	89	0	0	12	0	0	16	0	0	0	0	0	0	34
assemblage-977-352	0	35	0	0	0	7	0	16	0	0	7	0	0	0	0	13	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	32	93	0	0	0	0	0	0	0	0	200	0	0	0	6
assemblage-614-667	0	0	0	0	0	137	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	143	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-198-177	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	15
assemblage-898-542	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	26	65	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-942-233	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	12	158	0	0	0	0	0	0	0	0	0	12	0	0	2
assemblage-894-247	0	0	0	0	0	6	0	21	0	0	0	0	7	11	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	178	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	210	6	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-894-530	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	31	98	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-930-240	4	0	0	0	0	44	0	0	0	0	0	0	32	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	138	0	0	0	0	0	0	0	14	0	0	0	0	11
assemblage-411-344	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	65	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	69	138	49	0	0	0	0	0	5	0	49	0	0	0	16
