Assemblage_Name	1-6851594-0	4579836-0-495436	1-8092132-5376206	0-8368908-1	3-3-1	1-8092132-0	3-8604947-1	4-508700-0	4-5180155-495436	0-1-1	6505826-1-4	4-209931-495436	3657716-0-495436	0-9793988-1	4-6053368-495436	0-8142930-1	3-1-4	4-2449732-495436	4708040-0-495436	4-0-495436	4-2449732-6528690	4897015-0-0	4-2449732-2044594	4-3-4	4-2-0	1-8092132-9469947	3264759-8092132-0	4-9515191-495436	1-8092132-9679453	1-8092132-6508779	4-2-8241146	5382900-8092132-6508779	3-3-1454976
assemblage-160-948	0	0	9	0	0	210	0	0	0	0	0	0	0	0	0	0	0	27	0	155	0	0	0	0	0	0	0	0	0	0	0	95	4
assemblage-357-334	0	0	0	0	0	282	0	0	0	7	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	20	6
assemblage-679-391	0	0	28	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	36	6
assemblage-610-223	0	0	0	0	11	254	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	57	2
assemblage-688-487	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	100	0	141	0	0	0	0	0	0	0	0	0	0	0	92	2
assemblage-349-339	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	19	0	0	0	0	0	122	6
assemblage-803-461	0	0	0	0	7	153	0	30	0	141	0	0	0	2	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	40	0	0	11
assemblage-260-232	14	0	0	0	76	36	0	0	9	145	0	0	0	0	0	0	141	0	0	36	0	0	0	30	10	0	0	0	0	0	0	0	3
assemblage-977-352	0	0	0	0	25	186	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	16	8
assemblage-614-667	0	0	0	0	14	44	0	0	0	151	59	0	0	0	0	0	30	0	0	103	0	0	0	0	97	0	0	0	0	0	0	0	2
assemblage-198-177	0	0	0	0	0	4	0	0	39	0	0	0	0	0	0	0	270	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-898-542	55	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-942-233	0	0	0	0	108	229	0	12	0	63	0	0	0	0	0	0	0	0	0	61	0	0	0	0	22	0	0	0	0	0	0	0	5
assemblage-894-247	0	0	0	0	86	110	22	0	0	78	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-894-530	49	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-930-240	0	0	0	0	57	78	0	25	0	153	0	0	0	0	0	28	9	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-411-344	0	0	0	0	8	160	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	8	0	0	0	0	0	118	10
assemblage-673-417	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	189	3	0	0	0	0	0	0	0	0	0	0	96	8
assemblage-254-333	0	0	0	0	20	191	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	12	5
assemblage-260-332	0	44	0	0	28	198	0	0	0	48	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-681-262	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	72	0	151	0	0	0	0	0	0	0	0	29	0	0	20	1
assemblage-925-280	0	0	0	0	98	231	12	0	0	52	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-371-813	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	123	1
assemblage-172-952	0	0	13	0	0	211	0	0	0	0	0	0	0	0	0	0	0	35	0	136	0	0	12	0	0	0	0	0	0	0	0	92	1
assemblage-887-413	0	0	0	0	23	173	0	21	0	133	0	0	0	7	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	42	0	0	5
assemblage-333-235	0	46	0	0	36	189	0	0	0	34	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	9	3
assemblage-296-570	0	0	0	0	8	138	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	9	0	0	0	0	0	133	8
assemblage-292-563	0	0	0	0	8	265	0	0	0	8	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	65	0
