Assemblage_Name	4358248-1681612-837980	4870561-3-4	2-80241-0	4-3-9446250	0-2612144-5882735	4111296-3-376799	2-3268689-806961	2210952-1-0	3837416-6982773-0	2-3268689-7467607	6485046-1-4	4-3-8903738	1585073-3-4	2210952-1-3927115	4-3-3437040	4-9001028-4	4576672-1-4180672	0-2612144-4	4576672-1-654436	9116946-3-4	4-3-1969135	4-1681612-837980	0-2849165-0	1746795-1-7994809	4-3012586-4	405781-4654105-0	0-9510391-4	2-5690429-0	4576672-1-4	5117098-1-6636356	0-9255353-4	4799098-4172716-0	4-2734931-4	0-6230072-0	8634930-3-4	2-1725246-0	305914-3-4	4-3-9978573	1630159-0-4	3926617-3268689-0	0-1-7969513	5117098-4964676-4	4-1681612-4	0-1-0	2574492-3268689-0	0-6982773-0	5117098-8880108-6636356	4-3-376799	338026-3-4	4-9246152-4	7985107-1-0	4-3-3923944	0-9616451-0	2-3268689-9571520	4-3-9222648	2-9309871-571525	4-6174101-4	1-443540-4	4-7790347-4	1017060-2612144-4	0-1134377-0	3552540-0-4	4-3-4	4-3-3477547	4-3-7888083	5117098-5517053-4	3611409-2612144-4	8329033-3-4	1-5014274-4	2-1871489-0	0-2612144-5209803	4-6679202-4	5502743-3-4	2545312-3-4	0-1-3024180	970907-1681612-8561871	4799098-4654105-0	8367407-3-4	5117098-1-1639896	2-3883310-1	7368080-1-0	5397269-3268689-0	1705057-3268689-0	7732115-1-0	4-207302-4	8060454-1-4	1-0-4	5247250-2612144-4	5803606-9001028-4	2-4654105-1181554	0-6453622-0	2-3268689-0	2-3268689-6034691	5408765-1-0	0-9501264-0	5117098-1-4	8141139-1-0	4-3-4802200	2-3268689-6347394	137766-4654105-0	451591-1-0	4-6585692-4	832217-4654105-0	2-8073975-0	4809974-1681612-837980	4-3-5979992	9355476-0-4	2-4654105-0	2210952-1-5494002	0-1-8184835	4-1681612-8561871	4-4831505-4	4001631-2612144-4	0-1374307-4
assemblage-357-256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	16	0	11	0	0	0	0	0	0	9	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	30	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	13
assemblage-897-536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-957-688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	27
assemblage-344-340	0	0	0	0	0	0	12	45	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	2	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	30	24	0	56	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-340-239	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	7	0	0	0	0	10	64	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	22
assemblage-928-253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	21
assemblage-449-332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	276	0	0	0	0	0	13
assemblage-261-238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	12	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-363-786	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	18	0	0	0	57	0	0	0	0	0	0	20	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	162	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	103	0	10
assemblage-279-115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	17	0	0	0	0	0	0	0	0	80	144	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6	0	24	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	28
assemblage-543-930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	26	128	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	33	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	81	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-629-460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	20	0	0	0	0	16	143	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	4
assemblage-815-972	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	55	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	12
assemblage-597-662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	24	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
