Assemblage_Name	2-1-6028385	2630200-1-4486420	1-1-0	3455402-1-0	428518-9786172-4	2169391-9344973-4929240	22512-3-4	428518-1091581-4	2169391-9344973-7731851	0-3-8769458	1-4424123-0	3-3-4	0-3-7859921	2-1-3684969	2169391-943021-0	4-2-2	428518-3-4	0-948059-2	2-832347-4	428518-468315-4	428518-3429291-3801618	2-7891024-4486420	9454786-3-2	2169391-8067816-0	9132303-9344973-0	428518-9375582-4	428518-3-6446833	5386560-1-0	2169391-9344973-3173811	428518-3-4304188	0-3-335923	2-660759-4486420	7961369-832347-4	2-4423718-4	2169391-9344973-0	3-3-1040722	0-1231449-609762	2169391-3475390-8964296	5064593-3-2	2169391-3475390-0	6123373-3-2	4-2-9007962	2-1-4661466	4754844-1-4486420	2-0-4	0-5321031-2	2-1-4486420	9132303-9344973-7054436	3859609-3-2	4-8291026-2	2-1-868132	0-3-2	308433-3-4	45556-3-2	428518-4203094-4	428518-3429291-4	0-3-3708735	2-4207272-4	428518-2931471-4	2-346170-4	1836474-4423718-4	428518-3-3145684	428518-5160173-4	2169391-9031681-0	428518-5637109-4	1984152-9344973-0	0-3-2437904	2403114-1-4486420	2523418-3-4	3537044-3-4	0-1231449-2	3628159-9344973-0	656690-3-4	6351819-9344973-0	428518-4967462-4
assemblage-260-332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	60	0	0	0	0	0	0	0	0	0	50	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-681-262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	11	54	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	12
assemblage-925-280	33	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	84	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-371-813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	14	0	0	0	0	0	22	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-172-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	11	0	0	0	12	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	10
assemblage-887-413	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	44	0	0	0	0	0	0	0	56	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-333-235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	43	0	0	0	0	0	0	0	0	0	36	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7
assemblage-296-570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	8	0	12	0	0	44	0	0	0	0	0	0	11	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	6
assemblage-292-563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	24
assemblage-357-256	0	0	40	0	0	0	0	0	0	0	0	102	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	37	0	0	0	0	194	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-897-536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-957-688	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	46	0	0	0	0	0	0	0	91	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7
assemblage-344-340	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	38	0	4	0	0	8	0	0	0	0	0	0	15	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	25	0	0	6	0	0	0	46	0	0	0	11
assemblage-340-239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	47	0	0	0	0	0	0	0	0	0	58	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	12
assemblage-928-253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	51	0	0	0	0	0	0	0	65	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-449-332	0	0	80	0	0	0	0	0	0	0	0	157	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	46	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-261-238	0	0	104	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-363-786	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	13	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-279-115	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	43	0	243	0	0	0	0	124	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-543-930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	76	0	0	0	0	0	0	0	0	3	6	0	54	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	5
