Assemblage_Name	0-0-5027680	3-1193437-0	1-0-4	3-3-0	3-3-2	1-4-410103	1-0-9900096	7412412-0-0	1781437-3-0	4-2567890-0	1-0-2571527	4-0-788356	1-0-2861031	1-3503475-4	4-0-0	7432143-3-0	3-3-9264893	0-0-1	1-6775434-4	3-7698103-0	4-9320158-0	1-9145809-4	3-8488337-0	953587-3-0	1062089-0-0	1023189-0-0	4-0-4966820	1-4-4	1-1758834-4	3-3-2357802	3-4-3	1-0-6613978	4078030-0-4	6089465-3-0
assemblage-280-126	0	0	142	26	0	18	9	0	0	0	0	0	0	0	126	0	0	33	0	0	97	0	0	0	0	0	0	15	0	7	17	0	0	10
assemblage-925-992	0	0	136	66	16	8	0	0	0	0	0	0	0	0	112	0	0	0	0	0	49	0	0	0	0	0	0	89	0	0	23	0	0	1
assemblage-196-186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	6	0	0	0	0	0	0	262	0	0	191	0	0	2
assemblage-941-247	0	0	180	63	15	0	0	0	0	0	0	0	0	0	37	0	0	21	0	0	106	0	0	40	0	0	0	0	0	0	31	0	6	1
assemblage-882-392	0	0	148	79	20	0	0	0	0	0	0	0	0	0	39	0	0	25	0	0	118	0	0	34	0	0	0	0	0	0	24	0	11	2
assemblage-623-454	0	0	44	126	11	11	0	0	0	0	0	0	0	0	70	0	6	14	0	0	77	0	0	0	0	0	0	125	0	0	14	0	0	2
assemblage-621-440	0	0	41	6	0	0	0	0	0	0	0	0	0	0	132	0	0	7	0	0	81	0	0	0	0	0	0	70	0	0	156	6	0	1
assemblage-898-394	0	0	226	61	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-720-910	0	0	258	180	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	2
assemblage-237-258	0	0	5	439	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-687-249	0	0	105	239	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	7	0	5	0	0	0	0	0	0	43	0	22	0	0	2
assemblage-642-861	0	0	115	75	0	0	0	0	0	61	0	0	0	5	153	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-246-246	0	0	14	427	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-759-877	0	0	87	249	0	0	0	0	0	0	0	1	0	0	94	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	18	0	0	3
assemblage-759-874	0	0	91	249	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	11	0	0	7
assemblage-923-236	0	0	254	66	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-280-565	0	0	143	154	5	0	0	0	0	23	0	0	0	0	73	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	20	0	14	10
assemblage-628-854	0	0	108	77	0	0	0	0	0	68	0	0	0	3	157	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-710-473	0	0	129	211	0	0	0	0	0	0	5	0	0	0	96	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	39	0	0	5
assemblage-277-528	0	0	175	242	11	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-328-328	0	0	73	136	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	112	0	0	3
assemblage-630-846	0	0	184	196	20	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-190-596	0	6	86	284	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	6
assemblage-359-271	0	0	72	263	0	0	0	0	0	0	0	3	0	0	96	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	14	0	0	4
assemblage-985-351	0	0	100	245	0	0	0	0	0	2	0	0	0	7	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-597-671	0	0	50	171	103	21	0	0	0	0	0	0	0	0	36	0	0	6	0	0	19	0	0	0	0	0	0	41	0	0	51	0	0	2
assemblage-460-153	0	0	48	174	79	33	0	0	0	0	0	0	0	0	39	0	0	0	0	0	31	0	0	0	0	0	0	32	0	0	56	0	0	8
assemblage-684-472	0	0	65	235	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	4
assemblage-689-477	0	0	72	192	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	6
assemblage-308-566	0	0	38	357	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7	0	0	6
assemblage-471-340	0	0	256	16	40	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	2
assemblage-922-687	0	0	252	61	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-910-1006	0	0	182	94	0	34	0	0	0	0	0	0	0	0	132	0	0	20	0	0	7	0	0	0	0	0	0	7	0	6	16	0	0	2
assemblage-774-471	0	0	43	219	54	0	0	0	0	0	0	0	0	0	90	0	0	12	0	0	57	0	0	0	0	0	0	0	0	0	15	0	0	10
assemblage-239-868	0	0	137	87	20	0	0	0	0	0	0	0	0	0	35	0	0	16	0	0	26	0	0	0	0	0	0	12	0	0	165	0	0	2
assemblage-543-757	0	0	202	88	32	0	0	0	0	0	0	0	0	0	39	0	0	8	0	0	36	0	0	0	0	0	0	18	0	0	64	0	0	13
assemblage-615-216	0	0	195	221	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-352-230	0	0	105	207	0	0	0	0	0	33	0	0	0	0	122	20	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	6
assemblage-614-458	27	0	200	70	16	0	0	0	0	0	0	0	0	0	56	0	0	42	0	0	39	0	0	0	0	0	0	32	0	0	17	0	0	1
assemblage-614-459	0	0	40	132	21	6	0	0	0	0	0	0	0	0	76	0	0	7	0	0	83	0	0	0	0	0	0	103	0	0	18	0	0	14
assemblage-598-655	0	0	139	0	0	29	0	0	0	0	0	0	0	0	172	0	0	12	0	0	135	0	0	0	0	0	0	5	0	0	0	0	0	8
assemblage-336-223	0	0	94	268	0	0	0	0	0	0	0	0	0	14	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-787-982	0	0	155	238	13	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-637-842	0	0	114	59	0	0	0	0	0	75	0	0	0	8	148	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-912-277	0	0	181	190	0	0	0	13	0	0	0	0	0	0	42	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	3	0	0	8
assemblage-167-585	0	4	66	290	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	5
