Assemblage_Name	4-0-4140762	1-1-1	7386993-9325767-0	0-4563939-564943	4-1484877-0	4-0-8205579	251270-1-1	4-1-7618529	0-6554524-4	0-0-7098075	0-6554524-6989085	7386993-0-0	2924522-0-0	4-1-4	4-0-3186675	51023-4563939-564943	4-9616350-7095072	6146344-0-0	4-0-8294017	7429958-3-1	2-2-6290017	7386993-1555804-0	4-0-5755496	3-9678830-5705038	3563672-1-4	2158749-0-4	4-855217-2	9145626-0-0	4-0-0	4-0-979578	4-1-4603217	4-1-7095072	0-0-4	4362213-0-0	4-1-1163146	7666902-2-6290017	4227388-0-979578	3219171-0-0	4-1524340-0	3-9678830-8825763	2923571-0-789714	9748590-0-789714	2588763-4563939-564943	7225620-9684505-0	0-4563939-5431950	1709325-0-0	4-2-2	7225620-0-0	0-0-606052	4-9059184-4	4-0-7709253	4389351-1-4	4-0-789714	3-4371639-1	1-1-7926435	791507-0-4	0-1063087-4	7869756-0-0	4-1-6623292	4919911-0-4	5056300-0-4	6799739-0-4	3-9678830-1	3292319-0-0	9929560-9678830-1	4128305-0-0	8869967-1-4
assemblage-609-214	0	0	0	72	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	6	31	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	195	0	0	0	11
assemblage-526-929	0	0	0	20	0	35	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	26	0	0	0	0	0	142	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	87	0	0	0	8
assemblage-950-251	0	0	0	69	0	0	0	0	0	0	0	0	6	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	21	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	37	0	0	0	11
assemblage-663-393	0	0	0	60	0	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	19	52	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	109	11	0	0	0	0	0	0	0	0	174	0	0	0	7
assemblage-1000-339	0	0	0	6	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	24	0	0	0	0	0	0	0	0	0	79	0	0	0	18
assemblage-154-592	0	0	0	68	0	0	0	0	5	0	0	29	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	13	33	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	132	12	0	0	0	0	0	0	0	0	170	0	0	0	9
assemblage-181-932	0	0	0	147	0	0	0	0	4	0	0	30	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	60	0	0	0	16
assemblage-343-236	0	0	0	32	0	0	0	20	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	7	72	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	26	0	0	0	0	0	0	0	0	0	77	0	0	0	3
assemblage-152-958	0	0	0	83	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	133	0	0	0	3
assemblage-503-944	0	0	0	25	0	27	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	31	0	0	0	0	0	121	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	73	0	0	0	9
assemblage-150-176	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	31	0	0	0	49	0	0	0	0	0	35	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	190	0	0	0	13
assemblage-537-763	0	0	0	77	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	7
assemblage-911-277	0	0	0	91	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	6	0	0	0	0	0	0	0	0	0	82	0	0	0	12
assemblage-500-534	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	19	0	0	315	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	40	0	0	0	15
assemblage-594-237	0	0	0	96	0	0	0	0	0	0	0	129	0	0	17	0	0	0	0	0	0	45	0	0	0	0	0	0	40	0	0	29	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	17	0	0	0	71	0	0	0	8
assemblage-790-466	0	0	0	35	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	32	0	0	0	0	0	0	0	0	0	6	0	0	0	6
assemblage-235-826	0	0	0	63	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	14	0	0	0	0	0	206	14	0	0	36	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	9
assemblage-585-209	0	0	0	63	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	36	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	208	0	0	0	15
assemblage-285-119	0	0	0	38	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	7
assemblage-936-250	0	0	0	32	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	8	0	46	0	0	0	0	0	0	0	0	0	12	0	0	0	5
assemblage-988-353	0	0	0	158	0	0	0	4	0	0	0	68	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	8	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	15
assemblage-692-481	0	0	0	72	0	0	0	0	7	0	0	25	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	21	35	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	130	7	0	0	0	0	0	0	0	0	168	0	0	0	7
assemblage-497-531	0	0	0	63	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	32	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	11
assemblage-604-675	0	0	0	68	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	11
assemblage-481-156	0	0	0	17	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	20	0	0	309	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	22	0	0	0	13
assemblage-465-144	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	0	0	190	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	77	0	0	0	12
assemblage-607-238	0	0	0	128	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	3	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	16
assemblage-508-917	0	0	0	14	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	97	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	39	0	0	0	0	0	0	0	0	0	39	0	0	0	9
assemblage-806-986	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	12
assemblage-666-410	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	8	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	32	0	0	0	6
assemblage-667-848	0	0	0	120	0	0	0	0	0	0	0	10	0	31	0	0	0	0	0	0	0	0	0	6	0	0	0	0	162	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	5	0	0	59	0	0	0	48	24	0	0	0	0	0	0	0	0	0	0	0	0	0	15
