Assemblage_Name	3573848-3-2	4396436-3-3401820	4-0-892269	7429622-2-9907803	1-4130068-1584425	4396436-3-8119466	7429622-3987981-4	4810541-7988434-2928704	7429622-2-9473622	4810541-7988434-0	4396436-3-9062055	1-4130068-2	3828229-2-9907803	1-3-577374	0-7988434-0	3282695-9613117-7314947	1-3-4436039	4396436-3-3	4-2784060-0	686001-3-3	7429622-5337405-9907803	2846167-4130068-2	4-0-0	4396436-5598585-3	7429622-9269281-9907803	8165717-3-2	4-2146797-0	4396436-8110273-3401820	1738936-4-4	4396436-9266315-3401820	4659605-3-3401820	2-1-2180474	835787-3-3	2751895-2-4	1-3-9197026	7429622-1803834-9907803	3573848-219884-2	1-3-2	18497-2-9907803	3027991-2-9907803	9101530-4-4	4396436-3-1807025	4396436-1994040-3401820	4396436-3-373382	7429622-9613117-9907803	7429622-9613117-7314947	1-3-8876407	7429622-2-4	4396436-3049123-3	1-4358593-9470511	4659605-3-2992180	1-2-4	4396436-4775088-3401820	4803636-0-0	4396436-927848-3401820	1-2340016-2	1-4358593-703331	8657815-4-4	4396436-6141557-3	4396436-779383-3	4396436-3-908242	4396436-3-2352411	4396436-3-8849965	1-5173068-2	4396436-3-4685328	1-2365966-2	2449968-3-3401820	4396436-3897559-3401820
assemblage-458-160	0	55	0	28	0	0	0	0	0	0	0	104	0	0	0	0	0	56	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	13	0	0	0	42	0	0	12	0	13	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-247-871	31	29	15	29	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	5	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	21
assemblage-760-869	0	37	7	0	0	0	0	0	0	0	0	0	0	0	98	0	0	24	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	11	0	0	0	0	0	0	16	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-253-215	0	0	0	0	0	0	0	0	0	187	0	0	0	0	227	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-258-243	0	0	0	0	0	0	0	0	0	186	0	0	0	0	201	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-229-848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	146	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	20	89	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-297-123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	131	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	22	68	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-262-855	25	33	19	44	0	0	0	0	0	0	0	0	0	0	0	0	0	25	10	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	19
assemblage-767-883	0	0	0	22	0	0	0	15	0	22	0	0	0	0	22	0	0	48	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	61	0	0	0	0	0	0	91	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-790-480	0	86	0	134	0	0	0	0	0	0	0	72	0	0	0	0	0	63	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	33	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-604-218	0	105	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	36	0	0	61	0	0	0	0	0	0	114	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-356-798	0	106	0	59	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	40	0	0	73	0	13	0	0	0	0	85	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-524-544	0	124	0	54	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	39	0	0	78	0	17	0	0	0	0	70	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
