Assemblage_Name	0-3731468-2	4-4742269-3	8426723-0-3	2-3-4	8225307-3-2	0-1-4348437	4-0-3287143	8225307-3-7794810	0-8230468-2	188961-0-3	0-1-1849687	0-8230468-988909	188961-0-1353812	0-1-2	0-9473612-2	0-7802105-2	9152710-0-3047486	4-4830362-3	9152710-0-3	4-0-3	4-2970034-3	0-0-1	4-1773106-3	5568015-0-3	0-8230468-8803984	0-816519-4802851	9152710-3071375-3	0-9473612-4802851	0-2315853-2	0-1226362-2	4-3390923-3	0-8230468-7597093	4-8827250-3	2-7569902-4	2-6107023-2118455	2-6107023-4	4-3713788-3	4-2970034-5441056	3-2-1	3-2-477318	9152710-4716236-3
assemblage-160-948	0	0	0	0	0	0	0	0	139	0	0	0	0	179	0	0	0	0	24	0	107	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	12	0	0	1
assemblage-357-334	0	0	0	0	0	0	0	0	72	0	0	0	0	45	0	0	0	0	88	19	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-679-391	0	0	0	0	0	0	0	0	81	0	0	0	0	140	0	0	0	0	60	49	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-610-223	0	0	0	0	0	0	0	0	22	0	0	0	0	178	0	0	0	0	107	56	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	2
assemblage-688-487	0	0	0	0	0	0	0	0	49	0	0	0	0	174	0	0	0	0	20	14	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	7
assemblage-349-339	0	0	0	0	0	0	0	0	121	0	0	0	0	60	0	0	0	0	120	36	109	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	40	0	0	4
assemblage-803-461	0	0	0	0	0	29	0	0	32	0	0	0	0	17	0	0	0	0	102	206	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	3
assemblage-260-232	0	0	0	44	13	0	0	0	74	40	0	0	0	148	0	0	0	0	34	52	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	16
assemblage-977-352	0	0	0	0	0	0	0	0	60	0	0	0	0	112	0	0	7	0	52	77	140	0	0	0	0	0	0	0	0	0	0	43	0	0	0	5	0	0	0	0	4
assemblage-614-667	0	0	0	7	0	81	0	0	60	0	0	0	0	33	0	0	0	0	174	70	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	8
assemblage-198-177	0	0	0	0	0	0	0	0	28	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	14
assemblage-898-542	0	0	0	0	64	10	0	0	257	0	0	6	0	149	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-942-233	0	0	0	0	0	4	3	0	0	0	0	0	0	131	0	0	0	12	101	145	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	9
assemblage-894-247	0	0	0	0	0	0	0	0	99	0	0	0	0	12	0	0	0	11	98	203	54	0	0	0	0	0	0	0	0	0	4	0	0	0	0	12	0	0	0	0	7
assemblage-894-530	0	0	0	0	35	10	0	0	245	0	0	0	0	176	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-930-240	0	0	0	0	0	15	0	0	0	0	0	0	0	128	0	0	0	0	129	100	35	25	0	0	0	0	0	0	0	0	0	0	0	10	0	48	0	0	0	0	10
assemblage-411-344	0	0	0	0	0	0	0	0	135	0	0	0	0	68	0	0	0	0	90	32	143	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	26	0	0	3
assemblage-673-417	0	0	0	0	0	0	0	0	22	0	0	0	0	127	0	0	0	0	11	5	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	1
assemblage-254-333	0	0	0	0	0	0	0	0	60	0	0	0	0	141	0	0	0	0	61	49	148	0	0	0	0	0	0	0	0	0	0	25	6	0	0	7	0	0	0	0	3
assemblage-260-332	0	0	0	0	0	0	0	0	61	0	0	0	0	17	0	0	14	0	26	110	259	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3
assemblage-681-262	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	41	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10
assemblage-925-280	0	0	0	0	0	0	0	0	58	0	0	0	0	92	0	0	0	0	189	72	31	0	0	0	0	0	0	0	0	0	0	0	0	8	0	49	0	0	0	0	1
assemblage-371-813	0	0	0	0	0	0	0	0	29	0	0	0	0	258	0	0	0	0	17	13	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	3
