Assemblage_Name	1-3-8932805	5593163-9293278-2	1-1-192010	4829468-1-2	0-349309-3824994	1986022-444325-4	1-1-259938	5862492-4-6408032	968347-4645657-5106248	531790-4645657-3824994	1-1-5955812	8565971-1-2	2-2-2158505	1-9961533-2	5593163-9293278-4138156	1-3-475188	1-1-331668	2-1-7518214	3-4-9211183	2-7383720-4	2-1-4	1420538-4-0	1550047-4645657-1999482	3-1844363-0	8005700-4645657-5106248	1-1-2	3-9638286-0	5677835-4645657-3824994	1-9970585-2	2919741-1-8600143	3959077-1-2	91479-236195-2	1085531-4645657-5106248	9002830-2-4	1-6254014-2	1-1-1952514	7397429-9180882-2868512	7397429-4-2868512	1-5757002-2	1966455-1-2	2-2-5261129	1-1-1949473	1-3863113-2	1-5193942-2	1-2552201-2	2-8254284-4	0-4645657-3596869	4862291-2-4	1-1-2150912	5593163-1-881702	0-6048006-0	0-4645657-5106248	1-1-1984872	1-1-5085022	0-4645657-8249083	0-5414114-3824994	2-2-4	1-6664807-8932805	1550047-4645657-3824994	5593163-1807149-2	2-444325-4	7397429-4-0	1-1-7933489	396869-4-0	1-9319137-2	1-1-4424801	1-6664807-9640709	9297006-4645657-3824994	3-8913130-0	2-817841-4	7397429-7887345-0	3-567483-0	2-2921462-4	6727317-4-0	3692814-4645657-3824994	0-4645657-3824994	1-1-7712746	38293-7081031-2	2919741-1-0	0-6864596-5106248	0-22904-3824994	1-6156812-2	3-4-0	0-4645657-7061689	1-9109142-2	0-4968494-5106248	0-6745401-3824994	9781367-1-2	3-26021-0	7876115-1-2	5140733-3-8932805	5593163-3804908-2	3-4-6408032	1-1-1028638	7588058-1-2	765490-2-2158505	5593163-1-9167107	0-4645657-0	2-4741818-2158505	1-3615495-2	7397429-4-120092	1-4704331-2	38293-7422323-2	38293-3900344-2	1550047-822147-3824994	38293-1-2	1-6628385-2	3947932-1-2	91479-3900344-2	5593163-1-2	9288181-4-0
assemblage-856-504	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-956-899	0	0	0	0	0	0	0	19	0	0	0	0	24	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	39	0	0	75	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-965-927	0	0	0	0	0	0	0	25	0	0	0	0	21	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	30	0	0	56	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-959-848	55	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	11	19	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	0	0	0	7	51	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	12	0	134	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-923-779	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	3	0	122	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-373-790	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	6	10	0	0	0	0	248	0	0	0	0	0	0	0	0	18	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-863-648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-867-659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	58	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-866-658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	33	0	75	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	3	0	18	0	0	0	0	0	0	0	0	0	0	0	33	9
assemblage-171-84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	49	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	23	0	15	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	22
assemblage-667-963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	12	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	3	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
