Assemblage_Name	2-4208417-1	4-2-0	9993312-2-1	6837790-1-2	8016712-4-3	6621328-4-7364893	1331154-1-1	6358768-1-2	3866154-1-1	6837790-6449588-5831759	0-4-3375802	264391-2-1	5235-4-3	0-8246793-3640689	8756805-1-2	2-1-4958919	2-8960916-1905646	2-1-2	4-8257126-0	6837790-1-7869728	6621328-8651047-3	6837790-6133024-2	0-4-423780	8065211-4-9041157	8971549-2-1	0-4224004-3	5076101-1-2	0-3943324-3640689	0-0-2842510	0-2968938-423780	7397934-4-3	0-4-3	0-1-1	0-2359875-1	6933598-1-1	0-3100402-3	8284506-1-2	0-9877906-3	9521900-1-1	0-4-4148136	3-361820-2184373	0-1980771-3	0-0-4	0-1-3680873	0-4-3640689	0-1-9032466	0-3100402-1134478	2-1-1905646	0-4-3198734	3300624-2-1	7944313-667944-3	67638-0-4	7596520-4-3	2-7657520-1	0-9851036-1581126	0-6622118-3	0-4-1581126	2-4815789-2	0-4-3826006	0-9085787-3	0-9099508-3	0-666159-3	0-1177847-1	2-2-7171193	2-2-1	7014233-4-3	0-4-8921472	3-5084368-2184373	9388070-1-2	5506818-2359875-1	2714800-4-3	2-2-8693476	2-5323282-2	2-2-9545874	0-7083773-3	0-1-1272053	6178108-4-3	2-7441655-2	6276552-4-3	0-4-4252759	6837790-6133024-6076067	0-1057084-1	5235-4-5876833	2-176937-1	0-3126670-1	2881108-1-1	8756805-1-4046531	6837790-6268796-2	2-1-9721186	8031021-4-3	2433218-4-3	7944313-4-3	31277-4-3	1496398-4-3	0-1-7595902	3561739-4-3	0-0-5463461	4-0-1	4510670-1-1	636509-361820-2184373	0-1-8085384	6837790-1-5831759	5890950-1-1	6621328-4-3	2-1-1669881	2-4565867-2	2-2-5702298	2-1-2787689	1235947-4-3	0-2362720-4
assemblage-974-919	4	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	30
assemblage-963-933	11	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	26
assemblage-971-933	8	94	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	16
assemblage-172-461	0	29	0	0	47	0	0	0	0	0	0	0	0	0	0	0	7	45	0	0	0	0	0	0	0	0	0	0	0	0	0	48	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	34	0	0	22
assemblage-205-456	0	18	0	0	69	0	0	0	0	0	0	0	0	0	0	0	17	26	0	0	0	0	0	0	0	0	0	0	0	0	0	32	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	33	0	0	15
assemblage-181-462	0	10	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	46	0	0	0	0	0	0	0	0	54	13	0	0	25
assemblage-877-569	7	14	0	0	0	0	0	0	0	0	0	8	0	0	0	0	49	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	18
assemblage-269-930	14	26	0	0	0	0	0	0	0	0	0	5	0	0	0	0	49	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	32	0	0	24
assemblage-870-655	93	0	0	0	7	0	0	0	0	0	0	108	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-986-762	0	0	0	82	0	0	0	0	0	0	0	14	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	16	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	27
