Assemblage_Name	2-0-7372458	3-1169178-7933860	2452889-4-1	3-2-7933860	3-578475-7933860	3-6454608-7933860	2-8067583-1	2-0-9973523	2-4-6890903	2-2264720-7372458	3-2-4388489	4-1-1	4-1-2	2-4-3477887	9500704-0-1	4823464-0-1	1176686-4-1	4646098-1169178-7933860	3-0-7064076	3-2-4004330	2-4727059-1	2-4-2424713	4646098-5987503-7933860	3-3946061-7933860	3153138-2-7933860	3-1169178-4536255	3-6358612-7933860	3-2-1313771	2-6549460-1	3-2-4782180	9691485-4473945-7372458	3-2-6223809	2-4209856-4909636	2-3523800-1	3-2-1634271	3-1169178-3963028	2-0-1	2-0-0	2-911788-7372458	3-2-8464733	1885297-2-7933860	3-2-9918873	3-0-1	1881561-4473945-7372458	2-4-1	3-3327714-7933860	9857940-1-1	2-1032254-7372458	5963506-0-7372458	2-4209856-1	1881561-4473945-3740020	2-2305850-1	1926174-1-2	2-7155275-1	9578333-2-7933860	1885297-2-1607494	2-9498414-1	9857940-9616664-1	8463747-2-7933860	2-9106166-1	7406811-1-1	3530260-4-1	996486-4-1
assemblage-504-675	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	5	0	0	0	0	0	0	0	0	7	0	51	0	19	0	0	254	0	0	0	0	0	0	0	0	0	35	0	0	9
assemblage-965-927	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	65	0	0	0	25	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	4
assemblage-963-933	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	48	0	0	0	26	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	1
assemblage-968-844	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	18	25	0	0	0	0	0	0	86	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-964-845	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	19	0	0	17	0	0	0	0	0	0	0	27	0	0	0	0	51	0	0	0	9	0	0	0	0	0	0	0	0	10
assemblage-199-476	0	0	0	261	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	17	0	44	11	0	0	0	0	0	0	33	0	44	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-860-563	44	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	42	0	11	0	0	0	0	0	138	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-248-931	48	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	0	42	0	8	0	0	0	0	0	156	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4
assemblage-283-928	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	21	16	0	69	0	0	0	0	0	0	0	99	0	56	0	0	42	0	0	0	25	0	0	0	0	0	0	0	0	12
assemblage-986-762	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	41	0	0	0	0	0	0	0	142	0	8	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-664-969	10	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	34	0	0	0	0	0	0	0	85	0	129	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	10
assemblage-990-752	62	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	4	0	0	0	0	0	224	0	71	0	0	0	0	0	0	14	0	0	0	0	0	0	8	0	13
assemblage-787-946	40	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-830-129	154	0	0	214	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	41	0	10	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	2
assemblage-771-953	12	4	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	127	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15
assemblage-131-138	101	27	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-902-934	163	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	77	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6
assemblage-698-797	118	15	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-902-948	88	154	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	28	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-929-942	79	142	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	21	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-627-775	167	75	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	23	0	16	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-920-795	22	84	0	176	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-943-371	133	168	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-951-364	144	148	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-935-118	26	32	0	260	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	59	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-727-310	27	281	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-968-117	40	23	0	223	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	58	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-532-763	60	14	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-607-434	0	113	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	31	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	2
assemblage-618-424	0	108	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	38	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	3
