Assemblage_Name	4405633-2-4	4131276-2-4	4-8676408-3	7046423-2-4	4-2625646-0	2-2-1	3-2-7319622	790607-2-4060728	2695775-5235014-4	3-3-3	4-0-512147	4-0-3	3-2-4	4-1-1	2695775-2-4	3-1502693-4	3-2-4060728	0-2-1	2695775-2-9126091
assemblage-444-418	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	8	2
assemblage-965-927	0	0	0	0	0	292	0	0	0	0	0	77	0	116	0	0	0	15	0
assemblage-419-432	0	0	0	0	0	12	0	0	0	0	0	479	0	0	0	0	0	6	3
assemblage-172-461	0	0	0	0	0	39	0	0	0	239	0	179	12	28	0	0	0	0	3
assemblage-390-801	0	0	0	0	83	30	0	0	0	178	0	79	5	2	58	0	59	0	6
assemblage-923-779	0	0	0	0	84	32	6	0	0	182	0	61	12	0	61	0	58	0	4
assemblage-135-471	0	0	0	0	0	0	0	0	0	59	0	255	0	31	154	0	0	0	1
assemblage-868-649	0	0	0	0	0	65	0	0	0	0	0	77	0	47	310	0	0	0	1
assemblage-867-659	0	0	0	0	0	8	0	0	0	53	0	141	0	145	104	0	47	0	2
assemblage-201-413	0	0	0	0	0	0	0	0	0	0	0	128	0	44	73	0	251	0	4
assemblage-206-394	0	0	0	54	0	0	0	0	0	7	18	95	0	62	253	0	10	0	1
assemblage-174-110	0	0	0	0	0	0	0	0	0	0	0	148	0	39	77	0	231	0	5
assemblage-905-835	0	0	0	0	0	0	0	0	0	0	0	153	0	26	85	0	231	0	5
assemblage-816-142	0	0	0	0	0	0	0	0	0	0	0	129	0	21	98	0	248	0	4
assemblage-774-931	0	0	0	0	0	0	0	0	0	0	0	54	0	0	146	0	292	0	8
assemblage-134-140	0	0	0	0	0	0	0	0	0	0	0	16	0	0	156	0	323	0	5
assemblage-130-147	0	7	0	0	0	0	0	0	0	0	0	145	0	0	207	0	135	0	6
assemblage-711-782	0	0	0	62	0	0	0	0	0	0	0	184	0	4	158	0	92	0	0
assemblage-766-990	0	0	0	22	0	0	0	0	0	0	0	220	0	0	124	0	130	0	4
assemblage-777-970	0	9	0	8	0	0	0	0	0	0	0	109	0	0	221	0	153	0	0
assemblage-924-941	0	0	0	33	0	0	0	0	0	0	0	207	0	0	107	0	153	0	0
assemblage-497-361	0	0	0	0	0	0	0	0	0	0	0	101	0	0	222	0	174	0	3
assemblage-928-796	0	0	0	0	0	0	0	0	0	0	0	105	0	0	210	0	177	0	8
assemblage-920-795	0	0	0	0	0	0	0	38	0	0	0	204	0	0	52	0	205	0	1
assemblage-753-307	0	0	0	0	0	0	0	0	0	0	0	284	0	0	119	0	96	0	1
assemblage-718-296	0	0	0	0	0	0	0	0	0	0	0	156	0	0	162	0	177	0	5
assemblage-968-117	0	0	0	0	0	0	0	0	0	0	0	135	0	0	162	0	197	0	6
assemblage-844-834	38	0	0	0	0	0	0	0	0	0	0	201	0	0	193	0	64	0	4
assemblage-615-421	29	0	0	0	0	0	0	0	0	0	0	214	0	0	182	0	75	0	0
assemblage-280-849	0	0	0	0	0	0	0	0	0	0	0	229	0	0	191	0	77	0	3
