Assemblage_Name	0-7583452-392737	4374349-4-3476646	2-4-3982013	2499652-4-4	0-341250-4	9350156-2845709-3476646	2-6331817-4	5214784-4-4	2-4-3411481	2189044-7122064-3476646	7292238-4-4	9350156-4-3476646	2-4-2075495	3038288-4-4	0-3314678-4	4181437-4604781-4	2-7994563-3411481	0-4-4	1275036-7122064-3476646	0-4-6483331	0-4458322-4	8665077-4-3628063	9350156-486038-447297	0-4-3476646	0-4-391775	7179304-4-3411481	0-6456341-1292436	2-4-3071850	3020913-7583452-4	0-6499797-4	9350156-7122064-3476646	2499652-4530372-4	0-1202284-4	9350156-486038-3476646	2-9218707-3411481	7773846-0-6618040	1506700-4-4	2-8032947-4	2-4-2	2-4-4	2-9218707-4937214	2-2128380-3411481	0-4-2834006	0-3729631-392737	0-341250-2449648	390168-4-4	0-7583452-4	0-4-1404555	5533140-0-3	4504397-4-4	0-410611-4	0-6499797-3123185	2-9089087-3411481	9350156-486038-2500789	0-8926277-4	2-8020699-4	2-3162886-4	2-3392859-3411481	2499652-4-5624587	1510924-4-4	3397246-6499797-4	8665077-4-3411481	7257774-4-3476646	2-2168511-4	0-6499797-1292436	7773846-0-3	2-4604781-4	4655006-6499797-4	2127874-4-3411481	5912267-4-4	2-4-8134318	8887016-4-4	0-4783168-4	5161314-4-3476646	7773846-3419149-3	2-2041753-3411481	0-6499797-5423289	7773846-7586890-3	2-3798915-3411481	7706295-4-4	2971022-4-4	2-4-377646
assemblage-419-432	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-493-666	0	9	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	9	0	0	0	0	263	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-955-925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	151	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	53	0	0	19	0	0	0	2
assemblage-959-848	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	27	0	0	0	0	0	55	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	9	0	0	0	0	51	0	0	0	0	0	0	19
assemblage-958-854	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	25	0	0	0	0	0	54	0	0	0	0	0	0	61	0	0	118	0	25	0	6	0	47	0	0	0	0	0	0	0	43	58	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	14
assemblage-200-472	0	0	0	0	36	0	0	0	16	12	0	0	0	0	0	0	0	113	0	0	0	0	0	16	0	0	0	0	0	0	29	0	0	49	0	9	0	0	0	101	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	8	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	13
assemblage-262-925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	57	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	36	0	0	0	0	0	0	10
assemblage-94-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	55	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	41	0	0	0	0	0	0	15
assemblage-877-568	0	0	0	0	25	0	0	0	101	0	0	0	0	0	0	0	0	63	0	0	0	0	16	42	0	0	0	0	0	0	0	0	0	102	14	15	0	0	0	91	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-171-84	0	0	0	0	10	0	0	0	52	0	0	0	0	0	0	0	4	218	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	33	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-687-960	0	0	0	6	0	0	0	0	137	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-658-957	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	16	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-906-831	0	0	0	54	0	0	0	0	72	0	0	0	0	0	0	0	0	75	0	0	11	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-908-840	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-245-235	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-522-210	0	0	0	68	0	0	0	0	158	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-505-214	0	0	0	185	0	0	0	0	42	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-902-934	0	0	0	181	0	0	0	0	42	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-604-759	0	0	0	47	0	0	0	0	74	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	17	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-771-946	0	0	0	79	0	0	0	0	100	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	12
assemblage-855-123	0	0	0	50	0	0	0	0	107	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	7
assemblage-927-390	0	0	0	53	0	0	0	0	168	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	42	0	2	0	0	0	0	0	0	0	142	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-530-360	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-497-361	0	0	0	54	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	7	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	5	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-564-224	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	66	0	0	0	0	24	0	0	0	0	0	0	0	0	0	17	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	27	0	0	13
assemblage-746-290	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	9	0	128	0	0	0	0	0	0	4	0	0	0	9	6	0	0	0	0	0	0	0	0	0	42	0	0	17	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-103-772	0	0	6	0	0	0	0	0	127	0	0	0	0	0	0	16	0	150	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0	0	0	0	23	0	0	6	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-843-802	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	107	0	0	0	25	0	0	0	0	0	9	25	59	0	7	0	0	0	0	0	0	0	69	0	0	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	33
assemblage-523-779	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	123	0	0	0	30	0	0	0	0	0	0	46	80	0	17	0	0	0	0	0	0	0	48	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	24
