Assemblage_Name	2-3-4118030	8012547-3-2	2-3-9603312	2905495-3-2	7857976-3126777-0	2-1-9743018	2-1-6933844	3729081-5882793-0	2-3128058-3	3-9477228-0	3-3126777-5477009	6364987-3-2	2-3-1	2-3-2	216199-3-2	2067030-3-1	2-5103318-4	2-3-8554010	9373470-5815927-1	3-3126777-8638273	3236157-3128058-3	3-5882793-7068222	3-7472239-0	4473729-3-2	9393825-3-2	3-5882793-3241640	2-2040811-3	8496319-5882793-9231941	8113134-1-3	4688181-3-2	2-4-4733922	1-241641-2	1-1590513-2	3-2724819-0	2-3-4697913	3-5882793-0	3-2961242-0	3-5882793-3121813	8496319-5882793-0	1851491-3-2	2-4-4	3-5882793-4011644	2-1-5283645	3-1275912-0	2-2040811-880982	2-9602227-0	3-3126777-8832939	4500442-5882793-0	3577190-1-7614362	6035835-241641-2	2-1-174131	1-241641-3581186	3622711-1-3	4-1-7614362	3-5882793-8334283	2-2040811-5006001	2845711-1-3	5825536-241641-2	3-3126777-0	2-3-1055526	2-1-3	2457517-1-3	1-8733526-2	3-435558-0	3-5792296-0	9269434-5882793-0	2-2643468-2	2994532-3-2	1624505-5103318-4	2-9371226-3	9373470-3-1	2-2040811-6768573
assemblage-505-214	0	36	0	0	0	0	18	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	9	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	4	0	0	0	0	0	5	0	3
assemblage-692-760	0	33	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	18	0	0	0	0	0	0	0	10
assemblage-627-775	0	76	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	47	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	39	0	0	0	0	0	0	0	0	0	0	9
assemblage-866-95	0	24	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	18	0	0	0	139	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	7
assemblage-928-943	0	45	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	168	0	0	0	0	0	0	0	0	0	0	14
assemblage-767-570	0	11	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	18	0	0	0	0	0	0	0	0	38	0	0	0	0	24	0	30	0	5	0	39	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	85	0	0	0	0	0	0	9	0	0	0	19
assemblage-920-795	0	123	0	0	0	0	0	16	0	4	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	7	0	0	0	51	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	25	0	95	0	0	0	11	0	0	0	0	0	0	31
assemblage-947-379	0	119	0	0	0	0	0	13	0	2	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	5	0	0	0	59	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	17	0	27	0	64	0	0	0	13	0	0	0	0	0	0	26
assemblage-956-115	0	25	10	0	9	0	0	0	0	0	0	109	0	66	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	76	0	0	0	0	0	0	0	0	0	0	16
assemblage-564-224	0	26	12	0	13	0	0	8	0	0	0	97	0	94	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	60	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	72	0	0	0	0	0	0	0	0	0	0	9
assemblage-964-125	0	45	0	0	0	0	0	0	0	0	0	20	0	83	0	0	0	47	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	119	0	0	0	0	0	0	0	0	0	0	7
assemblage-843-805	0	27	0	0	0	0	0	33	0	0	0	174	0	27	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	8	0	0	0	0	0	0	0	0	0	12	0	0	13	0	0	0	0	0	0	0	16	0	133	0	0	0	0	0	0	0	0	0	0	14
assemblage-297-850	0	66	0	0	6	0	0	6	0	0	0	19	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	129	0	21	0	0	0	0	0	0	0	0	0	0	10
assemblage-292-849	0	67	0	0	13	0	0	8	0	0	0	27	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	139	0	21	0	0	0	0	0	0	0	0	0	0	5
