Assemblage_Name	2-5098199-1	2-2-2215510	3-1483914-2	1-0-3	3-1-8860403	2-6391411-1	3-4-2680301	4572235-6108819-3366112	3-2767791-3	5994691-2-1	3-3224264-9565480	7094531-1-796726	2-7906306-1	3-1-9059546	515827-2-1	7094531-1110773-2	2-2-1	1-0-6688766	2-6108819-3366112	2-2-6562352	3-1-6096564	7094531-1-7804914	3675048-2-1	8236062-2-1	2-6108819-7659858	3-1-2	7632407-1-2	2-3912524-1	3-287035-0	3-1-9565480	7411487-1-9565480	1051376-1-2	4980544-2-1	2-1696835-1	7094531-1-5648363	3-8999479-0	2-2644086-6515113	3-8818408-0	0-3-3	8457915-0-3	929848-1-2	3-7098908-2	2-6108819-3097355	2-6108819-1	3-4-0	3-6639484-0	7094531-1-2	2-2644086-1	2-2-6845410
assemblage-486-677	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	6	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-856-504	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	16
assemblage-963-905	0	20	0	0	0	0	6	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	10
assemblage-936-773	0	0	0	16	0	0	25	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	5	0	0	0	0	36	0	0	0	0	34	9	0	0	0	6
assemblage-205-456	0	0	0	86	0	0	48	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	31	0	0	0	13
assemblage-931-759	0	0	0	24	0	0	37	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	5	0	0	0	0	50	0	0	0	0	21	7	0	0	0	17
assemblage-262-925	0	0	0	53	0	7	45	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	98	0	27	0	2
assemblage-866-568	0	0	13	21	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	9	0	0	0	0	16	56	0	0	0	58	80	0	0	0	6
assemblage-862-661	0	0	0	68	0	5	33	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	114	0	21	0	1
assemblage-190-406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	66	0	0	0	14
assemblage-201-414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	19	10	0	77	0	12
assemblage-990-752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	20	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	9	30	0	0	0	0	33	0	42	0	5
assemblage-777-950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	82	0	0	24	0	4
assemblage-771-953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	11	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	63	0	0
