Assemblage_Name	4-1-8656703	2-2-7659709	2-2-7865086	4-7059787-2	3135594-1-3875345	2897425-5697861-4	4-1-4	4-1-1	270493-1-4	4-1-460921	4-1-3875345	6066746-2-3	611805-4-2	5974816-1-3875345	4-1-4169994	4-7059787-6167779	6256896-4-2	2-2-3	4-1-5748953	4-1-5669555	8443647-2-3	2-3146224-3	2-2-2090811	8189879-2-3	2-4-0	3058276-1-3875345	2-0-2	2-0-0	2897425-9148931-4	2897425-1-4	4-4-2	4-8814754-3875345	1607288-0-0	2897425-1-22610	2-2-3154781	228634-2-3	6639550-1-3875345	2-0-3258342
assemblage-436-415	0	0	0	0	0	0	141	0	0	0	5	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	8	0	1
assemblage-965-927	0	0	0	0	0	0	79	43	0	0	56	0	0	0	0	0	0	6	31	0	0	0	0	0	8	0	0	0	0	276	0	0	0	0	0	0	0	1
assemblage-843-512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	62	0	0	361	0	3	0	0	0	0	16
assemblage-200-472	0	0	0	0	0	0	113	0	0	0	26	0	0	0	0	0	6	68	0	0	0	0	0	0	0	0	11	26	0	91	146	0	0	0	0	0	0	13
assemblage-953-850	0	0	0	0	0	0	83	1	0	0	0	0	0	0	0	0	17	47	12	10	0	0	0	0	0	0	0	0	0	143	181	0	0	0	0	0	0	6
assemblage-962-848	0	0	0	0	0	0	84	0	0	0	28	0	0	0	0	0	7	132	0	0	0	0	0	0	0	0	0	0	0	81	154	0	0	0	0	0	0	14
assemblage-868-649	0	0	0	0	0	0	125	0	0	0	59	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	99	112	0	0	0	0	0	0	9
assemblage-887-564	0	15	0	0	0	0	73	0	0	0	4	0	0	0	0	0	0	208	0	0	0	0	35	0	0	0	0	10	0	113	42	0	0	0	0	0	0	0
assemblage-274-943	0	0	0	0	0	0	57	0	0	0	135	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	41	0	10	232	0	0	0	0	0	0	1
assemblage-174-110	0	0	0	0	0	0	93	0	0	0	61	0	0	0	0	0	0	115	0	0	0	0	15	0	0	0	0	0	0	78	132	0	0	0	0	0	0	6
