Assemblage_Name	2-2411217-0	9418034-1-2980433	3508398-1-7906540	2-3-4	2-3-1	7425101-2-0	9194732-1-2	2-8794904-4	2382092-4949907-4	2-2-6547731	3552789-1-2	2-4306611-4	293844-9329490-4	3508398-1-9149572	1929793-1-3	2-3-5411423	2-9638745-4	2-2-6677278	2-7050582-4	2-656162-1	2-2-0	2-9329490-4	3-1-2	2717837-1-3	3508398-1-3	7267795-9329490-4	5716260-4949907-4	1369198-613295-0	3-1-6149750	3-1-3	2-4949907-4	3-1-3687998	3-1-2926732	2-2580691-1	3-0-2	2-7572412-4	2-2809522-0	2-8671576-4	4-4-1	2-9211118-0	3-7133619-9517748	2-9883166-0	2989980-4949907-4	2-1716984-4	3-2-0	3-8597303-9517748	2-5089993-4	7526874-1-2	6714785-1-3	2-3096457-4	9418034-1-2	3-1-9517748	3508398-5858168-3	2-2-2950776	1148650-613295-0
assemblage-574-440	0	0	0	27	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	28	0	26	0	0	0	0	84	99	0	0	0	10	5	26	0	11	0	0	0	0	0	12	0	0	0	39	0	0	0	0	5	16
assemblage-525-433	0	0	0	29	37	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	48	0	42	0	0	0	0	78	79	0	0	0	0	0	26	0	21	0	0	0	0	0	0	0	0	0	33	0	0	0	0	9	12
assemblage-558-310	0	0	7	19	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	18	0	27	0	0	0	0	97	110	0	0	0	0	0	28	0	17	0	0	0	0	0	5	0	0	0	34	0	0	0	0	11	22
assemblage-627-462	0	0	10	14	54	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	47	0	42	0	0	0	0	128	47	0	0	0	0	0	9	0	8	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	19
assemblage-436-432	0	0	14	11	67	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	41	0	16	0	0	0	0	115	66	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	3	28
assemblage-442-547	0	0	11	14	46	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	30	0	17	0	0	0	0	113	80	0	0	0	5	0	11	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	7	30
assemblage-605-444	0	0	13	54	50	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	51	0	27	0	0	0	0	70	74	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	16	12
assemblage-427-494	0	0	16	26	40	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	63	0	22	0	0	7	0	76	80	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	15	25
assemblage-648-407	0	0	14	16	49	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	61	0	17	0	0	8	0	69	81	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	18	17
assemblage-470-468	0	0	7	81	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	64	5	3	0	0	6	0	14	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	21	16
