Assemblage_Name	0-3-6919629	0-0-8410293	3-3-0	2-1-1242045	0-5007795-2	4-1-0	4-3335436-0	1-3-1702144	4-1-4235434	1-3-8641243	657263-3-1	0-3-2	4-9360655-0	0-238895-2	4-503996-0	4-824246-0	0-3-3630941	4-1540791-0	0-5241989-2	4-0-0	4-2489772-0	0-0-8410874	0-0-3	3522532-3-2	90627-1-7835004	5562640-1-0	1-3-7931772	1-3-1	9567912-3-4	0-7291174-2	1-8652687-1	3-0-0	0-3892850-3	4-7495274-0	1-6736386-1	0-3-8031668	4-2-2	3-0-2607942	0-3-4	0-3-2897862	1-8444986-1	3-0-7826560	2-1-3	0-6228842-3	0-3-4028395	6627746-3-1	0-3-9323035	4-1-5151706
assemblage-663-385	0	0	30	0	0	40	0	1	0	0	0	139	0	0	0	0	0	0	0	17	0	0	36	0	0	0	0	138	0	0	0	20	0	0	0	0	3	4	42	0	4	0	15	0	0	0	0	11
assemblage-401-535	0	0	25	0	0	28	0	8	0	0	0	160	0	0	0	0	0	0	0	10	0	0	43	0	0	0	0	123	0	0	0	25	0	0	0	0	5	0	35	0	0	0	23	0	0	0	0	15
assemblage-617-545	0	0	39	0	0	21	0	0	0	0	0	129	0	0	0	0	0	0	0	22	4	0	54	0	0	0	0	126	0	0	0	19	0	0	0	0	9	0	23	0	0	0	30	0	0	0	0	24
assemblage-504-537	0	0	6	0	0	63	0	0	0	10	0	163	0	0	0	0	0	0	0	0	0	0	69	0	0	0	8	89	0	0	0	12	0	0	0	0	0	0	17	0	11	0	40	0	0	0	0	12
assemblage-575-668	0	0	0	0	0	85	0	0	0	8	0	167	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	72	0	0	0	12	0	0	0	0	0	0	22	0	9	0	62	0	0	0	0	9
assemblage-485-386	0	0	7	0	0	61	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	60	0	0	0	7	76	0	0	0	11	0	0	0	0	0	0	16	0	11	0	52	0	0	0	0	13
assemblage-444-629	0	0	0	0	0	70	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	148	0	0	0	15	0	0	0	0	0	0	10	0	17	0	16	0	10	0	0	9
assemblage-779-734	0	0	0	0	0	26	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	147	0	0	0	13	0	0	0	0	0	0	7	0	37	0	37	0	0	0	0	5
assemblage-411-672	0	0	0	0	0	61	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	136	0	0	0	18	0	0	0	0	0	0	14	0	24	0	9	0	0	0	0	10
assemblage-309-501	0	0	0	0	0	117	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	130	0	0	0	6	0	0	0	0	0	0	0	0	16	0	15	0	0	0	0	10
