Assemblage_Name	5266385-4-1	0-4-6290764	6552001-4-5970330	0-4-6517457	3915288-4-1	0-4-1	0-4-2098746	3417724-4-1	0-4-5521165	3-4847142-3	0-4-5666002	4-3-5704855	0-4-3344532	0-4-4688648	6552001-8804406-3	0-3848515-1	6552001-3002804-3	6552001-4767467-3	3611902-2-5103169	4-1569461-2	0-4-3670120	3-4847142-369851	0-1203730-1	5675455-3-2	1104759-4-1	0-4-3872481	3208445-4-1	0-585568-1	4-4-3	4638758-728710-1	6552001-4-7887916	7176147-4-3	3-2-5103169	6552001-8759883-3	0-4-3147277	4-3615702-2	3-3764943-5103169	4434558-2-5103169	6552001-4-3	0-4-2601872	4-3-2	4-3-0	3-2-3	0-4-9349846	3433517-3-2	111653-4847142-3	0-4-2345460	4308773-4-3	4-3-5058716
assemblage-258-727	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	277	0	0	160	7	0	0	0	0	0	5
assemblage-818-645	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	67	0	23	32	0	0	0	0	0	0	18
assemblage-111-900	0	0	0	0	0	6	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	227	0	0	0	0	0	12
assemblage-594-508	0	0	0	0	0	175	0	0	0	72	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	81	0	22	0	0	0	0	0	6
assemblage-609-945	0	0	0	0	0	122	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	48	0	123	23	41	0	0	0	0	0	7
assemblage-604-525	0	0	0	0	0	171	0	0	0	76	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	93	3	20	0	0	0	0	0	1
assemblage-925-970	0	0	0	0	0	216	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	103	0	0	0	0	0	0	0	17
assemblage-731-474	0	0	0	0	0	113	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	126	0	113	0	0	0	0	0	0	0	9
assemblage-724-995	0	0	0	0	0	221	0	0	0	55	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	74	0	110	8	0	0	0	0	0	0	11
assemblage-734-635	0	0	0	0	0	221	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	104	0	77	0	0	0	0	0	0	0	1
