Assemblage_Name	7706268-0-4	1-1-3	1-6140522-3	0-3-6966323	1-1-3787874	3-3-1	3-3-3	0-0-7503774	3191294-0-4	1-5472214-3	0-0-497772	0-5876534-4	0-0-4	7299337-0-4	1675642-3-2	4-2-1	0-3-2	1-1-3616095	0-0-7151791	7640902-3-2	0-0-8333244	0-0-9558395	2797566-0-4	0-0-853680	8093597-5570671-1	0-6069812-2
assemblage-827-631	0	167	0	0	0	66	4	0	0	0	0	0	122	0	0	0	133	0	0	4	0	0	0	0	0	4
assemblage-94-905	0	282	0	24	0	50	0	0	0	0	0	0	112	0	0	0	0	11	0	0	0	0	0	0	16	5
assemblage-103-910	0	268	0	28	0	55	0	0	0	0	0	0	115	0	0	0	0	15	0	0	0	0	0	0	10	9
assemblage-339-716	0	219	0	8	52	17	69	0	0	0	0	0	75	0	0	0	39	0	0	11	0	0	0	0	9	1
assemblage-611-922	0	202	0	0	0	78	27	0	0	0	0	0	72	0	0	0	96	0	0	13	0	0	0	0	0	12
assemblage-618-925	0	216	0	7	48	10	75	0	0	0	0	0	75	0	0	0	52	0	0	0	0	0	0	0	13	4
assemblage-602-744	0	244	0	35	0	0	97	0	0	0	0	0	79	0	0	0	43	0	0	0	0	0	0	0	0	2
assemblage-728-992	0	251	0	36	0	0	80	0	0	0	0	0	100	0	0	0	24	0	0	0	0	0	0	0	0	9
assemblage-903-987	0	147	0	6	0	33	35	0	0	4	0	55	216	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-441-398	0	134	0	9	0	0	14	0	0	0	0	0	327	0	0	0	15	0	0	0	0	0	0	0	0	1
assemblage-851-901	0	144	0	4	0	0	14	0	0	0	0	0	326	0	0	0	12	0	0	0	0	0	0	0	0	0
assemblage-858-890	0	133	0	0	0	0	67	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-237-956	0	135	0	0	0	0	33	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-503-748	0	140	15	0	0	0	11	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-364-249	0	30	0	0	0	0	30	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-234-493	0	6	0	0	0	0	0	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	14	0	0	1
assemblage-943-359	0	14	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	17	0	0	2
assemblage-236-458	0	18	57	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-897-857	0	0	8	0	0	0	0	0	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-340-683	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-465-737	0	0	35	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-685-923	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-347-470	0	0	0	0	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-403-849	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-224-673	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-344-184	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-246-669	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	0	9	0	0	0	6
assemblage-576-485	0	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-393-317	0	0	0	0	0	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-211-180	0	0	0	0	0	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	5	0	0	0	0	3
