Assemblage_Name	2-4-3741710	2331573-4138593-3741538	2-2184407-1268549	4-8888448-4	4-4812976-4	3918332-3-3	4-9327933-4	4-4026524-4	2-1397006-4	4-1285845-7527192	2-1-0	2331573-4-3592904	4-2-5540040	4-8155792-6302218	2-875264-2220012	3918332-3-470922	3918332-3-500496	822050-2-4	4-1286987-4	2331573-4-89733	4-2-4684153	4-2-8558025	3918332-3-3955983	3508846-2-4	4-8423691-7527192	4-2-5823868	4-3935124-4	4-2-5220901	4-2-910709	242701-2-4	1085005-2-4	4-2064932-4	4-2-6302218	7277571-2-4	4-2-6070301	4-2-9340389	2331573-4-597183	4-2-2284764	4841987-2-4	2331573-4-4874235	8274372-2-6302218	3918332-5962523-3	2331573-4-3741538	2331573-4-0	6327887-4026524-4	4-2-4	2-2184407-4	3-4-0	4-4902341-7527192	3175419-2-6302218	4-9418659-9380561	2-3430598-1824346	4-248893-4	876508-2-4	3784174-4026524-4	3918332-3439527-3	4-2056748-4	5667786-2-4	256382-3-3	4-8721814-4	4-4385805-4	4-1285845-4	2-4-4	6841100-2-4	4-2-9380561	3918332-3-5608126	5165179-2-4	4-248893-6524815	4-4392983-4	2-4-1824346	2371456-2-4
assemblage-747-593	0	0	0	0	0	49	0	43	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	181	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	17
assemblage-523-751	0	0	0	0	0	56	0	52	0	0	0	5	0	0	0	0	0	0	0	19	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	189	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	10
assemblage-234-493	0	0	0	0	0	3	0	132	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	18	0	0	0	0	0	13
assemblage-617-283	0	0	0	0	0	71	0	22	0	8	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	3	0	0	0	0	0	0	15
assemblage-937-366	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	39	0	0	0	0	0	33
assemblage-515-132	0	0	0	0	0	22	0	13	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	14
assemblage-472-737	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	10	0	48	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	205	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	29
assemblage-328-698	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	11	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	232	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	23
assemblage-420-841	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	28	0	0	0	0	0	0	185	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	13
assemblage-243-323	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	10
assemblage-680-942	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	184	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	13
assemblage-223-771	19	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	20	0	0	0	0	0	0	15	0	0	109	0	0	0	0	9	0	0	8
assemblage-608-767	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	38	0	0	0	0	0	0	0	28
assemblage-262-640	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	48	0	0	0	0	0	0	0	21
assemblage-405-318	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	13	0	0	0	0	0	87	0	0	0	0	6	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	15
assemblage-211-180	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	96	0	0	0	0	0	0	0	21	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	10	0	0	0	0	0	0	0	9
assemblage-230-174	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	85	0	0	0	0	0	0	0	10	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	32	0	0	0	0	0	0	0	8
