Assemblage_Name	3-6029558-0	1701722-8236830-2	3-3-3047107	3-3-6380789	3-3-6139906	411295-3-3	3-3-3	2-1-5292244	3-3-2231221	3-3-768690	3-3912988-3	6572421-1-0	5810303-3-3	3-1-6471596	3-3-4689043	3-3-3285495	3-1-9616957	3-3-6527351	3-8711810-3	3-3-327036	1391462-6117594-868174	3-3-8908540	3-3-2669128	2960207-3-3	1391462-6117594-2	3-1-0	7965178-3903872-2	3-354060-3	7692219-3-3	8781340-3-3	5396664-3-3	6203656-3-3	3-3-6896356	2-1-8588105	1391462-8180657-868174	2965538-3-3	9439714-1651703-2	0-1651703-9147516	6203656-3-1231959	0-8279233-2	1163734-1-0	3-8562266-0	2382220-1651703-2	4576273-1651703-9147516	6855786-3-3	1391462-1651703-2	9426341-6117594-2	3-9158956-0	3-1561007-3	3-7969801-3	2-1-2	0-1651703-2	1391462-1651703-6135535	1604185-3-3	0-8011743-2	2382220-1651703-5741502	5810303-5376596-3
assemblage-250-731	0	0	0	0	0	15	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	25
assemblage-747-590	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	17	0	0	0	0	0	0	0	0	0	0	0	52	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-96-896	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	26	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	40	82	0	0	0	0	12
assemblage-759-483	88	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	26	0	0	0	0	0	0	0	0	42	0	0	0	0	13
assemblage-677-301	11	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	83	53	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	68	68	0	0	0	0	10
assemblage-700-275	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	7	0	0	0	0	13	57	0	0	0	0	9
assemblage-240-941	0	0	13	0	0	0	193	0	6	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-467-749	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	46	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	9
assemblage-636-922	9	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	88	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	59	55	0	0	0	6	11
assemblage-678-943	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	6
assemblage-238-92	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	75	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	38	0	0	0	0	0	0	0	0	0	6
assemblage-747-593	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	210	0	0	0	0	0	0	0	0	0	0	13
assemblage-234-493	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	22	0	0	70	0	0	48	0	0	0	0	7
assemblage-595-739	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	76	0	0	41	0	0	0	0	4	16	0	0	0	0	13
assemblage-571-457	0	0	0	0	0	0	262	0	0	0	0	0	7	0	0	0	0	0	0	0	12	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	22	0	0	0	0	0	0	0	0	0	13
assemblage-689-282	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	8	0	9	0	0	0	0	0	93	40	0	0	8	0	7
assemblage-328-698	0	0	0	0	0	0	178	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	69	118	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	27
assemblage-253-726	0	0	0	0	0	17	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	16
assemblage-340-683	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	93	5	0	0	0	0	0	0	0	0	0	6
assemblage-730-622	14	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	61	0	17	0	0	0	51	0	0	0	0	11
assemblage-599-945	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	13	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	83	0	0	0	0	0	0	0	58	64	0	0	0	0	6
assemblage-465-737	0	0	0	0	0	0	294	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	20	84	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	17
assemblage-604-525	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	87	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	60	71	0	0	0	8	11
assemblage-604-735	13	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	112	0	0	12	0	0	0	0	52	0	0	0	0	0	11
assemblage-234-166	0	0	0	0	0	0	275	0	0	0	0	0	5	0	0	0	0	0	0	0	9	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0	0	0	0	8
assemblage-351-499	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	13
assemblage-224-673	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	65	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	6	0	0	0	0	0	0	8
assemblage-669-934	0	0	0	0	0	0	239	0	0	0	0	0	0	0	3	37	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	12
assemblage-455-398	28	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	49	0	10	0	0	0	57	0	0	0	0	11
assemblage-473-651	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	283	0	0	0	0	15
assemblage-612-775	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	10	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	37	0	0	0	0	0	0	0	0	0	12
assemblage-268-734	0	0	0	0	0	12	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	74	0	0	0	0	0	13
assemblage-336-700	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	162	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	17
assemblage-238-351	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	27	13	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	120	0	0	10	0	0	0	0	0	0	5
assemblage-470-744	0	0	0	0	0	0	381	0	0	0	0	0	0	0	7	0	0	10	0	0	0	0	0	3	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	7	0	0	0	0	16
assemblage-331-183	0	0	0	0	0	0	162	0	0	0	0	15	0	0	0	0	0	0	0	0	23	0	0	0	9	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	76	0	0	0	0	0	0	0	0	0	6
assemblage-696-280	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	16	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	7	0	10	0	0	0	0	0	92	42	0	0	5	0	10
assemblage-757-478	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	13	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	80	0	0	39	0	0	0	0	3	14	0	0	0	0	8
assemblage-617-283	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	3	0	0	18	0	0	0	0	11
assemblage-361-733	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	21	0	7	0	0	0	0	0	83	51	0	0	8	0	5
assemblage-925-970	88	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	35	0	0	0	0	0	0	0	0	50	0	0	0	0	13
