Assemblage_Name	6723149-9966390-1807620	2-4-6356054	7743519-4-0	0-9966390-9134484	1-0-4	3-7457883-1	1716087-9966390-4	3-8848990-5626307	1042193-4-0	2-1-9588541	0-9966390-5608540	2-4-7593124	2-4-1212107	5033613-4-0	3-2022390-1	3-2-3586213	3-446623-1	5727070-9966390-4	8944944-1-2	3-2206851-1	2-2454733-6356054	2380298-4-6356054	2-4-8546141	8509106-4-0	3-3639936-1	180032-2-1	7895296-4-6356054	2-3430425-0	2-4-1994267	2-1-3745407	2-4-4045452	3-700826-1	5902582-2-1	179406-4-6356054	3-3899389-1	8020592-9966390-4875851	3-8848990-1	2-4-2309119	2-4-0	2-7085724-0	0-9966390-4041491	2-3280627-6356054	2-1-8475072	2-1-179115	3893143-4-6356054	2-5727084-2	179406-4-9078938	4812699-9966390-4	2-361676-3	2-1-9425106	3-6575001-2464326	3-2-2464326	2-5927043-2	0-9966390-4	2-1-2	2-1-3	2059793-2022390-1	3-2867296-1	0-1517240-4	3-5871462-3	3-2-9629849	0-9966390-4875851	6674837-2-4611016	3-2-4611016	3-2-1	2463087-6575001-2464326	2-4-8324086	3-2-5416716
assemblage-340-683	0	178	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	47	0	0	0	0	0	0	61	0	0	0	0	0	9
assemblage-730-622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	166	3	0	0	0	0	0	0	0	0	0	0	135	0	0	25	0	74	0	6	0	0	0	0	0	0	47	0	0	15
assemblage-599-945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	33	0	0	58	114	5	0	0	0	25	0	0	0	0	84	0	0	8
assemblage-465-737	0	125	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	9	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	29	0	0	0	0	0	0	70	0	34	22	0	0	9
assemblage-604-525	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	31	0	0	55	85	92	0	0	0	20	0	0	0	0	84	0	0	13
assemblage-604-735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	24	13	0	98	61	23	0	0	0	0	0	0	0	0	97	0	0	10
assemblage-234-166	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	6	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	55	0	11	18
assemblage-351-499	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	14	0	0	0	0	0	0	0	0	44	195	0	0	16
assemblage-224-673	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	30	0	0	0	0	0	0	0	0	0	110	0	0	24
assemblage-669-934	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	120	0	0	0	5	0	0	41	0	29	68	0	0	9
assemblage-455-398	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	6	0	0	0	0	0	0	0	0	0	179	6	0	0	0	0	0	0	0	0	0	0	109	0	0	46	0	61	0	0	0	0	0	0	0	0	43	0	0	18
assemblage-473-651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	71	0	0	0	0	0	0	0	0	0	226	0	0	12
assemblage-612-775	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	148	0	0	0	0	0	0	0	0	6	125	0	0	9
assemblage-268-734	0	0	0	0	9	0	0	0	0	0	0	0	23	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	144	0	0	0	0	63	0	0	9
assemblage-336-700	0	137	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	40	0	0	0	0	0	0	196	0	0	45	0	0	7
assemblage-238-351	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	39	0	0	0	0	0	0	36	0	63	18	0	0	3
assemblage-470-744	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	36	0	0	0	7	0	0	22	0	119	0	0	0	10
assemblage-331-183	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	58	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	95	0	0	0	0	0	0	0	3	23	79	0	0	10
assemblage-696-280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	77	64	0	86	5	103	0	0	0	24	0	0	0	0	5	0	0	9
assemblage-757-478	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	45	0	0	41	12	31	0	0	0	0	0	0	0	0	124	0	0	13
assemblage-617-283	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	16	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	8	0	0	141	58	13	0	0	0	0	0	0	0	7	47	0	0	18
assemblage-361-733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	68	54	0	94	3	122	0	0	0	28	0	0	0	0	4	0	0	9
assemblage-925-970	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	54	0	0	146	24	95	0	0	0	0	0	0	0	0	65	0	0	6
assemblage-849-911	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	102	0	0	124	71	40	0	0	0	0	0	0	0	0	40	0	0	8
assemblage-341-187	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	47	0	0	0	0	0	0	0	0	7	87	0	0	19
assemblage-227-460	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	25	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	7	0	0	0	0	11	0	0	115	73	26	0	0	0	0	0	0	0	9	54	0	0	5
assemblage-885-866	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	32	0	0	0	6	0	0	17	0	126	7	0	0	12
assemblage-343-696	0	184	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	52	0	0	0	0	0	0	58	0	0	0	0	0	11
assemblage-581-731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	19	0	0	105	87	23	0	0	0	0	0	0	0	0	93	0	0	12
