Assemblage_Name	7706268-0-4	1-1-3	1-6140522-3	0-3-6966323	1-1-3787874	3-3-1	3-3-3	0-0-7503774	3191294-0-4	1-5472214-3	0-0-497772	0-5876534-4	0-0-4	7299337-0-4	1675642-3-2	4-2-1	0-3-2	1-1-3616095	0-0-7151791	7640902-3-2	0-0-8333244	0-0-9558395	2797566-0-4	0-0-853680	8093597-5570671-1	0-6069812-2
assemblage-250-731	0	161	0	73	0	3	42	0	0	0	0	0	64	0	0	0	111	0	0	39	0	0	0	0	0	7
assemblage-747-590	0	145	9	0	0	0	12	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-96-896	0	220	0	18	0	32	47	0	0	0	0	0	92	0	0	0	65	0	0	12	0	0	0	0	6	8
assemblage-759-483	0	167	0	19	0	29	29	0	0	6	0	40	204	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-677-301	0	271	0	0	0	66	0	0	0	0	0	0	107	0	0	0	22	0	0	17	0	0	0	0	8	9
assemblage-700-275	0	208	0	0	0	76	9	0	0	0	0	0	84	0	0	0	101	0	0	14	0	0	0	0	0	8
assemblage-240-941	0	140	0	0	0	0	38	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-467-749	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-636-922	0	286	0	0	0	74	0	0	0	0	0	0	87	0	0	0	14	0	0	22	0	0	0	0	8	9
assemblage-678-943	0	0	0	0	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-238-92	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-747-593	0	99	0	0	0	0	11	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-234-493	0	6	0	0	0	0	0	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	14	0	0	1
assemblage-595-739	0	236	0	35	0	14	16	0	0	0	0	0	107	0	0	0	89	0	0	0	0	0	0	0	0	3
assemblage-571-457	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	4
