Assemblage_Name	1593558-3-0	3292217-3-1	3-8150231-0	3-3-9561872	5056896-3-1	9921590-3-1	1-4478383-1	3-3-3071360	1-3-3464020	3826600-1-0	2556203-760097-0	3-3-0	1-5647229-1	4-1-4	794906-1-0	2-1-370805	0-1-0	8426079-1-0	3-760097-0	1-6117556-1	1-3770073-1	6049152-1-6734204	1-2033217-1	0-0-4714178	1-3010852-1	4483996-3-0	1001125-3-1	0-9534669-4	619996-3-0	0-0-4	1270863-3-1	1-3-7587352	1-3-4370097	1063581-3-1	7881043-3-0	1-3-1	9454775-1-4	1-3812738-1	8242817-1-0	2-4-0	1-9534421-1	0-0-8675573	9260922-3-1	1-7883503-1	5317647-3-0	3-5012700-0	3-3-8389135	2-1-0	2-556275-0	1-3-6807610	3-5005702-0	4451047-3-1	0-1-5892551	0-1-6734204	0-1-4956290	3-5424800-0	673031-3-0
assemblage-600-497	0	0	0	0	0	0	0	0	0	0	0	77	0	10	0	0	52	0	0	0	0	0	0	16	0	0	0	0	0	91	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	110	7	0	1
assemblage-437-378	0	0	0	0	0	0	8	0	0	0	0	58	0	12	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	106	0	0	6
assemblage-458-410	0	0	0	0	0	0	0	0	0	0	0	7	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	6	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	7	0	0	10
assemblage-685-923	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-477-657	0	0	0	0	0	0	0	0	0	16	0	0	0	121	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	34
assemblage-612-275	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	35	0	0	10
assemblage-210-937	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	10	0	0	164	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	22	0	0	2
assemblage-240-109	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	7
assemblage-879-838	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	34	0	0	5
assemblage-524-131	12	0	0	17	0	0	0	0	0	0	0	194	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	45	0	0	6
assemblage-255-725	0	0	0	0	0	0	0	0	0	0	0	13	0	8	0	0	67	0	0	0	0	0	0	10	0	0	0	0	0	130	0	0	0	0	0	26	0	0	0	13	0	0	0	0	0	0	0	64	0	0	0	0	0	100	57	0	12
assemblage-745-570	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	35	0	0	3
assemblage-585-727	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	49	0	0	12
assemblage-243-162	0	0	0	0	0	0	0	0	0	0	11	108	0	0	0	0	0	0	230	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	6
assemblage-246-669	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	16
assemblage-478-642	0	0	0	0	0	0	0	0	0	11	0	0	0	125	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	9	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	14
assemblage-821-647	0	143	0	0	0	0	0	0	0	0	0	0	0	11	0	12	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	8	0	0	18
assemblage-243-797	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	11
assemblage-821-643	0	136	0	0	0	0	0	0	0	0	0	0	0	12	0	15	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	3	0	0	19
assemblage-611-922	0	0	0	0	0	0	0	0	0	0	0	12	0	45	30	0	5	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	5	0	0	23
assemblage-724-995	0	0	0	0	0	0	0	0	0	0	0	18	0	44	3	0	20	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	104	0	0	9
assemblage-393-321	0	0	8	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5
assemblage-728-992	0	0	0	0	0	0	0	0	0	0	0	36	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	50	0	0	7
assemblage-597-731	0	0	0	0	0	0	0	0	0	0	0	19	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	38	0	0	4
assemblage-605-717	0	0	0	0	0	0	0	0	0	0	0	49	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	64	0	0	9
assemblage-668-930	0	0	0	14	0	0	0	46	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	11	0	0	0	0	20	0	0	49	0	0	5
assemblage-405-318	0	0	0	0	0	15	0	0	0	0	0	165	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-121-343	0	0	0	0	31	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	257	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-576-485	0	0	0	0	0	15	0	0	0	0	0	172	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-387-847	0	0	0	5	0	0	0	0	0	0	0	109	24	0	0	0	0	0	30	0	0	0	0	0	0	0	9	0	6	31	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-453-406	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	26
assemblage-739-488	0	0	0	0	0	0	0	0	0	0	0	17	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	31	0	0	16
assemblage-412-860	11	0	0	13	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	3
assemblage-472-664	0	0	0	0	0	0	0	0	0	9	0	0	0	125	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	15
assemblage-348-188	0	0	0	0	0	0	0	12	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	253	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	33	0	0	12
