Assemblage_Name	4-400587-0	0-2306091-8423775	0-3137095-8423775	2-4-2279150	3-3-1991035	0-3579754-330632	3-3-4	8432611-4-4	0-3580097-8423775	5506585-4-2279150	4-1-0	0-3579754-1504934	0-3-0	3-9980896-4	8432611-4-3365567	7004598-3-0	0-9393077-0	4-1147519-0	8432611-6321104-9670275	4-1147519-9027063	0-626216-8423775	4-1-4858795	8432611-4-9670275	8072680-1147519-0	4-1147519-1692003	3-3-3197701	0-3579754-1249102	6373232-3579754-8423775	4-1-7153131	2-4-604868	2-4-7955811	2-4-4	3-0-2	2-706645-4	0-3579754-8423775	4-1147519-1778065	1737068-3-4340975	7798971-1-0	1823900-3579754-8423775	1-2-0	0-8270615-8423775	2-1-3	0-3579754-9453433	9944314-1147519-0	1737068-3-4723130	2-5160488-3	0-5630254-8423775	1204067-1-0	0-6342253-8423775	1737068-3-1991035	0-3579754-6899937
assemblage-250-731	0	0	0	0	0	0	218	0	0	0	0	0	6	0	0	0	0	178	0	0	0	7	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	6
assemblage-747-590	0	0	0	4	0	0	0	0	0	0	21	0	85	15	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11
assemblage-96-896	0	0	0	0	11	0	69	0	0	0	38	0	69	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	7	112	77	0	7	0	0	0	0	10	0	12	0	0	0	0	0	0	0	0	15
assemblage-759-483	0	0	0	0	8	0	28	0	0	0	54	0	47	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	182	45	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-677-301	0	0	0	0	39	0	44	0	0	0	108	0	33	0	0	0	0	149	0	0	0	0	0	0	0	10	0	0	0	0	8	89	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-700-275	0	0	0	0	6	0	0	0	0	0	57	0	75	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	95	72	0	137	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	9
assemblage-240-941	0	0	0	0	0	0	0	11	0	0	11	0	47	12	0	0	0	40	0	0	0	0	0	0	43	0	0	0	0	0	0	13	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	2
assemblage-467-749	0	0	0	33	0	0	0	53	0	0	0	1	0	0	0	56	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	35	0	0	0	45	0	0	0	4	6	11
assemblage-636-922	0	0	0	0	21	0	46	0	0	0	74	0	27	0	0	0	0	153	0	0	0	0	0	0	0	15	0	0	0	0	8	113	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-678-943	0	0	0	6	0	0	0	124	0	0	0	11	0	0	0	0	0	23	37	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	33	0	15	0	0	0	0	0	0	35	2
assemblage-238-92	0	0	0	16	0	0	0	213	0	0	0	0	0	0	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	7	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-747-593	0	0	0	21	0	0	0	119	0	0	0	0	23	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	8
assemblage-234-493	0	0	0	0	0	0	0	16	0	0	31	0	9	0	0	0	0	27	0	0	0	0	0	0	7	0	49	0	0	0	0	0	47	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-595-739	0	0	0	0	0	0	7	0	0	0	63	0	89	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	6	93	0	145	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-571-457	0	0	0	7	0	0	0	55	0	0	0	0	0	0	0	0	0	20	0	0	0	0	90	0	0	0	0	0	0	0	0	107	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-689-282	0	0	0	0	0	0	67	0	0	0	122	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	91	56	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	1
assemblage-328-698	53	0	0	0	0	0	0	40	0	0	67	47	0	0	0	23	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-253-726	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	194	0	0	0	11	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	14
assemblage-340-683	0	0	0	46	0	0	0	64	0	0	0	8	0	0	0	66	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	25	0	0	0	42	0	0	0	10	7	6
assemblage-730-622	0	0	0	0	0	0	0	0	0	0	15	0	21	0	0	0	4	202	0	0	7	0	0	0	0	0	0	0	0	0	0	61	31	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-599-945	0	0	0	0	32	0	26	0	0	0	0	0	127	0	0	0	0	25	0	0	0	0	0	0	0	15	0	0	0	0	0	85	180	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-465-737	4	0	0	23	0	0	0	101	0	0	30	31	0	0	0	35	0	48	0	0	0	0	14	0	0	0	0	0	0	0	0	12	0	0	139	0	0	0	0	0	24	0	0	0	12	0	0	0	0	25	2
assemblage-604-525	0	0	0	0	32	0	59	0	0	0	98	0	36	0	0	0	0	139	0	0	0	0	0	0	0	16	0	0	0	0	11	88	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-604-735	0	0	0	0	26	0	0	0	0	0	25	0	143	0	0	0	26	57	0	0	0	0	0	0	0	0	0	0	0	0	0	63	54	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-234-166	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	15	0	0	0	0	89	0	0	0	0	0	0	0	0	123	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-351-499	0	0	0	51	0	0	0	189	0	39	0	0	0	0	0	13	0	71	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	8
assemblage-224-673	0	0	0	8	0	0	0	126	0	0	11	0	0	0	0	0	0	4	13	0	0	0	32	0	0	0	0	0	0	0	0	172	0	0	106	0	0	0	0	0	0	0	11	0	0	0	0	0	0	8	9
assemblage-669-934	6	0	0	85	0	0	0	85	0	0	40	0	0	0	0	0	0	35	0	0	0	0	54	0	0	0	0	0	0	0	0	73	0	0	83	0	0	0	0	0	21	0	0	0	0	0	0	0	0	11	7
