Assemblage_Name	1353338-4212082-2	1-1-1	2-4-1832220	4-4212082-2	3-3-3	4-2-1	1800564-4-1	2-4-2955477	2-6889436-2541862	4-0-2	3-1-0	2-333744-1	3998155-2-1	4-4212082-8738704	2-2866705-2541862	1570406-9191555-1	3-1-903740	2-4-6565210	6211698-3-3	3-9191555-1	3-9191555-9124589	2-5877882-1	2-4-1	3-4-7515680	2-4339526-6565210	9616075-4212082-2	5423321-9191555-1	2-4-2541862	2-4-7899368	5617373-4-1	3-4-3	2-3579162-6565210	4-367875-2	4-3-0	3-2-1	2-5877882-9578228
assemblage-404-579	0	0	0	42	15	0	15	0	26	0	0	0	0	0	0	4	9	40	0	52	0	27	178	0	0	0	0	51	0	5	0	0	7	6	0	23
assemblage-535-590	8	0	0	107	18	0	19	0	84	0	0	0	0	0	0	0	0	47	0	58	0	35	79	0	0	13	0	20	0	0	0	0	0	0	0	12
assemblage-502-519	0	0	0	76	0	0	6	51	34	0	0	0	0	0	0	0	0	75	0	26	0	13	115	0	56	0	5	15	0	0	0	15	0	0	0	13
assemblage-463-336	0	0	0	38	20	0	0	0	0	12	32	0	19	0	0	0	0	7	0	51	0	0	123	0	0	0	0	108	0	0	0	0	0	3	71	16
assemblage-617-450	7	0	0	120	10	0	31	0	71	0	0	0	0	0	0	0	0	58	0	55	0	17	82	0	0	3	0	21	0	0	0	0	0	0	0	25
assemblage-591-436	0	0	0	58	13	0	0	0	0	0	46	0	26	0	0	0	0	33	0	40	0	8	133	0	0	0	0	93	0	9	0	0	16	0	16	9
assemblage-546-364	0	0	0	76	7	0	26	0	49	0	0	6	0	0	0	4	0	29	0	56	0	30	173	0	0	0	0	27	0	0	0	0	0	0	0	17
assemblage-566-327	0	7	0	0	60	12	0	0	0	10	7	0	23	0	0	0	0	5	10	16	0	0	91	8	0	0	0	117	0	0	7	0	0	30	85	12
assemblage-635-480	0	0	0	43	9	0	0	0	0	0	24	0	21	0	0	0	0	21	0	55	0	14	155	0	0	0	0	101	0	5	0	0	7	0	23	22
assemblage-546-587	0	0	0	29	33	0	56	14	40	0	0	0	0	5	7	0	0	66	0	105	0	24	84	0	0	0	0	21	7	0	0	0	0	0	0	9
assemblage-443-448	0	0	0	77	0	0	10	33	26	0	0	0	0	0	0	0	0	83	0	39	9	13	117	0	44	0	6	20	0	0	0	18	0	0	0	5
assemblage-433-681	0	7	0	3	53	2	0	0	0	15	9	0	16	0	0	0	0	12	14	6	0	0	116	9	0	0	0	91	0	0	21	0	0	30	86	10
assemblage-616-551	0	0	0	38	39	0	45	7	43	0	0	0	0	9	0	0	0	85	0	87	0	27	79	0	0	0	0	23	0	0	0	0	0	0	0	18
assemblage-489-379	0	0	0	57	15	0	0	0	6	0	22	0	24	0	0	0	0	20	0	45	0	10	153	0	0	0	0	96	0	10	0	0	9	6	21	6
assemblage-525-530	0	0	0	78	0	0	37	0	55	0	0	7	0	0	0	4	0	31	0	65	0	30	131	0	0	0	0	25	0	0	0	0	0	0	0	28
assemblage-681-571	0	0	0	61	0	0	16	24	31	0	0	0	0	2	0	0	0	42	0	47	5	24	131	0	21	0	21	31	0	0	0	26	0	0	0	18
assemblage-582-447	7	0	0	97	27	0	41	0	61	0	0	4	0	0	0	0	0	75	0	48	0	15	82	0	0	9	0	17	0	0	0	0	0	0	0	17
assemblage-269-372	0	0	0	39	39	0	0	0	0	3	35	0	18	0	0	0	0	10	0	55	0	0	121	0	0	0	0	105	0	0	0	0	0	0	55	20
assemblage-467-475	0	0	0	76	17	0	12	0	28	0	0	11	0	0	0	0	11	34	0	39	0	13	181	0	0	0	0	51	0	0	0	0	0	0	0	27
assemblage-491-505	0	0	12	47	28	0	22	14	9	0	0	0	0	18	4	0	0	40	0	99	0	18	82	0	18	0	15	32	9	0	0	24	0	0	0	6
assemblage-562-454	0	0	0	57	0	0	17	25	27	0	0	0	0	0	0	0	0	39	0	39	8	22	121	0	24	0	45	27	0	0	0	21	0	0	0	28
assemblage-480-528	0	0	0	67	12	0	36	0	56	0	0	3	0	0	0	11	0	34	0	88	0	31	117	0	0	0	0	28	0	0	0	0	0	0	0	17
assemblage-526-324	0	6	0	0	54	5	0	0	0	15	20	0	21	0	0	0	0	9	9	14	0	0	104	3	0	0	0	97	0	0	12	0	0	28	86	17
assemblage-582-448	0	0	0	54	0	0	12	19	24	0	0	0	0	6	0	0	0	45	0	43	9	21	127	0	42	0	21	36	0	0	0	25	0	0	0	16
assemblage-415-630	0	0	0	44	33	0	0	0	0	11	55	0	20	0	0	0	0	14	0	45	0	0	111	0	0	0	0	96	0	0	0	0	0	10	51	10
assemblage-529-325	0	0	9	39	34	0	18	18	12	0	0	0	0	11	7	0	0	60	0	70	4	41	81	0	10	0	6	34	4	0	0	24	0	0	0	18
assemblage-724-494	0	0	12	19	32	0	22	10	16	0	0	0	0	18	11	0	0	37	0	102	0	23	92	0	11	0	12	43	8	0	0	13	0	0	0	19
assemblage-340-403	0	0	0	55	13	0	6	0	25	0	0	0	0	0	0	0	14	37	0	61	0	42	169	0	0	0	0	53	0	7	0	0	0	0	0	18
assemblage-631-375	0	0	0	53	0	0	8	39	33	0	0	0	0	0	0	0	0	88	0	28	3	7	118	0	61	0	10	19	0	0	0	24	0	0	0	9
assemblage-630-718	0	0	0	42	38	0	50	7	52	0	0	0	0	7	0	0	0	68	0	87	0	22	81	0	0	0	0	21	0	0	0	6	0	0	0	19
