Assemblage_Name	1-3748402-1025007	1-1-0	1-1-2	4-6377202-4	1-3748402-0	2-3-2	5970341-77736-4	1650335-1-0	4-7923161-4	7623531-4-4	4-7311547-4	4-4-7182066	4-4-4	0-3-1	4-5789639-5764083	1-2-0	2-1-2	1-5965286-0	1-6065928-0	881747-1-0	7456118-1-0	1-348758-0
assemblage-436-466	0	65	0	9	103	0	0	0	29	32	48	0	164	4	13	0	0	0	25	0	0	8
assemblage-394-439	0	52	0	0	82	0	0	0	18	0	77	5	201	9	0	0	0	0	29	0	8	19
assemblage-417-425	0	112	0	0	90	5	0	0	29	0	105	8	100	27	0	8	0	0	10	0	0	6
assemblage-695-531	0	88	0	0	75	15	0	0	32	0	96	0	146	20	0	0	0	0	13	0	0	15
assemblage-627-462	0	106	13	0	43	15	0	16	26	0	14	1	135	65	0	45	13	0	0	0	0	8
assemblage-581-624	0	127	0	0	81	9	0	18	19	0	63	12	95	36	0	31	0	0	0	0	0	9
assemblage-294-555	0	81	0	0	84	0	0	0	13	0	79	6	170	14	0	0	0	0	19	0	4	18
assemblage-445-476	0	100	0	0	72	16	0	0	35	0	101	0	130	26	0	0	0	0	7	0	0	13
assemblage-437-342	0	74	0	12	77	0	0	0	9	0	37	0	233	6	0	0	0	0	42	0	0	10
assemblage-470-468	0	139	0	0	97	0	0	0	30	0	85	6	85	33	0	7	0	0	10	0	0	8
assemblage-607-312	0	76	0	0	62	0	0	0	25	0	63	0	194	21	0	0	0	0	39	0	0	17
assemblage-684-458	0	39	0	0	140	0	0	0	32	41	21	0	173	13	0	0	0	18	4	0	0	9
assemblage-540-375	0	86	16	0	6	33	12	13	41	0	22	10	120	41	0	28	26	0	0	19	0	16
assemblage-461-558	0	105	0	0	88	17	0	15	28	0	61	17	94	36	0	29	0	0	0	0	0	10
assemblage-575-668	0	125	13	0	42	10	0	17	13	0	23	7	141	52	0	33	12	0	0	0	0	12
assemblage-390-298	0	76	0	11	93	0	0	0	10	0	42	0	187	19	0	0	0	0	39	0	0	23
assemblage-610-367	0	64	0	12	100	0	0	0	40	20	20	0	176	17	15	0	0	0	29	0	0	7
assemblage-534-324	0	122	0	0	72	0	0	0	27	0	98	9	101	39	0	6	0	0	14	0	0	12
assemblage-665-539	0	135	0	0	62	5	0	14	12	0	46	18	122	38	0	34	0	0	0	0	0	14
assemblage-505-378	0	89	0	21	78	0	0	0	15	0	36	0	198	9	0	0	0	0	27	0	12	7
assemblage-520-586	11	98	0	0	96	0	0	0	12	50	18	0	152	27	0	0	0	16	0	0	0	17
assemblage-405-561	0	48	31	0	23	23	28	9	51	0	14	8	148	32	0	36	16	0	0	15	0	18
assemblage-528-554	0	76	0	13	102	0	0	0	24	21	34	0	172	7	11	0	0	0	29	0	0	11
assemblage-582-448	0	48	0	0	124	0	0	0	51	36	26	0	187	9	0	0	0	0	8	0	0	11
assemblage-507-514	21	81	0	0	111	0	0	0	23	68	8	0	144	13	0	0	0	9	0	0	0	14
assemblage-397-422	0	48	20	0	15	18	11	21	47	0	27	5	173	40	0	27	17	0	0	15	0	12
assemblage-610-516	10	87	0	0	88	0	0	0	25	69	9	0	157	15	0	0	0	16	0	0	0	23
assemblage-497-346	0	101	14	0	29	24	0	15	25	0	28	9	131	40	0	43	9	0	0	0	0	22
assemblage-459-495	0	43	0	0	122	0	0	0	46	54	36	0	167	7	0	0	0	0	7	0	0	18
assemblage-579-537	0	108	0	0	68	13	0	0	30	0	102	0	137	13	0	0	0	0	17	0	0	12
