Assemblage_Name	1217247-4-6775379	4-4748766-2100757	4-4748766-3	4-4-6775379	3-1-2	811218-4379212-2	4-3221010-3	1-9073812-3	0-0-4	4-4-395929	4-8596222-3	3-3-2	3-9041625-2	4-3-0	1043442-4-3	3-3-6147646	1-4-4782632	811218-3-2	4-4-9505848	9913308-4-3	5529921-4-3	4-4-631641	1-4-3	4-3425119-3	1-4-6049923	4-4748766-6298675	4-2174075-3	3-7002494-2	4-4-3	211564-7002494-2	6165475-4-631641
assemblage-530-503	0	0	0	20	16	0	0	4	31	0	0	64	0	9	9	0	0	7	0	0	10	25	28	0	0	0	0	0	223	12	26
assemblage-318-446	0	18	66	39	0	0	0	0	0	0	59	39	0	0	0	0	0	52	0	0	0	0	42	26	14	0	7	0	116	0	22
assemblage-417-539	7	0	83	42	0	9	5	0	0	0	7	13	12	0	0	0	0	23	0	0	0	0	94	12	0	0	0	32	126	3	32
assemblage-559-518	0	0	96	32	0	0	0	0	0	0	0	51	48	0	0	0	0	24	12	22	0	6	28	0	0	8	0	10	142	9	12
assemblage-498-583	0	0	56	15	0	0	0	0	0	5	0	49	33	0	16	0	7	16	20	0	0	7	32	0	0	0	0	26	187	19	12
assemblage-641-508	0	0	0	21	14	0	0	22	30	0	0	55	0	15	34	0	0	27	0	0	22	32	21	0	0	0	0	5	157	11	20
assemblage-380-571	0	11	91	46	0	0	14	0	0	0	0	52	11	0	10	0	0	14	8	0	0	0	39	0	0	0	0	32	128	4	26
assemblage-433-681	0	0	0	35	12	0	0	0	34	0	0	40	0	8	4	0	0	0	0	0	4	27	26	0	0	0	0	0	242	17	45
assemblage-646-432	0	0	27	0	0	0	0	0	0	0	0	45	25	0	52	0	0	12	25	0	0	23	15	0	0	0	0	0	232	15	29
assemblage-646-444	0	0	0	35	14	0	0	9	23	0	0	43	0	0	27	6	0	13	0	0	3	30	14	0	0	0	0	14	226	15	28
assemblage-520-613	0	0	25	10	0	0	0	0	0	0	0	39	17	0	56	0	0	8	17	0	0	26	11	0	0	0	0	0	223	33	35
assemblage-392-436	12	20	41	59	0	0	0	0	0	0	37	24	25	0	0	0	0	33	0	0	0	0	68	26	19	0	0	11	88	0	15
assemblage-708-415	0	0	0	28	15	0	0	9	25	0	0	38	0	14	24	18	0	16	0	0	18	28	23	0	0	0	0	5	210	19	10
assemblage-554-462	0	0	79	31	0	0	0	0	0	0	0	55	31	0	0	0	0	13	37	8	0	11	45	0	0	9	0	11	144	6	20
assemblage-631-625	0	0	83	19	0	0	0	0	0	0	0	56	47	0	0	0	0	21	19	8	0	12	33	0	0	13	0	16	155	6	9
assemblage-489-379	0	0	5	10	13	0	0	22	8	0	0	50	11	0	34	0	0	26	0	0	0	26	12	0	0	0	0	13	206	24	13
assemblage-634-495	8	7	64	51	0	0	0	0	0	0	54	20	14	0	0	0	0	35	0	0	0	0	86	17	16	0	0	0	97	0	31
assemblage-621-693	0	14	90	43	0	0	7	0	0	0	0	36	22	0	8	0	0	36	0	0	0	0	33	0	0	0	0	26	141	7	29
assemblage-517-514	0	28	33	48	0	0	0	0	0	0	69	26	0	0	0	0	0	66	0	0	0	0	45	27	8	0	9	0	122	0	15
assemblage-405-561	0	0	0	39	14	0	0	10	21	0	0	53	0	8	9	0	0	11	0	0	11	19	12	0	0	0	0	0	230	10	42
assemblage-584-311	0	0	23	8	8	0	0	7	9	0	0	53	16	0	51	2	0	24	0	0	0	35	9	0	0	0	0	4	228	3	20
assemblage-439-556	3	10	74	42	0	0	0	0	0	0	37	22	12	0	0	0	0	34	0	0	0	0	85	24	23	0	0	0	97	0	27
assemblage-563-581	0	14	96	70	0	0	7	0	0	0	0	36	24	0	21	0	0	13	0	0	0	0	25	6	0	0	0	13	141	4	30
assemblage-515-436	0	31	31	50	0	0	0	0	0	0	70	24	0	0	0	0	0	45	0	0	0	0	34	31	11	0	15	0	118	0	23
assemblage-419-395	8	0	94	58	0	4	12	0	0	0	0	18	16	0	0	0	0	25	0	0	0	0	91	18	0	0	0	29	104	0	23
assemblage-493-366	0	0	50	14	0	0	0	0	0	9	0	59	45	0	8	0	4	11	23	10	0	11	27	0	0	0	0	17	184	9	19
assemblage-595-551	5	0	78	48	0	5	12	0	0	0	0	25	20	0	0	0	0	20	0	0	0	0	78	10	0	0	0	26	143	0	30
assemblage-493-401	0	0	33	0	0	0	0	0	3	0	0	41	16	0	53	0	0	5	19	0	0	32	21	0	0	0	0	0	220	25	28
assemblage-539-252	0	0	6	15	12	0	0	18	11	0	0	51	12	0	51	0	0	27	7	0	0	23	24	0	0	0	0	0	198	17	28
assemblage-536-491	0	0	66	7	0	0	0	0	0	8	0	46	42	0	0	0	5	16	36	0	0	7	35	0	0	0	0	20	166	14	26
