Assemblage_Name	3-1-1	2-1-2	2-1-3	2-1-1	3-2-2	1-1-1	3-2-1	4-3-0	2-2-2	4-3-9853763	7733678-0-4	87464-1-1	474928-1-1	1-4-4	4-3-5517995	4-3-7665263	3-0-4	2-1-2944784	1-7793523-1	6358459-6345292-4	2-1-120722
assemblage-436-616	0	123	0	206	0	15	0	105	28	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-521-555	10	100	33	79	10	27	0	24	15	16	0	13	0	31	0	0	82	18	0	31	11
assemblage-532-424	0	131	0	217	0	23	0	76	24	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-576-492	9	99	109	83	0	29	0	47	8	0	0	0	52	20	0	0	20	0	0	0	16
assemblage-385-572	18	90	24	70	16	52	10	49	28	0	0	28	0	8	0	13	58	2	0	15	19
assemblage-607-536	17	71	24	72	14	39	7	52	35	0	0	36	0	10	0	13	58	0	0	23	22
assemblage-494-373	7	107	85	110	0	46	0	31	8	0	0	0	46	10	0	0	25	0	9	0	10
assemblage-489-624	0	88	6	111	0	87	0	121	32	0	0	0	23	0	8	0	0	0	0	0	21
assemblage-687-637	0	123	32	110	0	33	0	84	24	0	0	0	26	0	19	0	15	0	11	0	19
assemblage-544-495	0	126	0	185	0	23	0	92	37	0	0	0	26	0	0	0	0	0	0	0	11
assemblage-525-380	0	123	41	92	0	45	0	77	31	0	0	0	27	0	15	0	20	0	6	0	15
assemblage-609-260	0	128	0	189	0	25	0	88	22	0	0	0	36	0	0	0	0	0	0	0	12
assemblage-315-462	4	109	23	108	0	43	0	31	41	5	6	0	0	50	0	0	54	0	0	11	15
assemblage-423-730	0	73	9	133	0	88	0	94	30	0	0	0	22	0	23	0	0	0	0	0	28
assemblage-584-478	0	92	0	222	0	17	0	94	41	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-505-604	21	106	14	99	0	57	0	15	38	0	9	0	0	72	0	0	43	7	0	0	19
assemblage-593-363	16	102	27	89	4	25	0	37	25	10	0	13	0	23	0	0	61	20	0	22	22
assemblage-528-503	27	87	52	116	0	38	0	20	22	0	0	0	0	82	0	0	38	0	0	0	10
assemblage-534-324	18	116	73	107	0	24	0	16	20	0	0	0	0	77	0	0	30	0	0	0	14
assemblage-543-638	0	76	15	100	0	96	0	103	36	0	0	0	38	0	12	0	0	0	0	0	18
assemblage-528-554	0	91	5	185	0	60	0	94	26	0	0	0	17	0	0	0	0	0	0	0	22
assemblage-609-554	0	124	33	84	0	39	0	81	39	0	0	0	41	0	8	0	3	0	4	0	20
assemblage-529-325	0	129	6	170	0	43	0	90	32	0	0	0	22	0	0	0	0	0	0	0	8
assemblage-491-640	12	108	23	68	14	47	0	31	15	18	0	12	0	14	0	0	73	14	0	20	22
assemblage-522-542	0	99	25	183	0	38	0	95	28	0	0	0	19	0	0	0	0	0	0	0	13
assemblage-311-407	0	94	0	201	0	16	0	118	41	0	0	0	11	0	0	0	0	0	0	0	19
assemblage-401-599	11	66	30	70	23	57	4	42	24	0	0	39	0	12	0	6	73	0	0	12	31
assemblage-464-417	16	82	75	106	0	29	0	13	21	0	0	0	0	74	0	0	41	0	0	0	23
assemblage-419-619	11	80	32	109	0	61	0	19	45	0	9	0	0	50	0	0	63	8	0	0	13
assemblage-580-466	7	124	69	81	0	35	0	37	20	0	0	0	57	26	0	0	19	0	15	0	10
