Assemblage_Name	3-3-0	4-1-0	4-1-4235434	0-3-2	4-503996-0	0-3-3630941	4-0-0	0-0-3	90627-1-7835004	1-3-1	3-0-0	4-2-2	0-3-4	1-8444986-1	2-1-3	6627746-3-1	4-1-5151706
assemblage-227-549	0	187	0	126	16	0	0	36	0	77	0	0	0	0	18	23	17
assemblage-617-545	39	21	0	129	0	0	22	54	0	126	19	9	23	0	30	0	24
assemblage-707-574	0	135	47	105	41	0	0	87	35	16	0	0	0	0	32	0	2
assemblage-411-672	0	61	0	181	0	0	0	47	0	136	18	0	14	24	9	0	10
assemblage-521-552	0	133	22	116	47	0	0	99	26	17	0	0	0	0	38	0	2
assemblage-401-535	25	28	0	160	0	0	10	43	0	123	25	5	35	0	23	0	15
assemblage-606-491	0	169	0	155	7	12	0	32	0	87	0	0	0	0	13	16	9
assemblage-425-523	0	166	0	150	13	0	0	44	0	71	0	0	0	0	25	19	6
assemblage-372-614	0	160	0	139	15	0	0	45	8	59	0	0	0	0	69	0	5
assemblage-498-583	0	98	0	154	6	6	0	15	0	173	0	0	0	0	14	26	8
assemblage-598-648	0	174	0	139	6	6	0	51	0	96	0	0	0	0	3	18	7
assemblage-445-476	0	101	0	191	3	0	0	12	0	120	0	0	0	0	6	45	22
assemblage-623-440	0	132	0	142	14	0	0	54	8	52	0	0	0	0	80	0	2
assemblage-504-537	6	63	0	163	0	0	0	69	0	89	12	0	17	11	40	0	12
assemblage-230-538	0	216	0	96	15	0	0	61	8	39	0	0	0	0	60	0	5
assemblage-575-668	0	85	0	167	0	0	0	54	0	72	12	0	22	9	62	0	9
assemblage-500-400	0	141	56	89	48	0	0	82	11	0	0	0	0	0	55	0	18
assemblage-407-621	0	84	0	164	0	4	0	43	0	172	0	0	0	0	4	19	10
assemblage-485-386	7	61	0	186	0	0	0	60	0	76	11	0	16	11	52	0	13
assemblage-349-494	0	194	0	119	7	0	0	51	0	47	0	0	0	0	25	26	6
assemblage-580-655	0	150	54	91	43	0	0	93	23	0	0	0	0	0	35	0	11
assemblage-368-468	0	135	78	84	43	0	0	85	15	0	0	0	0	0	54	0	6
assemblage-348-555	0	172	0	148	11	0	0	55	0	61	0	0	0	0	34	11	8
assemblage-341-494	0	113	0	166	0	0	0	9	0	141	0	0	0	17	36	0	18
assemblage-663-385	30	40	0	139	0	0	17	36	0	138	20	3	42	4	15	0	11
assemblage-309-501	0	117	0	179	0	0	0	27	0	130	6	0	0	16	15	0	10
assemblage-444-629	0	70	0	160	0	0	0	45	0	148	15	0	10	17	16	0	9
assemblage-415-593	0	137	33	117	32	0	0	68	31	18	0	0	0	0	60	0	4
assemblage-464-417	0	127	0	149	0	0	0	34	0	152	0	0	0	3	23	0	12
assemblage-779-734	0	26	0	196	0	0	0	32	0	147	13	0	7	37	37	0	5
