Assemblage_Name	7368500-2125297-0	4-1-5038639	2195112-1-0	3456046-4368532-9674530	0-485936-8159120	3456046-1098615-1	3-3-8544283	2-9087104-0	8687095-3-3	6751516-3737654-0	8597379-3-3	3-3-3	2-3737654-1749464	2-0-2175134	7662499-3928194-3	2-0-4	2-3713267-0	2-8822060-0	2-3737654-0	7790727-3-3	2-8822060-9386609	1452822-9275729-3	1101627-3-3	2-3-3	0-2-8159120	1827262-1-0	3-3-7032059	7662499-3-3	2-2100778-3	2-3737654-6786777	1528630-1-0	0-2-2	3-5461083-3	7368500-1-0	2-1889237-6424888	2-1889237-4	2-4595960-2175134	2-4-0	9704201-3737654-6786777	9917348-1-5445863	4-1-5111882	954720-3-3
assemblage-348-464	0	0	0	0	0	5	0	0	0	0	0	95	0	59	0	18	0	0	92	0	0	0	0	25	55	0	0	0	16	0	0	0	0	62	0	0	0	0	0	10	22	36
assemblage-384-352	0	10	0	0	0	14	0	0	0	0	0	103	0	37	0	21	0	0	63	14	0	9	0	44	28	0	0	0	0	0	0	11	0	58	0	0	0	0	0	16	29	29
assemblage-478-546	0	0	0	0	0	11	0	0	14	0	0	130	0	43	0	10	0	0	93	0	0	0	0	3	77	0	0	5	30	0	0	0	0	25	0	0	0	0	0	0	0	47
assemblage-559-518	0	0	0	25	35	0	0	14	0	0	0	25	0	68	0	38	0	0	95	0	0	0	21	0	20	0	0	0	8	5	20	0	0	67	0	0	18	0	0	0	0	37
assemblage-546-560	0	7	0	0	0	11	0	0	0	0	0	104	0	50	0	12	0	0	76	9	0	3	0	60	38	0	0	0	0	0	0	7	6	33	0	0	0	0	0	17	36	31
assemblage-596-514	7	0	0	0	15	0	0	27	0	2	0	25	0	82	0	21	0	0	140	0	0	0	16	0	7	14	0	0	17	7	12	0	0	58	0	0	18	0	0	0	0	26
assemblage-395-421	2	0	0	0	9	0	0	32	0	7	0	21	0	50	0	26	0	0	117	0	0	0	14	0	3	8	0	0	28	5	11	0	0	79	0	0	8	0	0	0	0	38
assemblage-584-383	26	0	0	0	0	0	0	0	0	0	7	8	0	55	0	0	9	0	124	0	8	0	0	0	89	51	0	0	40	0	0	0	0	36	0	0	0	0	5	0	0	38
assemblage-659-658	0	0	0	20	32	12	0	10	0	0	0	35	0	86	10	22	0	0	67	0	0	0	15	0	6	0	0	0	5	11	22	0	0	82	0	0	11	0	0	0	0	54
assemblage-389-410	0	0	0	0	0	5	0	0	0	0	0	87	0	45	0	15	0	0	63	17	0	11	0	39	41	0	0	0	6	0	0	8	10	63	0	0	0	0	0	17	33	40
assemblage-445-476	0	0	0	0	0	22	7	0	0	0	0	97	15	75	5	15	0	0	81	0	0	0	23	0	33	0	0	10	15	0	22	0	0	18	0	0	0	0	0	0	0	62
assemblage-665-452	0	4	0	0	0	13	0	0	0	0	0	92	0	25	0	22	0	0	76	8	0	8	0	42	0	0	14	0	0	0	0	31	18	21	0	0	0	12	0	10	29	39
assemblage-494-373	0	0	0	0	0	14	0	0	0	0	0	75	10	84	12	29	0	0	68	0	0	0	20	0	35	0	0	9	12	0	18	0	0	50	0	0	0	0	0	0	0	51
assemblage-684-458	41	0	0	0	0	0	0	0	0	0	1	7	0	72	0	0	11	9	110	0	3	0	0	0	52	28	0	0	69	0	0	0	0	34	9	0	0	0	0	0	0	50
assemblage-326-635	19	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	132	0	0	0	0	0	130	44	0	0	33	0	0	0	0	30	5	0	0	0	0	0	0	31
assemblage-520-525	14	0	0	0	19	0	4	14	0	6	0	38	0	68	0	14	0	0	145	0	0	0	22	0	11	7	0	0	5	5	5	0	0	60	0	0	13	0	0	0	0	41
assemblage-427-494	0	0	0	0	0	6	0	0	5	0	0	108	0	56	0	12	0	0	88	0	0	0	0	24	65	0	0	0	12	0	0	0	0	67	0	0	0	0	0	5	9	37
assemblage-609-260	33	0	0	0	0	0	0	0	0	3	8	11	0	38	0	0	7	11	114	0	3	0	0	0	90	47	0	0	54	0	0	0	0	39	5	0	0	0	0	0	0	33
assemblage-520-613	0	0	5	0	0	25	0	0	14	0	0	91	0	43	0	20	0	0	125	0	0	0	0	3	64	0	0	6	21	0	0	0	0	29	0	0	0	0	0	0	0	53
assemblage-541-555	0	0	0	0	11	11	7	0	0	0	0	84	18	65	13	20	0	0	80	0	0	0	17	0	34	0	0	7	15	0	11	0	0	40	0	0	3	0	0	0	0	48
assemblage-531-387	9	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	98	0	0	0	0	0	166	51	0	0	47	0	0	0	0	19	7	0	0	0	0	0	0	42
assemblage-489-537	0	0	0	5	45	0	10	5	0	0	0	38	0	72	5	11	0	0	92	0	0	0	14	0	21	0	0	0	20	4	19	0	0	74	0	0	19	0	0	0	0	32
assemblage-426-380	0	0	0	0	0	17	0	0	0	0	0	93	0	20	0	23	0	0	84	8	0	10	0	44	14	0	5	0	0	0	0	31	11	42	0	0	0	8	0	21	33	19
assemblage-634-403	0	0	11	0	0	21	0	0	14	0	0	122	0	41	0	18	0	0	120	0	0	0	0	6	63	0	0	9	19	0	4	0	0	19	0	0	0	0	0	0	0	24
assemblage-556-572	0	0	0	0	5	0	0	12	0	19	10	6	0	37	0	0	16	17	118	0	0	0	2	0	27	30	0	0	30	0	0	0	0	64	0	4	0	0	23	0	0	54
assemblage-442-377	0	0	0	0	3	0	4	15	0	31	23	4	0	46	0	5	0	0	109	0	5	0	5	0	26	23	0	0	40	0	0	0	0	30	4	22	0	0	14	0	0	54
assemblage-649-294	0	0	8	0	0	0	0	0	6	0	0	73	0	54	0	9	0	0	131	0	0	0	0	17	65	0	0	0	12	0	0	0	0	49	0	0	0	0	0	5	17	44
assemblage-334-574	10	0	0	0	0	0	0	10	0	39	8	5	0	46	0	0	7	16	123	0	8	0	9	0	27	18	0	0	40	0	0	0	0	53	0	7	0	0	9	0	0	32
assemblage-340-370	0	0	0	0	0	9	0	0	0	0	0	105	0	25	0	26	0	0	65	17	0	11	0	39	0	0	18	0	0	0	0	30	6	51	0	0	0	17	0	16	19	46
assemblage-631-375	13	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	129	0	0	0	0	0	128	43	0	0	42	0	0	0	0	33	0	0	0	0	0	0	0	40
