Assemblage_Name	2761914-0-2874756	1-8186419-1888884	8486555-2822334-1	875108-0-2	365333-0-2	5370446-0-7695073	5849909-8186419-2	875108-9907597-5877054	2-4-2506253	9014259-0-2	7959428-0-2874756	8486555-8447540-1	1-2294962-2	6702587-1-4	1-0-1802521	0-4-0	1-0-4776289	2-4-9199318	1-3417607-2874756	2-4-6438592	5844896-1426020-2	875108-0-4759031	1-2077414-3	875108-1283910-2	4-1-3104476	4-1-6416878	1-0-2946387	1-8186419-189191	8486555-4-1	1-1426020-2	1-5155414-2	1-6395547-3	1-2294962-4276358	5376894-1-4	6802382-4568668-0	1-4-3	1-504556-2	4273587-4-3	1-0-2	1-0-7695073	4773645-4568668-0	4-1-4	7464314-0-2	1-4-7523333	2-4-0	1-0-6727125	1-8186419-2	6044338-0-2	1-0-2874756	875108-9907597-2	1-712043-3
assemblage-767-668	0	0	0	101	0	0	9	0	16	0	0	0	100	0	0	0	0	0	0	0	0	5	0	0	0	0	7	0	0	17	6	0	6	0	0	36	0	0	11	0	0	18	0	0	5	0	19	0	93	5	46
assemblage-507-435	12	0	0	55	0	0	0	0	0	22	0	0	42	0	0	0	0	0	0	21	0	0	9	3	0	0	0	8	0	51	0	4	0	0	0	0	0	0	0	29	0	0	8	0	0	0	92	11	41	60	32
assemblage-557-394	0	0	0	104	0	0	0	0	14	17	0	0	66	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	51	0	9	0	0	0	12	0	0	0	6	0	0	9	0	0	0	32	0	84	12	65
assemblage-331-488	0	6	0	105	0	0	2	0	12	19	0	0	74	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	19	5	5	0	0	0	19	0	0	0	8	0	0	13	0	8	0	37	0	78	23	44
assemblage-448-485	0	0	0	92	0	0	0	0	9	0	0	11	73	12	0	0	0	0	0	0	0	0	0	0	0	4	0	0	15	0	0	0	0	10	0	27	0	0	23	0	0	34	0	0	32	0	19	9	103	0	27
assemblage-330-618	9	19	0	83	0	4	0	5	0	7	0	0	13	0	0	0	0	0	0	24	4	0	8	0	0	0	0	10	0	41	0	3	0	0	0	14	0	0	0	24	0	0	0	0	0	0	119	23	3	56	31
assemblage-294-555	0	0	0	99	0	0	20	0	29	6	9	0	91	0	0	0	0	0	0	0	0	11	0	0	0	0	14	0	0	11	0	0	9	0	0	31	0	0	10	0	0	10	0	0	10	0	15	0	85	8	32
assemblage-445-476	0	0	0	82	0	0	0	0	7	0	0	5	68	21	0	0	0	0	0	0	0	0	0	0	0	12	0	0	17	0	0	0	0	13	0	23	0	0	17	0	0	25	0	0	37	0	19	10	121	0	23
assemblage-540-375	0	0	7	11	0	0	0	0	0	0	0	0	0	20	0	4	27	13	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	8	93	0	0	44	0	9	94	0	6	55	0	0	0	34	0	57
assemblage-535-556	0	0	13	8	0	0	0	0	0	0	0	0	0	21	0	13	32	14	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	6	112	0	0	30	0	6	73	0	8	59	0	0	0	31	0	42
assemblage-621-505	0	0	0	42	0	0	0	0	5	0	0	0	29	15	0	0	0	0	11	0	0	0	0	0	13	0	0	0	38	0	0	0	0	9	0	71	0	0	17	0	0	85	0	0	35	0	11	0	70	0	47
assemblage-390-298	0	4	0	98	0	0	9	0	12	17	7	0	64	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	24	5	15	0	0	0	31	0	0	0	8	0	0	8	0	0	0	29	0	104	14	38
assemblage-708-415	0	0	1	9	0	0	0	0	0	0	0	0	0	10	11	0	14	8	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	122	10	6	34	0	0	108	0	7	24	0	0	0	45	0	51
assemblage-459-519	0	0	11	15	0	0	0	0	0	0	0	0	0	11	0	4	27	10	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	5	93	0	0	36	0	6	128	0	3	43	0	0	0	38	0	49
assemblage-360-364	0	8	0	89	7	0	4	0	0	9	0	0	53	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	50	0	13	0	0	0	10	0	0	0	14	0	0	13	0	0	5	49	0	64	51	51
assemblage-540-418	0	0	0	25	0	0	0	0	0	0	0	0	0	12	17	0	31	14	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	88	3	0	20	0	0	109	0	4	23	0	0	0	51	0	67
assemblage-483-389	0	6	0	102	8	0	6	0	0	11	0	0	51	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	53	0	11	0	0	0	7	0	0	0	17	0	0	10	0	0	9	64	4	47	37	45
assemblage-508-652	0	0	0	22	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	9	0	0	0	27	0	0	0	0	3	0	84	15	16	30	0	0	124	0	0	34	0	0	0	42	0	76
assemblage-471-212	0	0	0	20	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	4	0	0	0	49	0	0	0	0	9	0	78	8	9	21	0	0	132	0	0	36	0	0	11	40	0	69
assemblage-634-495	16	0	0	55	0	0	0	0	0	21	0	0	40	0	0	0	0	0	0	22	0	0	19	15	0	0	0	0	0	49	0	10	0	0	0	0	0	0	0	24	0	0	0	0	0	0	82	9	44	54	37
assemblage-534-324	0	0	0	40	0	0	0	0	12	0	0	0	22	10	0	0	0	0	10	0	0	0	0	0	9	0	0	0	49	0	0	0	0	18	0	47	0	0	15	0	0	72	0	0	47	0	16	0	70	0	58
assemblage-456-495	0	0	0	81	0	0	0	0	14	0	0	8	70	14	0	0	0	0	0	0	0	0	0	0	0	14	0	0	15	0	0	0	0	10	0	41	0	0	14	0	0	36	0	0	27	0	12	8	105	0	31
assemblage-375-541	0	0	0	10	0	0	0	0	0	0	0	0	0	12	9	0	24	12	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	112	7	0	31	0	0	108	0	7	29	0	0	0	64	0	54
assemblage-478-729	18	1	0	57	0	0	0	0	0	18	0	0	21	0	0	0	0	0	0	26	0	0	21	14	0	0	0	7	0	38	0	13	0	0	0	0	0	0	0	24	0	0	0	0	0	0	86	11	47	59	32
