Assemblage_Name	3-1-0	7476240-8947601-4321011	3-4093252-0	7476240-3-0	3-2-8483733	7476240-3-985120	1-4661528-9803699	7582015-2-5736306	1-1-7357035	7476240-4761875-0
assemblage-755-235	46	0	19	349	0	8	0	10	0	8
assemblage-498-329	0	0	0	318	0	6	0	70	0	11
assemblage-630-862	0	0	0	355	0	0	0	0	0	20
assemblage-564-597	44	22	0	29	67	0	40	0	30	16
assemblage-777-942	121	9	0	124	43	0	3	0	102	17
assemblage-617-164	15	0	11	305	0	0	0	53	0	15
assemblage-918-207	111	0	0	273	0	10	0	18	34	20
assemblage-958-360	20	0	0	99	31	0	0	0	6	7
assemblage-961-871	0	0	66	300	0	0	0	4	0	14
assemblage-993-573	26	39	0	60	158	0	51	0	46	17
