Assemblage_Name	4-7468497-3	9305323-2-8770406	1-4060163-1561834	1-4060163-726911	9305323-2-2	3-4-1	4-0-621775	6240847-4-2	4-0-3	421906-4-1	7041361-2-0
assemblage-363-462	42	0	0	25	61	6	87	126	117	0	15
assemblage-647-322	60	90	11	9	97	24	15	4	92	0	16
assemblage-99-464	86	0	22	0	8	0	0	12	318	0	9
assemblage-449-851	51	0	7	0	76	47	0	38	178	0	15
assemblage-402-995	92	0	0	15	0	68	71	0	183	42	14
assemblage-368-841	65	37	0	21	73	19	47	0	148	47	10
assemblage-238-294	65	51	0	28	0	18	14	0	128	130	16
assemblage-983-722	136	0	0	52	0	0	0	0	50	76	7
assemblage-205-814	155	6	0	38	0	0	0	0	145	36	24
assemblage-988-792	149	59	0	97	0	0	0	0	35	104	18
