Assemblage_Name	4-1833084-3	3-1-2	3-7636999-6655195	3-1-6655195	4-6371639-3	0-7526676-9419867	4934559-0-0	0-7526676-0	3-8834812-1	0-2-0	1-0-0	4934559-7127019-0
assemblage-192-834	0	53	8	0	43	72	75	0	101	0	27	10
assemblage-227-302	0	37	21	83	115	37	170	0	18	0	0	19
assemblage-638-795	0	73	87	0	6	0	241	0	43	0	8	7
assemblage-174-175	53	34	0	0	0	0	0	86	9	74	80	17
assemblage-1005-552	57	280	0	18	0	0	0	11	4	65	36	24
assemblage-985-738	0	0	28	0	20	7	267	0	30	0	73	15
assemblage-379-581	0	326	0	13	0	0	0	0	13	38	0	26
assemblage-657-321	4	125	0	81	0	0	0	56	38	7	108	19
assemblage-829-98	0	114	38	89	0	67	27	0	69	0	33	10
assemblage-369-820	0	181	0	16	43	0	0	10	51	0	58	32
