Assemblage_Name	1-3664842-4	3-1-3	3-1-9213293	3-2891211-3	1-3-4	1-0-0	1-3-3332240
assemblage-949-365	0	321	43	4	25	15	22
assemblage-468-265	0	121	79	10	269	0	4
assemblage-956-869	16	150	0	0	195	0	10
assemblage-402-993	0	164	16	0	243	0	19
assemblage-614-784	12	222	0	0	118	0	10
assemblage-804-94	0	122	28	128	82	28	24
assemblage-755-317	75	164	0	0	172	0	13
assemblage-986-557	0	83	0	0	136	224	23
assemblage-906-247	0	225	67	0	119	17	27
assemblage-634-846	29	252	0	0	103	0	20
