Assemblage_Name	4-2588450-1	8552196-77738-0	3836351-1-0	4-7609035-1	3-1317016-5756524	8552196-1-0	3-1-4	9216843-2588450-5384028	4-2588450-5384028	9029062-2588450-5384028
assemblage-278-277	67	0	0	0	0	38	197	0	10	10
assemblage-618-855	283	161	0	25	0	0	0	0	0	3
assemblage-468-265	115	0	0	0	0	14	0	47	303	11
assemblage-985-802	250	95	0	112	0	0	0	36	0	7
assemblage-734-252	336	12	4	0	5	0	0	18	15	19
assemblage-367-421	178	0	120	0	25	23	10	0	75	18
assemblage-823-113	240	0	17	0	0	0	68	0	92	4
assemblage-213-296	367	117	0	0	0	0	0	0	0	16
assemblage-386-815	398	20	20	0	27	0	0	0	32	3
assemblage-183-819	217	177	0	11	0	0	0	4	0	1
