Assemblage_Name	3-2-3	6931100-1-5247047	1-1-4	9584934-2-8373081	4-3-3	1510519-1-4	0-2-2	4-7266156-9200729	3-4-3	2845736-7266156-3	1-1-4466681
assemblage-792-426	0	19	460	0	0	0	0	0	0	0	4
assemblage-596-807	0	20	226	41	0	48	0	7	0	12	37
assemblage-357-449	175	0	83	0	0	0	140	9	7	0	13
assemblage-763-309	0	0	164	92	0	67	49	38	0	15	24
assemblage-354-873	36	0	160	0	41	32	0	71	38	47	6
assemblage-216-821	0	38	230	0	0	49	0	0	0	0	24
assemblage-945-351	360	0	0	0	0	0	0	0	129	0	11
assemblage-823-94	25	0	145	40	11	103	0	0	0	0	16
assemblage-371-826	70	0	232	0	60	3	0	10	0	12	33
assemblage-474-839	105	0	146	0	82	8	47	0	9	0	30
