Assemblage_Name	2-4-37018	3239437-4-0	1-0-1	2-3-2	7275572-4-0	2-3-2274569	5198840-77503-1	2-4-0	1-77503-1	2-9170988-0
assemblage-1009-796	0	125	0	63	0	0	67	163	65	7
assemblage-379-593	0	0	5	95	0	0	0	38	17	11
assemblage-782-422	0	57	0	0	150	0	212	41	0	11
assemblage-826-101	0	33	0	208	19	8	16	167	24	19
assemblage-204-828	0	24	0	49	0	0	174	120	86	14
assemblage-447-857	16	0	12	42	0	64	0	133	121	23
assemblage-514-309	0	87	0	62	61	0	63	196	15	16
assemblage-348-821	0	0	0	181	0	46	111	104	37	7
assemblage-986-557	78	0	22	79	0	71	0	95	133	22
assemblage-645-340	13	0	0	45	0	0	0	95	313	19
