Assemblage_Name	3-4367648-9464682	4593268-1304602-3299357	3-9420293-1	4-4-1784838	28434-4-1	4-4-1	2037661-9420293-1	4593268-9420293-1	707637-1304602-3299357
assemblage-792-426	93	159	0	0	0	0	124	0	15
assemblage-111-459	29	0	89	0	129	5	0	191	16
assemblage-466-256	79	39	0	0	11	64	130	122	15
assemblage-445-852	77	0	128	0	53	21	70	24	11
assemblage-617-164	83	191	0	0	55	0	66	0	17
assemblage-755-317	151	0	0	23	116	27	167	0	10
assemblage-371-826	0	28	0	0	85	38	199	87	31
assemblage-993-573	59	36	21	0	8	19	99	171	16
assemblage-517-758	99	180	0	2	0	0	91	0	24
assemblage-758-234	0	0	0	92	91	74	156	0	23
