Assemblage_Name	1749310-4-2541277	2-4-2541277	4-3-0	1-2042643-3	1-39516-3	4-2-2	1-4-3	4-9280828-2	9649316-1-9203755	2-4-6564485	2-4-1072000	6803612-2-2
assemblage-410-1014	41	136	0	9	61	24	7	53	0	75	0	5
assemblage-779-920	0	151	72	61	0	95	0	0	43	0	0	27
assemblage-781-441	5	0	0	80	0	14	0	194	0	0	13	29
assemblage-166-138	0	159	0	53	0	104	0	13	66	0	0	36
assemblage-404-873	51	124	0	121	39	10	0	0	0	13	19	15
assemblage-238-294	65	107	0	124	26	8	0	29	0	88	0	16
assemblage-386-578	0	0	11	0	0	40	106	0	256	0	0	33
assemblage-786-950	0	110	20	17	0	253	11	0	22	0	0	19
assemblage-386-815	57	67	0	73	24	50	85	3	0	93	0	25
assemblage-969-882	50	53	0	85	43	91	0	84	0	0	39	20
