Assemblage_Name	2-1-1	8722369-3-3	2-1-2226815	3-3-3	2-2597850-9292528	4-2-5613479	2-1-9292528	3197096-1-9292528	9353836-3-3	2461378-3-3	8722369-5802752-3
assemblage-803-103	73	11	0	261	18	52	0	0	41	6	8
assemblage-401-583	11	0	0	50	0	132	82	0	0	0	11
assemblage-192-834	156	75	0	28	0	27	0	31	10	131	8
assemblage-638-795	191	0	7	117	11	39	0	16	13	48	20
assemblage-467-253	46	0	110	22	0	215	51	25	0	0	12
assemblage-505-307	236	34	28	44	62	0	0	33	11	0	18
assemblage-171-164	48	0	106	18	0	141	106	0	0	0	2
assemblage-912-205	0	0	57	152	0	104	0	54	90	0	21
assemblage-463-280	140	0	16	90	9	124	70	0	0	0	12
assemblage-983-722	5	106	0	0	0	0	0	0	0	252	17
