Assemblage_Name	8887372-4-1	232828-2-6646589	1845392-4-1	0-2-6646589	3-4-1	9399947-3-0
assemblage-949-365	40	0	0	107	231	10
assemblage-220-285	0	37	0	180	260	16
assemblage-357-449	0	0	0	242	196	5
assemblage-204-828	0	50	94	59	285	9
assemblage-368-841	39	0	0	104	346	11
assemblage-559-595	22	0	0	210	222	4
assemblage-750-265	0	5	84	49	347	15
assemblage-605-799	0	9	91	153	230	6
assemblage-648-313	72	0	31	62	308	22
assemblage-951-437	0	29	34	41	357	1
