Assemblage_Name	1-1-3	8629210-1-3	4-2446477-0	4-2-0	1-4-4	7446265-3-7818873	0-3-8277178	7446265-3-6001294
assemblage-509-774	104	29	0	0	0	97	230	1
assemblage-617-852	3	50	81	0	0	70	283	7
assemblage-596-807	33	33	106	0	0	94	181	10
assemblage-99-464	20	0	0	275	31	24	14	8
assemblage-367-421	102	0	7	257	29	45	45	2
assemblage-755-317	0	0	59	0	0	41	298	14
assemblage-775-937	98	0	51	41	153	46	43	7
assemblage-569-598	53	0	107	97	82	0	74	5
assemblage-801-92	46	0	32	0	27	7	352	10
assemblage-897-236	11	0	0	43	72	138	198	9
