Assemblage_Name	4-3-3459422	8870563-3-3459422	1-3-1	2-4-1	2-3761444-1	1-3-3492214
assemblage-278-277	7	0	191	152	0	6
assemblage-368-829	98	218	55	119	0	6
assemblage-992-559	182	0	0	148	0	14
assemblage-783-932	79	11	78	257	0	10
assemblage-769-313	78	178	57	139	23	3
assemblage-514-764	88	49	255	0	31	3
assemblage-445-852	298	30	32	91	0	17
assemblage-602-829	49	146	184	0	0	12
assemblage-541-582	61	144	233	56	0	6
assemblage-402-894	89	186	136	35	37	1
