Assemblage_Name	1-9250014-1	1-7309698-7402296	1-1-1	1-3-6218411	1741996-0-4	1-3-0	1-3-1740542	7489809-0-4
assemblage-762-377	58	0	226	14	55	50	27	17
assemblage-367-421	0	0	105	0	154	130	6	28
assemblage-238-294	100	4	142	0	0	36	102	7
assemblage-271-166	183	48	13	0	0	101	0	22
assemblage-395-903	131	68	71	0	0	183	7	9
assemblage-958-360	0	0	238	6	0	22	0	26
assemblage-145-150	0	0	260	22	0	89	15	25
assemblage-786-950	0	0	279	55	58	0	57	26
assemblage-758-234	10	0	132	0	48	42	4	30
assemblage-977-723	237	45	5	0	0	49	0	14
