Assemblage_Name	1-9148307-1	5275265-1-2	0-2-2	9260939-4676934-2	1-3-1	2-6683955-1	1-5080206-1	9260939-1-2	2053460-3-1	1343235-6683955-1
assemblage-945-434	7	0	10	23	128	0	46	0	0	6
assemblage-498-742	17	0	109	58	166	0	68	0	0	4
assemblage-111-459	0	97	203	0	153	0	0	0	0	9
assemblage-614-784	110	12	50	0	163	0	133	0	9	13
assemblage-734-252	0	10	105	58	110	28	15	22	124	4
assemblage-352-856	0	23	69	0	160	47	106	80	0	2
assemblage-1005-552	0	41	73	0	293	74	0	0	0	12
assemblage-103-500	30	38	0	86	295	0	0	0	25	19
assemblage-730-350	0	35	56	0	259	32	69	8	13	14
assemblage-805-119	0	13	10	0	40	21	0	0	0	17
