Assemblage_Name	668361-2-0	0-0-1	0-2-1	0-2-4492555	1-2-0	1-4-0	2-1-1	1-2-4820972	1-2-9830425
assemblage-449-851	0	84	42	0	31	31	186	0	0
assemblage-500-313	0	9	77	203	27	52	101	19	4
assemblage-386-578	0	252	18	0	11	0	74	0	10
assemblage-1007-738	183	0	79	28	0	12	149	33	1
assemblage-205-814	30	0	139	188	0	110	0	24	9
assemblage-528-569	0	65	133	74	105	34	81	5	3
assemblage-465-260	0	87	157	89	68	41	42	0	4
assemblage-993-573	0	104	46	0	55	0	278	0	13
assemblage-859-854	0	6	87	129	0	43	227	0	8
assemblage-996-803	57	17	55	0	116	104	130	15	6
